latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-22.154,28.0928,318.1,1.6,1.2,2006-01-14,0841,Terra,MODIS,32,6.2,299.3,20.6,D,0
-24.3999,26.0496,312.4,1,1,2006-05-07,1208,Aqua,MODIS,60,6.2,299.6,6.8,D,0
-18.5751,25.6411,316.1,1,1,2006-05-09,1157,Aqua,MODIS,43,6.2,296.3,11.8,D,0
-21.9831,28.0326,319.8,1.2,1.1,2006-05-11,1144,Aqua,MODIS,67,6.2,305.3,11.4,D,0
-21.987,28.0284,321,1.2,1.1,2006-05-11,1144,Aqua,MODIS,68,6.2,304.8,12.7,D,0
-21.129,27.5752,314,1.2,1.1,2006-05-11,1144,Aqua,MODIS,56,6.2,303.3,7.3,D,0
-20.8915,22.3728,313.9,1.2,1.1,2006-05-12,1227,Aqua,MODIS,59,6.2,302.7,7.6,D,0
-18.6187,25.6147,316,2.1,1.4,2006-05-12,1228,Aqua,MODIS,33,6.2,301.1,17.4,D,0
-18.6173,25.6196,319.1,2.1,1.4,2006-05-12,1228,Aqua,MODIS,72,6.2,301.3,27.9,D,0
-18.6079,25.6611,347.5,1.3,1.1,2006-05-14,1215,Aqua,MODIS,94,6.2,308.2,70.5,D,0
-19.6781,23.6186,318.1,1,1,2006-05-14,1215,Aqua,MODIS,67,6.2,301.5,9.6,D,0
-18.6099,25.6488,360.3,1.3,1.1,2006-05-14,1215,Aqua,MODIS,100,6.2,309.2,113.8,D,0
-19.6795,23.6088,332.1,1,1,2006-05-14,1215,Aqua,MODIS,84,6.2,305.3,26.4,D,0
-18.581,25.6507,338.5,1.3,1.1,2006-05-14,1215,Aqua,MODIS,43,6.2,310,45.6,D,0
-18.5875,25.6574,348.3,1.3,1.1,2006-05-14,1215,Aqua,MODIS,88,6.2,309.2,70.1,D,0
-19.6145,23.3717,317.5,1,1,2006-05-14,1215,Aqua,MODIS,67,6.2,302.5,9.8,D,0
-18.1818,23.953,340.6,1.1,1,2006-05-14,1216,Aqua,MODIS,90,6.2,306.3,40.3,D,0
-18.1803,23.9633,318.6,1.1,1,2006-05-14,1216,Aqua,MODIS,39,6.2,303.3,9.1,D,0
-18.1844,23.958,313.9,1.1,1,2006-05-15,0835,Terra,MODIS,52,6.2,302.3,6.8,D,0
-20.5937,26.4911,319.7,1,1,2006-05-16,1203,Aqua,MODIS,49,6.2,301.9,10.9,D,0
