latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
4.6088,114.3313,312,1.6,1.2,2006-01-02,0609,Aqua,MODIS,56,6.2,292.8,12.1,D,0
4.5607,114.1242,313.6,1.1,1,2006-01-22,0545,Aqua,MODIS,0,6.2,293.8,7.9,D,0
4.5622,114.1346,307.7,1.1,1,2006-02-05,0300,Terra,MODIS,35,6.2,283.6,5.9,D,0
4.5611,114.1247,314.2,1,1,2006-02-21,0558,Aqua,MODIS,0,6.2,290,8.3,D,0
4.5612,114.1245,318.1,1.7,1.3,2006-02-25,0533,Aqua,MODIS,54,6.2,300.1,21.7,D,0
4.5633,114.131,313.7,1.7,1.3,2006-02-25,0533,Aqua,MODIS,0,6.2,298.2,14.9,D,0
4.5604,114.1261,312.3,1.3,1.1,2006-03-04,0540,Aqua,MODIS,0,6.2,290.4,11.7,D,0
4.5605,114.13,312.9,1.7,1.3,2006-03-13,0534,Aqua,MODIS,0,6.2,290.5,16.1,D,0
4.5608,114.1277,327.6,1.2,1.1,2006-03-16,0604,Aqua,MODIS,0,6.2,306.6,22.4,D,0
4.616,114.3461,314.5,2.1,1.4,2006-03-30,0617,Aqua,MODIS,49,6.2,293.2,16.9,D,0
4.5655,114.1307,314.1,1.2,1.1,2006-04-01,0604,Aqua,MODIS,40,6.2,287.6,10.8,D,0
4.56,114.1251,320.6,1,1,2006-04-03,0255,Terra,MODIS,0,6.2,296.4,11,D,0
4.5626,114.133,313.2,1.7,1.3,2006-04-14,0534,Aqua,MODIS,35,6.2,294.7,12.5,D,0
4.5634,114.1225,314.8,1.7,1.3,2006-04-14,0534,Aqua,MODIS,0,6.2,295.3,17.8,D,0
4.5576,114.1276,312,1.6,1.3,2006-04-24,0313,Terra,MODIS,0,6.2,290.8,12.7,D,0
4.5641,114.1237,314.7,2.3,1.5,2006-05-09,0528,Aqua,MODIS,0,6.2,299.2,24.3,D,0
4.5635,114.1204,320.7,1.1,1,2006-05-30,0547,Aqua,MODIS,0,6.2,303.8,13.5,D,0
4.6712,114.4692,306.2,1.1,1,2006-05-30,1805,Aqua,MODIS,67,6.2,293,5.7,N,0
4.5661,114.1095,307.4,1.1,1,2006-06-15,0547,Aqua,MODIS,25,6.2,280.4,5.2,D,0
4.8963,114.8135,314.2,1.4,1.2,2006-07-06,0307,Terra,MODIS,69,6.2,295.8,9.9,D,0
4.8906,114.8155,310.6,1.4,1.2,2006-07-06,0606,Aqua,MODIS,40,6.2,283.6,8.5,D,0
4.5646,114.1206,317.4,1.1,1,2006-07-15,0301,Terra,MODIS,43,6.2,296.8,11.4,D,0
4.5594,114.1252,325.6,1.1,1,2006-07-17,0548,Aqua,MODIS,0,6.2,303.6,17,D,0
4.5653,114.1175,321.7,1.1,1,2006-07-17,0548,Aqua,MODIS,72,6.2,301.4,14.2,D,0
4.5629,114.1319,318.5,1.3,1.1,2006-07-22,0308,Terra,MODIS,0,6.2,300,14.8,D,0
4.5589,114.1244,321.6,1.3,1.1,2006-07-26,0542,Aqua,MODIS,0,6.2,303.3,18.1,D,0
4.9734,114.8855,317.6,1.9,1.3,2006-07-28,0529,Aqua,MODIS,27,6.2,295.3,17.9,D,0
4.6323,115.0899,337.7,1.1,1.1,2006-08-16,0600,Aqua,MODIS,88,6.2,294.4,39.2,D,0
4.6337,115.1002,351.4,1.1,1.1,2006-08-16,0600,Aqua,MODIS,96,6.2,295,70.8,D,0
4.4006,114.6507,320.4,1,1,2006-08-25,0554,Aqua,MODIS,74,6.2,297.6,11.1,D,0
4.5599,114.1269,307.8,3,1.6,2006-09-07,0524,Aqua,MODIS,38,6.2,287.5,17.2,D,0
4.5616,114.1321,316.2,1.6,1.3,2006-09-21,0237,Terra,MODIS,0,6.2,295.3,16.3,D,0
4.5703,115.0736,312.4,1.2,1.1,2006-09-28,0542,Aqua,MODIS,55,6.2,293.7,8.1,D,0
4.5622,114.1264,313.3,1.7,1.3,2006-10-23,0536,Aqua,MODIS,0,6.2,295,14.9,D,0
4.5626,114.1298,309.9,1.1,1,2006-12-06,0301,Terra,MODIS,0,6.2,291.6,6.8,D,0
4.5621,114.1263,310.3,1.3,1.1,2006-12-17,0542,Aqua,MODIS,0,6.2,290.6,8.8,D,0
