latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.7576,1.0603,326.3,1.2,1.1,2006-01-01,1042,Terra,MODIS,59,6.2,307.3,14.7,D,0
11.4771,1.6658,329.8,1.3,1.1,2006-01-01,1042,Terra,MODIS,76,6.2,312.8,18.7,D,0
11.4649,1.6764,353,1.3,1.1,2006-01-01,1042,Terra,MODIS,96,6.2,314.3,80,D,0
11.8331,0.9769,338.6,1.2,1.1,2006-01-01,1042,Terra,MODIS,86,6.2,308.8,37.1,D,0
11.8314,0.9878,327.7,1.2,1.1,2006-01-01,1042,Terra,MODIS,65,6.2,310.4,16.3,D,0
12.3096,-4.3927,326.3,1.2,1.1,2006-01-01,1042,Terra,MODIS,74,6.2,306.7,17.8,D,0
11.746,1.0697,324.6,1.2,1.1,2006-01-01,1042,Terra,MODIS,37,6.2,308.3,11.6,D,0
11.7541,1.0824,326.7,1.2,1.1,2006-01-01,1042,Terra,MODIS,53,6.2,311,14,D,0
11.7558,1.0713,349.8,1.2,1.1,2006-01-01,1042,Terra,MODIS,94,6.2,310.5,65.2,D,0
11.1927,-3.5832,326.7,1.1,1,2006-01-01,1042,Terra,MODIS,72,6.2,307.7,13.4,D,0
11.8,-5.2056,319.2,1.3,1.1,2006-01-01,1042,Terra,MODIS,58,6.2,306,9.7,D,0
11.8394,1.0003,324.6,1.2,1.1,2006-01-01,1042,Terra,MODIS,60,6.2,310.5,11,D,0
11.8411,0.9894,326,1.2,1.1,2006-01-01,1042,Terra,MODIS,63,6.2,309.4,13.4,D,0
12.3081,-4.3818,321.9,1.2,1.1,2006-01-01,1042,Terra,MODIS,65,6.2,307.1,11.3,D,0
10.8576,-4.2892,322.1,1.1,1.1,2006-01-01,1042,Terra,MODIS,67,6.2,304.4,11.4,D,0
11.6635,1.0727,368.2,1.2,1.1,2006-01-01,1042,Terra,MODIS,100,6.2,309.1,131.3,D,0
11.6698,1.0966,349.6,1.2,1.1,2006-01-01,1042,Terra,MODIS,94,6.2,310.2,62.5,D,0
10.729,-5.2878,321.1,1.3,1.1,2006-01-01,1042,Terra,MODIS,67,6.2,306.5,12.3,D,0
11.6779,1.1093,340,1.2,1.1,2006-01-01,1042,Terra,MODIS,87,6.2,310.9,38,D,0
11.6796,1.0981,344.8,1.2,1.1,2006-01-01,1042,Terra,MODIS,91,6.2,309.1,49,D,0
10.7863,-4.5087,320.6,1.2,1.1,2006-01-01,1042,Terra,MODIS,64,6.2,307.7,8,D,0
11.6536,1.0711,421.2,1.2,1.1,2006-01-01,1042,Terra,MODIS,100,6.2,326,529.2,D,0
11.7665,1.7183,319.1,1.3,1.1,2006-01-01,1042,Terra,MODIS,34,6.2,307.8,7.2,D,0
11.2332,-2.7831,323.9,1,1,2006-01-01,1042,Terra,MODIS,56,6.2,311,7.9,D,0
11.2422,-2.7818,327,1,1,2006-01-01,1042,Terra,MODIS,71,6.2,311.6,11.5,D,0
11.6617,1.0838,361.9,1.2,1.1,2006-01-01,1042,Terra,MODIS,100,6.2,312.7,103.3,D,0
11.465,-1.4168,321.9,1,1,2006-01-01,1042,Terra,MODIS,57,6.2,309.1,6.5,D,0
11.1849,-0.7845,324.7,1,1,2006-01-01,1042,Terra,MODIS,65,6.2,309.5,10,D,0
11.3273,-0.5091,322.7,1.1,1,2006-01-01,1042,Terra,MODIS,59,6.2,310,7.5,D,0
10.4439,-2.9919,323.4,1,1,2006-01-01,1042,Terra,MODIS,63,6.2,308.8,8,D,0
11.6203,-3.4217,319.1,1.1,1,2006-01-01,1042,Terra,MODIS,40,6.2,305.9,4.9,D,0
11.2511,1.0279,329.9,1.2,1.1,2006-01-01,1042,Terra,MODIS,75,6.2,308.8,19.1,D,0
11.2489,1.033,327,1.2,1.1,2006-01-01,1042,Terra,MODIS,67,6.2,310.5,14.7,D,0
11.6295,-3.4203,322.8,1.1,1,2006-01-01,1042,Terra,MODIS,64,6.2,307.8,9.2,D,0
11.6503,-3.1855,322,1.1,1,2006-01-01,1042,Terra,MODIS,61,6.2,308.2,7.7,D,0
11.163,-3.5082,320.9,1.1,1,2006-01-01,1042,Terra,MODIS,54,6.2,308.7,6.4,D,0
11.6519,1.0823,357.4,1.2,1.1,2006-01-01,1042,Terra,MODIS,98,6.2,312.7,85.5,D,0
12.7882,-3.4234,322.9,1.1,1,2006-01-01,1042,Terra,MODIS,50,6.2,307.5,10.3,D,0
11.0237,-1.9831,364.1,1,1,2006-01-01,1042,Terra,MODIS,100,6.2,312.7,84.1,D,0
11.0224,-1.974,330.6,1,1,2006-01-01,1042,Terra,MODIS,75,6.2,311.1,15.8,D,0
12.006,-1.6475,324.5,1,1,2006-01-01,1042,Terra,MODIS,69,6.2,306.3,10.5,D,0
11.6456,1.0584,402.2,1.2,1.1,2006-01-01,1042,Terra,MODIS,100,6.2,310.1,344.3,D,0
12.1997,1.6971,327.1,1.3,1.1,2006-01-01,1042,Terra,MODIS,73,6.2,309.3,20.4,D,0
12.358,-2.5379,325.9,1,1,2006-01-01,1042,Terra,MODIS,72,6.2,306.9,13.1,D,0
11.4685,-4.8782,318.8,1.2,1.1,2006-01-01,1042,Terra,MODIS,58,6.2,305.1,8.9,D,0
11.7439,-3.4609,325.4,1.1,1,2006-01-01,1042,Terra,MODIS,70,6.2,308.3,12.4,D,0
12.537,-4.1879,324.8,1.2,1.1,2006-01-01,1042,Terra,MODIS,71,6.2,305.2,15.4,D,0
11.6438,1.0696,405.5,1.2,1.1,2006-01-01,1042,Terra,MODIS,100,6.2,311.1,369.9,D,0
11.5673,1.8117,324.1,1.4,1.2,2006-01-01,1042,Terra,MODIS,66,6.2,311,12.7,D,0
11.0411,-0.6844,322,1,1,2006-01-01,1042,Terra,MODIS,52,6.2,310,6.6,D,0
11.6421,1.0807,336,1.2,1.1,2006-01-01,1042,Terra,MODIS,82,6.2,307.2,28.2,D,0
11.7377,-3.4678,319.4,1.1,1,2006-01-01,1042,Terra,MODIS,49,6.2,306.8,6.7,D,0
11.4424,-0.9612,320.1,1,1,2006-01-01,1042,Terra,MODIS,45,6.2,308.9,6.1,D,0
10.8164,-3.0835,322.7,1,1,2006-01-01,1042,Terra,MODIS,61,6.2,309.6,6.3,D,0
10.8073,-3.0848,331.4,1,1,2006-01-01,1042,Terra,MODIS,78,6.2,309.2,17,D,0
