latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-2.4845,29.9828,313.2,1,1,2006-01-27,2026,Terra,MODIS,87,6.2,281.5,14.2,N,0
-2.4858,29.9736,310.1,1,1,2006-01-27,2026,Terra,MODIS,79,6.2,280.5,11.9,N,0
-3.3058,30.4238,319.6,1.4,1.2,2006-02-01,1117,Aqua,MODIS,75,6.2,294.9,16.9,D,0
-2.3418,30.3817,328.5,1,1,2006-02-06,1136,Aqua,MODIS,19,6.2,304.8,15.2,D,0
-3.2685,30.4872,318.8,1.1,1,2006-02-08,0830,Terra,MODIS,65,6.2,299.2,10.5,D,0
-3.1125,30.4628,303.7,1,1,2006-02-12,2026,Terra,MODIS,56,6.2,287.9,6.8,N,0
-2.9618,30.4479,320.5,1.1,1.1,2006-05-31,1124,Aqua,MODIS,75,6.2,295.2,16,D,0
-4.1573,29.6061,310.8,1.2,1.1,2006-06-02,0819,Terra,MODIS,64,6.2,296.3,8.2,D,0
-4.1589,29.6166,315.1,1.1,1.1,2006-06-02,0819,Terra,MODIS,71,6.2,295.9,12.1,D,0
-3.1881,30.3423,310.5,1,1,2006-06-09,0825,Terra,MODIS,41,6.2,297,5.1,D,0
-2.9549,30.5123,314.9,2.5,1.5,2006-06-10,1201,Aqua,MODIS,59,6.2,292.7,30.8,D,0
-3.2382,30.2896,310,1.6,1.2,2006-06-14,0843,Terra,MODIS,30,6.2,294.3,9.1,D,0
-3.2851,29.2774,322.6,1.3,1.1,2006-06-14,0843,Terra,MODIS,77,6.2,297.9,20.7,D,0
-2.9897,30.4467,321,1,1,2006-06-14,1137,Aqua,MODIS,67,6.2,296.8,13.5,D,0
-2.9642,30.4372,315.3,1,1,2006-06-14,1137,Aqua,MODIS,7,6.2,297.4,7.4,D,0
-2.9884,30.4558,362.5,1,1,2006-06-14,1137,Aqua,MODIS,94,6.2,299.4,90.6,D,0
-3.2779,29.2805,321.3,1,1,2006-06-14,1137,Aqua,MODIS,61,6.2,306.7,7.2,D,0
-3.3978,30.1321,309.4,4,1.9,2006-06-15,0748,Terra,MODIS,33,6.2,294.9,41.3,D,0
-3.41,30.1377,311.2,4,1.9,2006-06-15,0748,Terra,MODIS,51,6.2,294.4,50.6,D,0
-3.8052,30.1869,322.4,1,1,2006-06-16,0831,Terra,MODIS,78,6.2,301.4,15.2,D,0
-3.8066,30.1966,313.1,1,1,2006-06-16,0831,Terra,MODIS,66,6.2,301.5,6.3,D,0
-3.7857,29.8011,313.1,1.3,1.1,2006-06-16,1124,Aqua,MODIS,52,6.2,301.2,6.5,D,0
-2.9329,30.4815,318.9,1.1,1.1,2006-06-16,1125,Aqua,MODIS,66,6.2,302.3,10.4,D,0
-3.3004,29.2676,322.3,1.3,1.1,2006-06-16,1125,Aqua,MODIS,65,6.2,305.3,15.2,D,0
-3.1647,30.3507,313.9,1.2,1.1,2006-06-16,1125,Aqua,MODIS,52,6.2,300.1,8.1,D,0
-2.9418,29.1322,327.7,1.3,1.2,2006-06-16,1125,Aqua,MODIS,81,6.2,304,25.3,D,0
-3.2317,30.2881,316.7,1.1,1,2006-06-18,0819,Terra,MODIS,59,6.2,300.2,9.9,D,0
-4.458,29.7395,310,1.1,1.1,2006-06-18,0819,Terra,MODIS,57,6.2,295,6.2,D,0
-4.4566,29.7297,312.3,1.1,1.1,2006-06-18,0819,Terra,MODIS,63,6.2,293.3,8.3,D,0
-3.0313,30.497,333.1,1.2,1.1,2006-06-21,1143,Aqua,MODIS,85,6.2,297.1,32.7,D,0
-3.2653,29.2605,327.8,1,1,2006-06-21,1143,Aqua,MODIS,80,6.2,305.1,14.6,D,0
-3.1226,30.3462,302.2,1.4,1.2,2006-06-22,2014,Terra,MODIS,47,6.2,286.7,11,N,0
-3.128,30.4104,314.5,1.2,1.1,2006-06-23,0837,Terra,MODIS,41,6.2,298.8,9.6,D,0
-3.1654,29.2682,320.2,1.1,1,2006-06-23,0837,Terra,MODIS,50,6.2,304.5,7.7,D,0
-3.1046,30.4558,342.3,1,1,2006-06-23,1131,Aqua,MODIS,86,6.2,298,39.4,D,0
-3.0762,30.4574,301.4,2.5,1.5,2006-06-23,2057,Terra,MODIS,25,6.2,284.4,23.2,N,0
-3.0692,30.4621,304.3,2.5,1.5,2006-06-23,2057,Terra,MODIS,59,6.2,284.3,32.3,N,0
-3.2705,30.2857,306.9,4.3,1.9,2006-06-24,1214,Aqua,MODIS,28,6.2,285.3,29.9,D,0
-3.0823,30.4408,314.9,4.4,1.9,2006-06-24,1214,Aqua,MODIS,68,6.2,288.4,77.2,D,0
-3.2722,30.2911,305.3,4.3,1.9,2006-06-24,1214,Aqua,MODIS,30,6.2,283.8,21.4,D,0
