latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.1352,107.0888,320,3.9,1.8,2006-01-01,0406,Terra,MODIS,75,6.2,292.4,77.1,D,0
12.213,106.4292,310.6,3.6,1.8,2006-01-01,0406,Terra,MODIS,55,6.2,292.2,32.8,D,0
13.2809,107.0223,312.4,3.8,1.8,2006-01-01,0406,Terra,MODIS,31,6.2,293.5,33.6,D,0
13.3428,106.8312,319,3.7,1.8,2006-01-01,0406,Terra,MODIS,74,6.2,293,61.7,D,0
13.3502,106.8274,319.7,3.7,1.8,2006-01-01,0406,Terra,MODIS,74,6.2,293.3,71.7,D,0
13.1695,107.2537,313.2,4,1.9,2006-01-01,0406,Terra,MODIS,35,6.2,291.3,47.2,D,0
13.2874,106.988,316.7,3.8,1.8,2006-01-01,0406,Terra,MODIS,70,6.2,292.7,58.1,D,0
13.2802,106.9801,315.4,3.8,1.8,2006-01-01,0406,Terra,MODIS,20,6.2,292.9,43.1,D,0
13.274,107.0145,318.1,3.8,1.8,2006-01-01,0406,Terra,MODIS,52,6.2,293.4,58.8,D,0
12.5486,105.9347,311.8,3.2,1.7,2006-01-01,0406,Terra,MODIS,37,6.2,295,25.3,D,0
12.9487,106.6573,312.4,3.6,1.8,2006-01-01,0406,Terra,MODIS,62,6.2,293.6,32.9,D,0
13.3426,107.1418,310.8,3.9,1.8,2006-01-01,0406,Terra,MODIS,34,6.2,291.6,32,D,0
12.9548,106.6251,311,3.6,1.8,2006-01-01,0406,Terra,MODIS,57,6.2,293.5,27.3,D,0
12.5457,105.9407,313.2,3.2,1.7,2006-01-01,0406,Terra,MODIS,49,6.2,294.8,31.9,D,0
13.3395,107.1103,315.4,3.8,1.8,2006-01-01,0406,Terra,MODIS,0,6.2,292.8,57.6,D,0
12.9658,106.8308,309.2,3.7,1.8,2006-01-01,0406,Terra,MODIS,25,6.2,291,21.6,D,0
13.1346,106.9107,312.9,3.8,1.8,2006-01-01,0406,Terra,MODIS,58,6.2,293,38.5,D,0
13.1418,107.0956,319.3,3.9,1.8,2006-01-01,0406,Terra,MODIS,74,6.2,292.4,73,D,0
13.3489,107.107,313.8,3.8,1.8,2006-01-01,0406,Terra,MODIS,56,6.2,293.1,45.7,D,0
13.1626,107.2893,318.4,4,1.9,2006-01-01,0406,Terra,MODIS,73,6.2,290.2,80.6,D,0
13.1575,107.2817,327.8,4,1.9,2006-01-01,0406,Terra,MODIS,82,6.2,291.6,154.3,D,0
13.0995,107.01,314.6,3.8,1.8,2006-01-01,0406,Terra,MODIS,67,6.2,294.1,41,D,0
12.9462,106.6167,312.9,3.6,1.8,2006-01-01,0406,Terra,MODIS,63,6.2,293.5,36.8,D,0
13.1886,107.3319,314.5,4,1.9,2006-01-01,0406,Terra,MODIS,50,6.2,289.1,56.6,D,0
13.3494,106.9703,310.9,3.8,1.8,2006-01-01,0406,Terra,MODIS,58,6.2,292.4,32.3,D,0
13.0149,106.405,304.7,1.6,1.2,2006-01-01,1456,Terra,MODIS,32,6.2,284.9,12.8,N,0
13.2746,106.9779,315.2,1.5,1.2,2006-01-02,0311,Terra,MODIS,49,6.2,294.2,11.4,D,0
13.0066,106.4994,317.9,1.6,1.3,2006-01-02,0311,Terra,MODIS,74,6.2,293.6,21.7,D,0
12.407,106.6137,324.3,1.6,1.2,2006-01-02,0311,Terra,MODIS,80,6.2,294.9,31.4,D,0
12.4051,106.6279,324.8,1.6,1.2,2006-01-02,0311,Terra,MODIS,81,6.2,296.1,32.3,D,0
12.408,106.6199,341.8,1.6,1.2,2006-01-02,0311,Terra,MODIS,92,6.2,296.3,78.8,D,0
12.4061,106.6342,316.1,1.6,1.2,2006-01-02,0311,Terra,MODIS,60,6.2,295.6,16.6,D,0
13.1255,106.9093,319.8,1.5,1.2,2006-01-02,0311,Terra,MODIS,64,6.2,292.4,20.1,D,0
12.9501,106.317,317.7,1.7,1.3,2006-01-02,0311,Terra,MODIS,51,6.2,289,27,D,0
13.3626,107.1142,314.8,1.5,1.2,2006-01-02,0311,Terra,MODIS,52,6.2,282.7,16.9,D,0
13.2768,106.9843,313.8,1.5,1.2,2006-01-02,0311,Terra,MODIS,30,6.2,294,10.4,D,0
13.0441,106.8622,313.8,1,1,2006-01-02,0612,Aqua,MODIS,34,6.2,291.9,9,D,0
