latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
7.9958,14.0633,300.4,3.5,1.8,2006-01-01,0115,Aqua,MODIS,22,6.2,289.7,26.2,N,0
8.5154,14.164,317.6,3,1.6,2006-01-01,0904,Terra,MODIS,57,6.2,302.5,34.9,D,0
10.1593,15.4159,320.7,2.5,1.5,2006-01-01,0904,Terra,MODIS,58,6.2,306.8,29.7,D,0
9.352,13.1024,316.7,3.7,1.8,2006-01-01,0904,Terra,MODIS,34,6.2,303.3,36.3,D,0
9.1952,13.0367,316.8,3.7,1.8,2006-01-01,0904,Terra,MODIS,32,6.2,302.3,43.5,D,0
8.9953,13.332,317.3,3.5,1.8,2006-01-01,0904,Terra,MODIS,42,6.2,304,32.7,D,0
8.986,13.3238,318.4,3.5,1.8,2006-01-01,0904,Terra,MODIS,54,6.2,304.4,38.5,D,0
8.5153,14.157,315.2,3,1.6,2006-01-01,0904,Terra,MODIS,44,6.2,302.3,25.5,D,0
8.6475,14.0754,317,3,1.7,2006-01-01,0904,Terra,MODIS,47,6.2,303,27.5,D,0
7.8088,13.1383,332.7,3.5,1.8,2006-01-01,0905,Terra,MODIS,84,6.2,300.8,143.2,D,0
7.7662,13.0562,319.2,3.5,1.8,2006-01-01,0905,Terra,MODIS,70,6.2,300.9,55.6,D,0
7.8148,13.1329,332.7,3.5,1.8,2006-01-01,0905,Terra,MODIS,84,6.2,301.8,145.8,D,0
7.8126,13.1065,322.4,3.5,1.8,2006-01-01,0905,Terra,MODIS,72,6.2,303.3,69.3,D,0
7.8028,12.1142,336.1,4.2,1.9,2006-01-01,0905,Terra,MODIS,87,6.2,297.2,242,D,0
7.7994,12.1084,338.4,4.2,1.9,2006-01-01,0905,Terra,MODIS,89,6.2,296.9,270.9,D,0
8.0035,13.6622,320,3.2,1.7,2006-01-01,0905,Terra,MODIS,67,6.2,300.8,53.3,D,0
7.8072,12.079,316.7,4.2,1.9,2006-01-01,0905,Terra,MODIS,66,6.2,295,67.1,D,0
4.319,14.9855,308.8,2.4,1.5,2006-01-01,1202,Aqua,MODIS,43,6.2,291.3,13.5,D,0
5.3765,14.4784,315,2.5,1.5,2006-01-01,1202,Aqua,MODIS,65,6.2,294.3,26.2,D,0
7.8223,14.7711,320.4,2.1,1.4,2006-01-01,1203,Aqua,MODIS,64,6.2,304.8,18.9,D,0
8.1392,13.8824,331.2,2.5,1.5,2006-01-01,1203,Aqua,MODIS,72,6.2,300.1,80.5,D,0
8.0794,14.1675,318.1,2.4,1.5,2006-01-01,1203,Aqua,MODIS,50,6.2,302.3,19.7,D,0
6.2679,12.7074,312.9,3.3,1.7,2006-01-01,1203,Aqua,MODIS,48,6.2,295.7,36.6,D,0
5.6451,11.808,312.8,4,1.9,2006-01-01,1203,Aqua,MODIS,56,6.2,296.2,48.2,D,0
5.6347,11.7773,320.8,4.1,1.9,2006-01-01,1203,Aqua,MODIS,76,6.2,295.1,100.6,D,0
5.6391,11.7724,320.7,4.1,1.9,2006-01-01,1203,Aqua,MODIS,75,6.2,295.2,100.7,D,0
8.2647,14.8215,322.6,2.1,1.4,2006-01-01,1203,Aqua,MODIS,60,6.2,306.1,22.4,D,0
7.5962,12.5187,317.8,3.3,1.7,2006-01-01,1203,Aqua,MODIS,62,6.2,300,37.5,D,0
6.0049,12.2207,313.5,3.7,1.8,2006-01-01,1203,Aqua,MODIS,38,6.2,296.9,33.9,D,0
8.9064,14.2475,325.3,2.3,1.5,2006-01-01,1203,Aqua,MODIS,66,6.2,311.8,19,D,0
7.7872,13.1209,326.5,2.9,1.6,2006-01-01,1203,Aqua,MODIS,72,6.2,305,62.2,D,0
6.7068,14.4451,325,2.4,1.5,2006-01-01,1203,Aqua,MODIS,75,6.2,301.4,56.7,D,0
6.6974,14.453,324.4,2.4,1.5,2006-01-01,1203,Aqua,MODIS,73,6.2,299.9,52.3,D,0
