latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-27.4177,-70.2569,302.2,1.2,1.1,2006-01-01,0313,Terra,MODIS,47,6.2,288.8,8.2,N,2
-27.4192,-70.2696,302.1,1.2,1.1,2006-01-01,0313,Terra,MODIS,47,6.2,288.5,8.1,N,2
-20.2084,-70.141,304.5,1.1,1,2006-01-01,0315,Terra,MODIS,56,6.2,290.6,7.7,N,0
-20.2669,-70.1045,300.2,1.1,1,2006-01-01,0315,Terra,MODIS,6,6.2,288.5,4,N,0
-36.7479,-73.1205,302.3,1.1,1,2006-01-02,0353,Terra,MODIS,48,6.2,286.9,7.1,N,0
-32.7967,-70.9606,300.1,1.6,1.2,2006-01-02,0354,Terra,MODIS,18,6.2,286.7,10.5,N,0
-26.4343,-69.4742,324.6,1,1,2006-01-02,1454,Terra,MODIS,53,6.2,310.6,10.1,D,2
-32.757,-71.4741,327.2,1,1,2006-01-02,1455,Terra,MODIS,51,6.2,306.1,11.8,D,0
-39.2925,-72.2217,312.1,1.1,1,2006-01-02,1457,Terra,MODIS,35,6.2,299.1,6.3,D,0
-39.2784,-71.9647,307.5,1.1,1,2006-01-02,1457,Terra,MODIS,34,6.2,297,5.5,D,0
-38.6059,-72.7381,313,1,1,2006-01-02,1457,Terra,MODIS,66,6.2,300.9,4.7,D,0
-37.6115,-73.6484,308.2,1,1,2006-01-02,1457,Terra,MODIS,26,6.2,297.5,5.7,D,0
-38.2409,-72.3254,309.4,1,1,2006-01-02,1457,Terra,MODIS,33,6.2,298.3,5.5,D,0
-33.6583,-71.5203,331.5,2.1,1.4,2006-01-02,1910,Aqua,MODIS,72,6.2,298.3,77.4,D,0
-33.6198,-71.2639,322.5,1.7,1.3,2006-01-03,1815,Aqua,MODIS,67,6.2,305.8,22.3,D,0
-26.4331,-69.4787,305.4,1.7,1.3,2006-01-04,0344,Terra,MODIS,64,6.2,281.5,21.7,N,2
-22.3194,-68.88,301.6,2.2,1.4,2006-01-04,0345,Terra,MODIS,42,6.2,280.7,26.9,N,2
-22.3167,-68.889,327.5,1.1,1.1,2006-01-04,1440,Terra,MODIS,48,6.2,310.7,12.6,D,2
-35.3492,-71.8058,328.6,1.3,1.1,2006-01-04,1857,Aqua,MODIS,62,6.2,311,16.1,D,0
-32.7995,-70.9452,304.3,1,1,2006-01-05,0559,Aqua,MODIS,60,6.2,286.4,8.5,N,2
-33.5305,-70.7449,331.2,2.5,1.5,2006-01-05,1802,Aqua,MODIS,75,6.2,308.8,57.4,D,0
-33.5356,-70.7395,327.9,2.5,1.5,2006-01-05,1802,Aqua,MODIS,66,6.2,308,42.1,D,0
-45.6592,-72.2327,302.7,1.1,1,2006-01-06,1434,Terra,MODIS,32,6.2,287.7,6.7,D,0
-27.4147,-70.2664,335.1,1.4,1.2,2006-01-06,1847,Aqua,MODIS,77,6.2,310.6,27.9,D,2
-22.3146,-68.8765,326.5,1.1,1.1,2006-01-07,0544,Aqua,MODIS,100,6.2,282.1,35,N,2
-22.3128,-68.8877,318.2,1.1,1.1,2006-01-07,0544,Aqua,MODIS,96,6.2,282.2,24.4,N,2
-26.4251,-69.4692,300.2,1.1,1,2006-01-07,0545,Aqua,MODIS,19,6.2,281.1,8.2,N,2
-32.801,-71.1869,317.9,1.6,1.3,2006-01-07,1514,Terra,MODIS,53,6.2,302.4,14.9,D,0
-36.934,-73.0206,306.6,1.4,1.2,2006-01-07,1515,Terra,MODIS,0,6.2,293.4,9.4,D,0
-22.3211,-68.8892,319.3,1,1,2006-01-08,0320,Terra,MODIS,98,6.2,283.1,20.5,N,2
-22.3196,-68.8795,307.9,1,1,2006-01-08,0320,Terra,MODIS,73,6.2,282.5,11.3,N,2
-22.3119,-68.8868,306,1,1,2006-01-08,0320,Terra,MODIS,66,6.2,283.6,10.7,N,0
-32.4779,-71.1683,333.6,1,1,2006-01-08,1833,Aqua,MODIS,80,6.2,314.2,18.4,D,0
-32.8071,-70.9529,328,1,1,2006-01-08,1833,Aqua,MODIS,54,6.2,310.3,11.7,D,2
-33.2132,-71.3787,340.4,1,1,2006-01-08,1833,Aqua,MODIS,88,6.2,290.7,37,D,0
-33.2316,-71.3751,335.9,1,1,2006-01-08,1833,Aqua,MODIS,84,6.2,298.1,29.2,D,0
-33.2239,-71.3882,380.8,1,1,2006-01-08,1833,Aqua,MODIS,100,6.2,311.5,154.8,D,0
-33.2209,-71.3657,348,1,1,2006-01-08,1833,Aqua,MODIS,93,6.2,290.6,52.1,D,0
-33.2147,-71.3899,326.1,1,1,2006-01-08,1833,Aqua,MODIS,47,6.2,295.6,15,D,0
-33.2224,-71.3769,464.4,1,1,2006-01-08,1833,Aqua,MODIS,100,6.2,318.9,952.5,D,0
-32.4793,-71.1791,344.3,1,1,2006-01-08,1833,Aqua,MODIS,90,6.2,315.2,36,D,0
-30.6225,-71.225,331.6,1,1,2006-01-08,1834,Aqua,MODIS,69,6.2,314.1,12.8,D,0
-34.1065,-70.4591,300.3,1.9,1.4,2006-01-09,0400,Terra,MODIS,23,6.2,286.4,15.9,N,2
-33.0612,-71.5591,306.3,1.7,1.3,2006-01-09,0400,Terra,MODIS,68,6.2,290.8,17.3,N,0
-33.3987,-71.6744,301.7,1.7,1.3,2006-01-09,0400,Terra,MODIS,43,6.2,287.4,13.7,N,0
-33.4011,-71.6604,324.8,1.6,1.2,2006-01-09,0535,Aqua,MODIS,100,6.2,287.9,48.7,N,0
-33.4008,-71.6659,322.3,1.6,1.2,2006-01-09,0535,Aqua,MODIS,100,6.2,287.9,43.9,N,0
-23.8205,-70.3153,329.4,1,1,2006-01-09,1459,Terra,MODIS,53,6.2,310.5,10,D,0
-34.1085,-70.4487,321.7,1.2,1.1,2006-01-09,1502,Terra,MODIS,42,6.2,307.8,9.3,D,2
-34.107,-70.4619,322.8,1.2,1.1,2006-01-09,1502,Terra,MODIS,59,6.2,309.3,10.1,D,2
-33.3987,-71.6629,319,1.1,1,2006-01-09,1502,Terra,MODIS,60,6.2,304.8,8.7,D,0
-38.7573,-72.6274,304.6,1.1,1.1,2006-01-09,1503,Terra,MODIS,37,6.2,291.1,5.7,D,0
-33.2245,-71.3616,330,2.8,1.6,2006-01-09,1916,Aqua,MODIS,75,6.2,304.4,95.4,D,0
-22.3165,-68.8879,306.4,1.1,1.1,2006-01-10,0308,Terra,MODIS,68,6.2,284.5,12.4,N,2
-23.8243,-70.3136,309.7,1.4,1.2,2006-01-10,0308,Terra,MODIS,78,6.2,288.8,19.1,N,0
-27.4113,-70.2574,305,1.6,1.2,2006-01-10,0616,Aqua,MODIS,62,6.2,288.9,15.8,N,2
-34.5868,-70.7024,320.3,1.3,1.1,2006-01-10,1821,Aqua,MODIS,37,6.2,304.2,10.2,D,0
-37.2691,-72.158,314.1,1,1,2006-01-11,0347,Terra,MODIS,88,6.2,284.5,16,N,0
-37.8833,-72.6852,308.7,1,1,2006-01-11,0347,Terra,MODIS,75,6.2,283.9,10.2,N,0
-37.894,-72.6945,374.7,1,1,2006-01-11,0347,Terra,MODIS,100,6.2,289.9,134.7,N,0
-37.8923,-72.6831,376.4,1,1,2006-01-11,0347,Terra,MODIS,100,6.2,291.4,141.1,N,0
-37.885,-72.6967,305.3,1,1,2006-01-11,0347,Terra,MODIS,64,6.2,282.8,8,N,0
-32.8015,-70.963,300.1,1.3,1.1,2006-01-11,0348,Terra,MODIS,15,6.2,288.3,7.3,N,0
-34.1032,-70.4603,300.3,1.3,1.1,2006-01-11,0348,Terra,MODIS,24,6.2,285.8,8.8,N,2
-32.7991,-70.9496,310.7,1.3,1.1,2006-01-11,0348,Terra,MODIS,81,6.2,288.4,16.7,N,2
-34.1138,-71.2635,328.5,1,1,2006-01-11,1449,Terra,MODIS,80,6.2,307.6,20.7,D,0
-34.1045,-70.4514,321.8,1,1,2006-01-11,1449,Terra,MODIS,46,6.2,307.4,8.7,D,2
-36.4233,-71.9588,311.1,1,1,2006-01-11,1450,Terra,MODIS,50,6.2,300.1,5.4,D,0
-36.9728,-72.9346,307,1,1,2006-01-11,1450,Terra,MODIS,22,6.2,294.3,4,D,0
-38.4409,-71.8928,306.6,1,1,2006-01-11,1451,Terra,MODIS,55,6.2,295.7,5.3,D,0
-34.2585,-71.6235,332.2,1.6,1.3,2006-01-11,1904,Aqua,MODIS,79,6.2,314.3,27.5,D,0
-34.1008,-71.9532,396.3,1.6,1.2,2006-01-11,1904,Aqua,MODIS,87,6.2,307.3,437.5,D,0
-34.0897,-71.9563,339.6,1.6,1.2,2006-01-11,1904,Aqua,MODIS,0,6.2,298.7,68.2,D,0
-22.315,-68.8856,305.3,1.1,1.1,2006-01-12,0602,Aqua,MODIS,64,6.2,281.9,12.3,N,2
-26.4286,-69.4781,300.7,1.1,1.1,2006-01-12,0603,Aqua,MODIS,32,6.2,281.8,9.4,N,2
-26.43,-69.4669,300.2,1.1,1.1,2006-01-12,0603,Aqua,MODIS,23,6.2,281.1,9.3,N,2
-34.087,-71.9645,306.8,1.1,1,2006-01-12,0605,Aqua,MODIS,69,6.2,286.8,10.8,N,0
-37.0503,-72.4134,314.4,3,1.6,2006-01-12,1533,Terra,MODIS,67,6.2,299.6,45.3,D,0
-37.0519,-72.4082,316.9,3,1.6,2006-01-12,1533,Terra,MODIS,71,6.2,299.8,52.6,D,0
-34.6238,-71.6206,325.6,2.3,1.5,2006-01-12,1808,Aqua,MODIS,61,6.2,311,28.5,D,0
-34.7187,-70.6136,323.7,2,1.4,2006-01-12,1808,Aqua,MODIS,41,6.2,309.4,30.1,D,0
