latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
3.7508,-71.5632,309.4,1.2,1.1,2006-01-01,0321,Terra,MODIS,74,6.2,283.5,11.1,N,0
4.0979,-71.1342,300.9,1.2,1.1,2006-01-01,0321,Terra,MODIS,26,6.2,285.5,4.5,N,0
1.8661,-74.0646,305.2,1,1,2006-01-01,0321,Terra,MODIS,63,6.2,292.3,5.8,N,0
3.5615,-72.2464,305.6,1.1,1,2006-01-01,0321,Terra,MODIS,65,6.2,289.5,6.4,N,0
2.3073,-74.3891,331.4,1,1,2006-01-01,0321,Terra,MODIS,100,6.2,294.2,31.2,N,0
2.1943,-73.8296,305.1,1,1,2006-01-01,0321,Terra,MODIS,63,6.2,294,5.3,N,0
1.8571,-74.0633,310.9,1,1,2006-01-01,0321,Terra,MODIS,81,6.2,292.7,9.4,N,0
3.1513,-72.9271,304.4,1,1,2006-01-01,0321,Terra,MODIS,60,6.2,293.9,5.1,N,0
6.0354,-68.2828,310.4,2.1,1.4,2006-01-01,0322,Terra,MODIS,61,6.2,293.9,21.4,N,0
6.0472,-68.2779,307.9,2.1,1.4,2006-01-01,0322,Terra,MODIS,72,6.2,293.9,17.2,N,0
6.0346,-68.2762,311.1,2.1,1.4,2006-01-01,0322,Terra,MODIS,78,6.2,293.9,23.1,N,0
6.0195,-68.2932,304.4,2.1,1.4,2006-01-01,0322,Terra,MODIS,26,6.2,294,10.8,N,0
6.0505,-68.2657,304.1,2.1,1.4,2006-01-01,0322,Terra,MODIS,57,6.2,294,11.2,N,0
8.8756,-73.5698,305.2,1.1,1,2006-01-01,0323,Terra,MODIS,63,6.2,293.7,6,N,0
11.082,-72.6785,304.9,1.2,1.1,2006-01-01,0323,Terra,MODIS,58,6.2,294.3,6.1,N,2
9.8067,-73.0688,321.7,1.1,1.1,2006-01-01,0323,Terra,MODIS,100,6.2,290.5,24.4,N,0
9.8081,-73.059,316.6,1.1,1.1,2006-01-01,0323,Terra,MODIS,92,6.2,289.1,18.8,N,0
9.8009,-73.0718,311.4,1.1,1.1,2006-01-01,0323,Terra,MODIS,82,6.2,290.6,12.6,N,0
9.8023,-73.062,301.4,1.1,1.1,2006-01-01,0323,Terra,MODIS,33,6.2,289.3,5.4,N,0
10.8473,-73.2732,301.5,1.1,1.1,2006-01-01,0323,Terra,MODIS,41,6.2,289.8,6.4,N,0
9.8184,-73.0544,300,1.5,1.2,2006-01-01,0612,Aqua,MODIS,4,6.2,289.3,7.8,N,0
4.673,-71.4113,305.6,1.1,1,2006-01-01,0613,Aqua,MODIS,65,6.2,293.5,6.9,N,0
6.0525,-68.2645,306.3,1,1,2006-01-01,0613,Aqua,MODIS,65,6.2,293.7,5.8,N,0
5.0285,-70.5593,302.2,1,1,2006-01-01,0613,Aqua,MODIS,48,6.2,290,5,N,0
5.0194,-70.5606,315.3,1,1,2006-01-01,0613,Aqua,MODIS,91,6.2,289.8,14,N,0
3.5589,-72.2443,301,1.1,1.1,2006-01-01,0614,Aqua,MODIS,36,6.2,286.3,5.3,N,0
3.1436,-72.9205,317.4,1.2,1.1,2006-01-01,0614,Aqua,MODIS,95,6.2,292.4,20.8,N,0
9.8027,-73.0741,316.4,1.3,1.1,2006-01-01,1539,Terra,MODIS,55,6.2,300.5,15,D,0
4.5006,-70.9819,364.2,2.3,1.5,2006-01-01,1540,Terra,MODIS,100,6.2,300.1,291.4,D,0
4.5109,-70.9737,364.9,2.3,1.5,2006-01-01,1540,Terra,MODIS,100,6.2,301.6,297.6,D,0
4.5141,-70.9938,336.5,2.3,1.5,2006-01-01,1540,Terra,MODIS,88,6.2,299.7,87.6,D,0
4.8958,-71.3332,314.9,2.1,1.4,2006-01-01,1540,Terra,MODIS,64,6.2,298.8,16.1,D,0
4.5239,-70.9718,323.8,2.3,1.5,2006-01-01,1540,Terra,MODIS,77,6.2,300.2,41.5,D,0
4.8917,-69.2758,313.7,3.1,1.7,2006-01-01,1540,Terra,MODIS,39,6.2,296.3,23.3,D,0
4.8913,-69.2703,315,3.1,1.7,2006-01-01,1540,Terra,MODIS,57,6.2,296.3,28.9,D,0
4.4975,-70.9616,321.6,2.3,1.5,2006-01-01,1540,Terra,MODIS,50,6.2,299.2,30.3,D,0
4.5049,-69.7116,315.5,2.9,1.6,2006-01-01,1540,Terra,MODIS,58,6.2,297.3,26.2,D,0
4.5007,-69.686,314.5,2.9,1.6,2006-01-01,1540,Terra,MODIS,51,6.2,296.4,22.6,D,0
5.768,-67.8863,325.4,3.8,1.8,2006-01-01,1540,Terra,MODIS,78,6.2,296.4,92.2,D,0
5.7588,-67.8822,321.1,3.8,1.8,2006-01-01,1540,Terra,MODIS,67,6.2,295.9,59.1,D,0
5.8018,-67.8405,322.1,3.8,1.8,2006-01-01,1540,Terra,MODIS,53,6.2,296.3,66.4,D,0
4.6095,-70.6767,326.8,2.4,1.5,2006-01-01,1540,Terra,MODIS,80,6.2,299,57.4,D,0
4.6921,-72.0305,315.5,1.9,1.3,2006-01-01,1540,Terra,MODIS,65,6.2,301.8,13.8,D,0
4.6947,-72.047,327.1,1.9,1.3,2006-01-01,1540,Terra,MODIS,80,6.2,301.4,42.4,D,0
5.1108,-68.0293,315.1,3.8,1.8,2006-01-01,1540,Terra,MODIS,39,6.2,295.7,40.9,D,0
5.8074,-67.8743,329.9,3.8,1.8,2006-01-01,1540,Terra,MODIS,82,6.2,296.7,131.6,D,0
5.8145,-67.8665,335.4,3.8,1.8,2006-01-01,1540,Terra,MODIS,87,6.2,296.8,185.7,D,0
5.9945,-67.9002,321.1,3.8,1.8,2006-01-01,1540,Terra,MODIS,73,6.2,296.5,72,D,0
6,-67.9333,319.7,3.7,1.8,2006-01-01,1540,Terra,MODIS,71,6.2,296.2,61.5,D,0
6.0073,-67.9252,320.8,3.7,1.8,2006-01-01,1540,Terra,MODIS,47,6.2,296.1,62.5,D,0
4.6128,-70.698,320.8,2.4,1.5,2006-01-01,1540,Terra,MODIS,71,6.2,298.9,34.6,D,0
4.5271,-68.7969,311.6,3.4,1.7,2006-01-01,1540,Terra,MODIS,35,6.2,293.5,26.7,D,0
4.9938,-69.8395,316.2,2.8,1.6,2006-01-01,1540,Terra,MODIS,64,6.2,298.5,24.4,D,0
5.0125,-70.583,313.8,2.4,1.5,2006-01-01,1540,Terra,MODIS,59,6.2,297.7,16.5,D,0
5.009,-70.5617,317.4,2.4,1.5,2006-01-01,1540,Terra,MODIS,68,6.2,297,27.7,D,0
5.0139,-70.5674,322.6,2.4,1.5,2006-01-01,1540,Terra,MODIS,75,6.2,297.9,43.7,D,0
5.0031,-70.8461,315.1,2.3,1.5,2006-01-01,1540,Terra,MODIS,64,6.2,298.7,18.2,D,0
4.4991,-69.6927,316.3,2.9,1.6,2006-01-01,1540,Terra,MODIS,64,6.2,296.5,28.4,D,0
6.7438,-69.9404,316.5,2.5,1.5,2006-01-01,1540,Terra,MODIS,68,6.2,298.2,29.7,D,0
5.0233,-70.0313,318.5,2.7,1.6,2006-01-01,1540,Terra,MODIS,69,6.2,298.3,30.8,D,0
4.4978,-70.9756,340.9,2.3,1.5,2006-01-01,1540,Terra,MODIS,90,6.2,299.5,113.4,D,0
6.2695,-71.3069,311,2,1.4,2006-01-01,1540,Terra,MODIS,46,6.2,297.4,12.5,D,0
4.5995,-70.7,318.3,2.4,1.5,2006-01-01,1540,Terra,MODIS,65,6.2,297.9,25.6,D,0
4.5136,-70.9799,348.6,2.3,1.5,2006-01-01,1540,Terra,MODIS,94,6.2,301.3,159.9,D,0
4.5011,-70.9958,321.5,2.3,1.5,2006-01-01,1540,Terra,MODIS,35,6.2,299,26.1,D,0
4.255,-70.8427,323.2,2.4,1.5,2006-01-01,1541,Terra,MODIS,76,6.2,299.6,40.4,D,0
3.7014,-71.5767,332.6,2.1,1.4,2006-01-01,1541,Terra,MODIS,84,6.2,295.5,66.5,D,0
3.7009,-71.5833,328.5,2.1,1.4,2006-01-01,1541,Terra,MODIS,80,6.2,294.9,51.6,D,0
3.5556,-72.2491,328.5,1.9,1.3,2006-01-01,1541,Terra,MODIS,82,6.2,303,43,D,0
