latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-11.7699,43.3458,355.6,3.3,1.7,2006-05-28,2017,Terra,MODIS,100,6.2,280.4,435.3,N,0
-11.7706,43.3589,437,1.8,1.3,2006-05-29,0707,Terra,MODIS,87,6.2,303.7,1345.3,D,0
-11.7734,43.3752,424.8,1.8,1.3,2006-05-29,0707,Terra,MODIS,87,6.2,300.1,1047.7,D,0
-11.7677,43.3824,372.2,1.8,1.3,2006-05-29,0707,Terra,MODIS,0,6.2,292.4,285,D,0
-11.7624,43.3497,352.2,1.8,1.3,2006-05-29,0707,Terra,MODIS,0,6.2,292.5,153.6,D,0
-11.7722,43.4098,317.3,1.8,1.3,2006-05-29,0707,Terra,MODIS,30,6.2,288.6,26.3,D,0
-11.7667,43.3143,320.2,1.7,1.3,2006-05-29,1922,Terra,MODIS,60,6.2,282.4,35,N,0
-11.7502,43.3512,313.1,1.7,1.3,2006-05-29,1922,Terra,MODIS,67,6.2,276.2,24.8,N,0
-11.7481,43.3673,312.2,1.7,1.3,2006-05-29,1922,Terra,MODIS,46,6.2,275.8,23.3,N,1
-11.7829,43.3713,309.9,1.7,1.3,2006-05-29,1922,Terra,MODIS,51,6.2,277.1,19,N,0
-11.7851,43.3538,309.3,1.7,1.3,2006-05-29,1922,Terra,MODIS,50,6.2,278.7,17.4,N,0
-11.7712,43.3705,444.1,1.7,1.3,2006-05-29,1922,Terra,MODIS,100,6.2,304.4,1414,N,0
-11.7733,43.3545,403.4,1.7,1.3,2006-05-29,1922,Terra,MODIS,100,6.2,287.9,605.2,N,0
-11.7641,43.3345,318.3,1.7,1.3,2006-05-29,1922,Terra,MODIS,35,6.2,278.7,29.2,N,0
-11.7501,43.3609,324.4,1.1,1.1,2006-05-29,2224,Aqua,MODIS,100,6.2,276.2,28,N,0
-11.7517,43.3712,345,1.1,1.1,2006-05-29,2224,Aqua,MODIS,100,6.2,277,64.2,N,1
-11.7629,43.38,340.1,1.1,1.1,2006-05-29,2224,Aqua,MODIS,100,6.2,284.4,52.9,N,1
-11.7692,43.3579,349.1,1.1,1.1,2006-05-29,2224,Aqua,MODIS,100,6.2,278.2,73.5,N,0
-11.7708,43.3682,378.7,1.1,1.1,2006-05-29,2224,Aqua,MODIS,100,6.2,283.8,180,N,0
-11.7724,43.3785,316.6,1.1,1.1,2006-05-29,2224,Aqua,MODIS,21,6.2,279.1,17.8,N,0
-11.7747,43.3617,308.1,1.1,1.1,2006-05-29,2224,Aqua,MODIS,28,6.2,277.6,11.5,N,0
-11.7698,43.3646,498.2,1.1,1,2006-05-30,1039,Aqua,MODIS,100,6.2,316.1,0,D,0
-11.7712,43.3547,434.4,1.1,1,2006-05-30,1039,Aqua,MODIS,100,6.2,296.7,0,D,0
-11.7745,43.3859,332.1,3.2,1.7,2006-05-30,2306,Aqua,MODIS,100,6.2,278.8,188.1,N,0
-11.7727,43.3801,341.5,3.2,1.7,2006-05-30,2306,Aqua,MODIS,100,6.2,279.5,266.8,N,0
-11.7597,43.3335,325.7,3,1.7,2006-05-31,1910,Terra,MODIS,100,6.2,283.5,124.7,N,0
-11.7708,43.3734,422.4,3,1.6,2006-05-31,1910,Terra,MODIS,100,6.2,293.2,2062.5,N,0
-11.7744,43.3415,381.5,3,1.7,2006-05-31,1910,Terra,MODIS,100,6.2,287.6,800.1,N,0
-11.7593,43.3416,353.3,3,1.7,2006-05-31,1910,Terra,MODIS,100,6.2,283.7,352.2,N,0
-11.7706,43.3681,429.6,3,1.6,2006-05-31,1910,Terra,MODIS,100,6.2,296.2,2388.7,N,0
-11.7748,43.3333,348.2,3,1.7,2006-05-31,1910,Terra,MODIS,100,6.2,286.2,298.2,N,0
-11.7655,43.3575,417.1,1.8,1.3,2006-05-31,2211,Aqua,MODIS,100,6.2,286.4,893.7,N,0
-11.7723,43.3632,316.5,1.8,1.3,2006-05-31,2211,Aqua,MODIS,67,6.2,280.4,35.9,N,0
-11.7565,43.3757,388.3,1.8,1.3,2006-05-31,2211,Aqua,MODIS,100,6.2,294.2,456.7,N,1
-11.7487,43.367,313.7,1.8,1.3,2006-05-31,2211,Aqua,MODIS,83,6.2,279.6,32.6,N,1
-11.7683,43.3738,467.7,1.8,1.3,2006-05-31,2211,Aqua,MODIS,100,6.2,311,2316.6,N,0
-11.78,43.3716,319.2,1.8,1.3,2006-05-31,2211,Aqua,MODIS,98,6.2,280.3,44.1,N,0
-11.7679,43.3551,440.6,1.7,1.3,2006-06-01,1027,Aqua,MODIS,57,6.2,309.9,1312.6,D,0
-11.7662,43.3574,353.4,1.2,1.1,2006-06-01,1953,Terra,MODIS,100,6.2,287.2,92.6,N,0
-11.7687,43.367,312.4,1,1,2006-06-03,1941,Terra,MODIS,79,6.2,287.9,14.8,N,0
-11.6608,43.3917,313.4,1.8,1.3,2006-06-15,0750,Terra,MODIS,26,6.2,296,16.3,D,0
-11.5975,43.3608,322.8,1,1,2006-08-13,0732,Terra,MODIS,76,6.2,299.5,15.4,D,0
-11.6986,43.3849,317.8,3.1,1.7,2006-08-19,0655,Terra,MODIS,55,6.2,296.1,54.6,D,0
-11.5669,43.3426,317.4,1.3,1.1,2006-08-27,1034,Aqua,MODIS,51,6.2,299.2,11.9,D,0
-11.574,43.3674,328.2,1.3,1.1,2006-08-27,1034,Aqua,MODIS,81,6.2,302.1,27.9,D,0
-11.5756,43.3558,332.3,1.3,1.1,2006-08-27,1034,Aqua,MODIS,85,6.2,301,35.8,D,0
-11.5638,43.3661,316,1.3,1.1,2006-08-27,1034,Aqua,MODIS,40,6.2,299.9,10.1,D,0
-11.5653,43.3546,370,1.3,1.1,2006-08-27,1034,Aqua,MODIS,100,6.2,303.8,163.9,D,0
-11.6934,43.261,311.6,1,1,2006-08-29,0732,Terra,MODIS,17,6.2,296.6,5.9,D,0
-11.7079,43.2986,319.9,1.1,1.1,2006-09-05,0738,Terra,MODIS,72,6.2,294.5,17.6,D,0
-11.5279,43.311,317.6,1.8,1.3,2006-09-19,0750,Terra,MODIS,54,6.2,299.9,20.7,D,0
-11.5596,43.372,322.1,1.8,1.3,2006-09-19,0750,Terra,MODIS,49,6.2,293.3,30.3,D,0
-11.5571,43.3641,321.3,1.1,1,2006-09-19,1041,Aqua,MODIS,66,6.2,294.9,11.6,D,0
-11.5477,43.3629,326.3,1.1,1,2006-09-19,1041,Aqua,MODIS,69,6.2,295.7,17.8,D,0
-11.7731,43.3609,310.7,3.1,1.7,2006-11-04,0802,Terra,MODIS,29,6.2,296.7,36.2,D,0
-11.5918,43.3041,309.1,1.2,1.1,2006-11-05,2225,Aqua,MODIS,65,6.2,293.3,10.4,N,0
-11.7183,43.3383,326.3,1.1,1.1,2006-11-08,0738,Terra,MODIS,79,6.2,295.8,22.3,D,0
-11.8665,43.4328,321,1,1,2006-11-13,1046,Aqua,MODIS,64,6.2,299.9,10.5,D,0
-11.8652,43.4419,327.3,1,1,2006-11-13,1046,Aqua,MODIS,80,6.2,302.3,16.9,D,0
-11.8716,43.4615,329.6,1,1,2006-11-13,1046,Aqua,MODIS,62,6.2,303.4,17,D,0
-11.8913,43.4145,316,1.4,1.2,2006-11-15,0744,Terra,MODIS,0,6.2,299.4,15.7,D,0
