latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
10.4203,-85.1728,318.5,1.1,1,2006-01-02,1622,Terra,MODIS,74,6.2,301,9.8,D,0
9.8398,-84.5916,304.5,1.2,1.1,2006-01-02,1622,Terra,MODIS,32,6.2,286.3,4.2,D,0
10.4115,-85.3183,323,1.4,1.2,2006-01-02,1922,Aqua,MODIS,77,6.2,296.6,20.9,D,0
10.4266,-85.5271,344.1,1.4,1.2,2006-01-02,1922,Aqua,MODIS,80,6.2,293.6,69.5,D,0
10.464,-84.3225,317.3,1,1,2006-01-04,1610,Terra,MODIS,63,6.2,296.6,10.3,D,0
10.5369,-85.5323,319.2,1,1,2006-01-04,1910,Aqua,MODIS,45,6.2,301.6,6.3,D,0
10.5076,-85.5386,315.8,3.3,1.7,2006-01-08,0330,Terra,MODIS,89,6.2,289,78.6,N,0
10.5108,-85.534,319.5,3.3,1.7,2006-01-08,0330,Terra,MODIS,98,6.2,289.2,96.7,N,0
10.0327,-84.3067,314,1.6,1.2,2006-01-08,1845,Aqua,MODIS,22,6.2,287.7,16.7,D,0
10.0317,-84.3013,312.1,1.6,1.2,2006-01-08,1845,Aqua,MODIS,0,6.2,286.8,14.5,D,0
9.9749,-85.1846,319.9,1.9,1.3,2006-01-09,1928,Aqua,MODIS,36,6.2,299.7,17.6,D,0
9.9823,-85.1798,322.8,1.9,1.3,2006-01-09,1928,Aqua,MODIS,67,6.2,300.9,24.4,D,0
10.4502,-85.5257,328.4,3.3,1.7,2006-01-10,1833,Aqua,MODIS,83,6.2,298.7,103.7,D,0
8.9254,-83.5127,311.6,2.4,1.5,2006-01-10,1833,Aqua,MODIS,47,6.2,294,23.9,D,0
10.4468,-85.5301,328.5,3.3,1.7,2006-01-10,1833,Aqua,MODIS,82,6.2,298.8,104.5,D,0
10.3796,-85.115,317.1,1,1,2006-01-11,1616,Terra,MODIS,72,6.2,300.1,7.1,D,0
10.4944,-85.4715,319.7,1.1,1.1,2006-01-11,1916,Aqua,MODIS,67,6.2,302.7,9.8,D,0
9.9887,-84.7505,313.9,1.2,1.1,2006-01-11,1916,Aqua,MODIS,32,6.2,293.7,5.8,D,0
10.4046,-85.1374,320,1.2,1.1,2006-01-11,1916,Aqua,MODIS,63,6.2,302.2,8.9,D,0
10.3956,-85.1348,316.2,1.2,1.1,2006-01-13,1604,Terra,MODIS,55,6.2,301.9,6.9,D,0
10.4131,-85.25,320.2,1.2,1.1,2006-01-13,1604,Terra,MODIS,72,6.2,300.3,13,D,0
10.3724,-85.183,339.7,1.2,1.1,2006-01-13,1604,Terra,MODIS,90,6.2,301.2,46.7,D,0
10.4129,-85.2565,319,1.2,1.1,2006-01-13,1604,Terra,MODIS,46,6.2,301,11.9,D,0
10.3355,-85.5043,316,1.3,1.1,2006-01-13,1604,Terra,MODIS,65,6.2,302.4,8.3,D,0
10.4556,-85.4389,314.4,1.4,1.2,2006-01-15,1852,Aqua,MODIS,38,6.2,294,9.8,D,0
10.6561,-85.5107,338.2,1.1,1,2006-01-18,1622,Terra,MODIS,90,6.2,302.5,34.7,D,0
10.2965,-85.1181,329.2,1,1,2006-01-20,1610,Terra,MODIS,83,6.2,302.3,19.5,D,0
