latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
9.0375,-6.268,322.7,1.4,1.2,2006-01-01,1043,Terra,MODIS,74,6.2,300.4,23,D,0
9.0358,-6.2552,333,1.4,1.2,2006-01-01,1043,Terra,MODIS,84,6.2,301.8,43.1,D,0
8.8246,-6.4078,324.3,1.4,1.2,2006-01-01,1043,Terra,MODIS,76,6.2,302.5,26.6,D,0
9.4406,-2.9346,343.7,1,1,2006-01-01,1043,Terra,MODIS,90,6.2,306.6,38.7,D,0
7.8675,-4.3371,315.9,1.1,1,2006-01-01,1043,Terra,MODIS,65,6.2,302.1,7.9,D,0
7.8135,-4.8046,317.6,1.1,1.1,2006-01-01,1043,Terra,MODIS,62,6.2,302.8,8.2,D,0
7.8436,-7.1775,314.4,1.6,1.2,2006-01-01,1043,Terra,MODIS,67,6.2,299.6,12.8,D,0
7.8798,-7.6138,306.1,1.7,1.3,2006-01-01,1043,Terra,MODIS,40,6.2,294.9,7.7,D,0
7.8431,-7.1835,312.5,1.6,1.2,2006-01-01,1043,Terra,MODIS,64,6.2,299.5,10.5,D,0
8.0221,-7.234,313.5,1.6,1.2,2006-01-01,1043,Terra,MODIS,60,6.2,299.1,13.2,D,0
7.7614,-7.1644,311.2,1.6,1.2,2006-01-01,1043,Terra,MODIS,54,6.2,298.6,9.2,D,0
7.7611,-7.1717,313.7,1.6,1.2,2006-01-01,1043,Terra,MODIS,63,6.2,298.2,12.9,D,0
8.0865,-7.368,312,1.6,1.3,2006-01-01,1043,Terra,MODIS,53,6.2,299.5,10.5,D,0
8.7334,-5.1086,322.4,1.2,1.1,2006-01-01,1043,Terra,MODIS,72,6.2,304.4,15.6,D,0
9.01,-6.0663,317.8,1.4,1.2,2006-01-01,1043,Terra,MODIS,65,6.2,302,12.8,D,0
9.0517,-6.0607,320.9,1.4,1.2,2006-01-01,1043,Terra,MODIS,71,6.2,301.7,17.2,D,0
