latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
44.1051,16.1042,304.2,1.1,1.1,2006-01-26,1207,Aqua,MODIS,58,6.2,280.7,10.9,D,0
42.999,17.6229,307.2,1.4,1.2,2006-02-01,1130,Aqua,MODIS,65,6.2,288.2,14.4,D,0
44.2249,15.9786,302.1,1.3,1.1,2006-02-02,1213,Aqua,MODIS,51,6.2,279.3,10.7,D,0
45.6952,16.4328,313.4,1.1,1,2006-02-15,1143,Aqua,MODIS,74,6.2,282.3,15.9,D,0
45.2508,17.6566,306.8,1,1,2006-02-15,1143,Aqua,MODIS,64,6.2,280.1,10.8,D,0
45.2488,17.6438,305.9,1,1,2006-02-15,1143,Aqua,MODIS,62,6.2,281.1,10.2,D,0
45.6974,16.4462,304.9,1.1,1,2006-02-15,1143,Aqua,MODIS,60,6.2,281.8,9.4,D,0
44.8516,15.7694,304.2,1.3,1.1,2006-02-18,1213,Aqua,MODIS,58,6.2,288,9.6,D,0
45.3176,16.3487,304.8,1.4,1.2,2006-02-18,1214,Aqua,MODIS,44,6.2,286.3,9.9,D,0
45.5534,18.223,301.9,1.2,1.1,2006-02-20,1201,Aqua,MODIS,50,6.2,288.7,6.5,D,0
45.3909,18.5939,302.9,1.3,1.1,2006-02-20,1201,Aqua,MODIS,54,6.2,276.9,9.6,D,0
45.7799,16.1057,302.3,1,1,2006-03-19,1002,Terra,MODIS,51,6.2,286.2,4.9,D,0
45.7819,16.093,312.8,1,1,2006-03-19,1002,Terra,MODIS,73,6.2,285.7,12,D,0
46.4027,16.6157,301.4,3,1.7,2006-03-20,1045,Terra,MODIS,47,6.2,288.4,21.2,D,0
45.3718,15.8816,305.9,1.9,1.3,2006-03-20,1226,Aqua,MODIS,62,6.2,291.8,14,D,0
45.5686,15.8563,302.5,1.9,1.3,2006-03-20,1226,Aqua,MODIS,52,6.2,291.3,9.3,D,0
45.5669,15.8321,304.1,1.9,1.3,2006-03-20,1226,Aqua,MODIS,58,6.2,290.8,11.6,D,0
45.7488,15.9229,305.4,1.9,1.3,2006-03-20,1226,Aqua,MODIS,61,6.2,293.2,11.2,D,0
45.7414,15.9161,305.3,1.9,1.3,2006-03-20,1226,Aqua,MODIS,61,6.2,293.2,11.5,D,0
45.7021,18.2951,303.5,2.6,1.5,2006-03-20,1226,Aqua,MODIS,56,6.2,290,19.2,D,0
45.6944,18.2875,300.9,2.6,1.5,2006-03-20,1226,Aqua,MODIS,43,6.2,289.8,14,D,0
45.3668,15.8988,304,1.9,1.3,2006-03-20,1226,Aqua,MODIS,58,6.2,290.6,11.4,D,0
45.6746,16.0842,302.6,1.9,1.4,2006-03-20,1226,Aqua,MODIS,53,6.2,291.1,9.1,D,0
46.4165,16.567,303.8,2.1,1.4,2006-03-20,1226,Aqua,MODIS,57,6.2,291.6,11.1,D,0
46.4057,16.5963,303.7,2.1,1.4,2006-03-20,1226,Aqua,MODIS,57,6.2,291.7,11.2,D,0
45.3365,18.8929,304.3,1,1,2006-03-21,0950,Terra,MODIS,59,6.2,288.5,5.3,D,0
45.366,18.8225,305.2,1,1,2006-03-21,0950,Terra,MODIS,61,6.2,288.3,6,D,0
45.7129,17.2492,302.4,1.1,1.1,2006-03-24,1202,Aqua,MODIS,52,6.2,289.1,6.2,D,0
46.3563,16.7321,308.2,1.1,1,2006-03-24,1202,Aqua,MODIS,67,6.2,289.3,8.3,D,0
45.7415,17.949,306.5,1.3,1.1,2006-03-26,1008,Terra,MODIS,62,6.2,290,7.7,D,0
45.3543,18.9811,304,1.4,1.2,2006-03-26,1008,Terra,MODIS,44,6.2,290.8,5.9,D,0
44.9188,15.6281,306.6,1.1,1,2006-03-26,1009,Terra,MODIS,64,6.2,288.9,7,D,0
45.4902,18.683,313.1,1,1,2006-03-26,1149,Aqua,MODIS,71,6.2,285.7,11.2,D,0
45.4135,18.3092,305.7,1,1,2006-03-26,1149,Aqua,MODIS,51,6.2,288.8,4.7,D,0
45.2797,18.8245,304,1,1,2006-03-26,1149,Aqua,MODIS,41,6.2,284.6,4.9,D,0
45.5715,18.6677,308.8,1,1,2006-03-26,1149,Aqua,MODIS,60,6.2,281.5,8,D,0
45.4919,18.696,306,1,1,2006-03-26,1149,Aqua,MODIS,57,6.2,285.5,6.1,D,0
44.3816,15.9146,300.9,1,1,2006-03-26,1149,Aqua,MODIS,39,6.2,275.8,5.2,D,0
45.8333,18.7606,312.4,1,1,2006-03-26,1149,Aqua,MODIS,72,6.2,285.7,10.2,D,0
45.8316,18.7475,307.3,1,1,2006-03-26,1149,Aqua,MODIS,64,6.2,285.9,6.3,D,0
45.7585,16.6155,302,3.8,1.8,2006-03-27,1051,Terra,MODIS,50,6.2,289,26.6,D,0
