latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
20.8764,-77.108,316.2,1.3,1.1,2006-01-01,1842,Aqua,MODIS,37,6.2,296.9,10.4,D,0
21.7284,-78.9044,324.6,1.1,1,2006-01-01,1842,Aqua,MODIS,78,6.2,303.3,16.4,D,0
21.7298,-78.8939,315.4,1.1,1,2006-01-01,1842,Aqua,MODIS,56,6.2,302.8,6.5,D,0
21.1027,-76.7387,318,1.4,1.2,2006-01-01,1842,Aqua,MODIS,52,6.2,298.7,15.2,D,0
21.0969,-76.7462,323.7,1.4,1.2,2006-01-01,1842,Aqua,MODIS,77,6.2,298.9,26.4,D,0
21.0986,-76.7327,313.3,1.4,1.2,2006-01-01,1842,Aqua,MODIS,53,6.2,298.7,10.5,D,0
22.4842,-80.833,317.2,1,1,2006-01-01,1842,Aqua,MODIS,70,6.2,299.9,9,D,0
22.4856,-80.8234,312.5,1,1,2006-01-01,1842,Aqua,MODIS,60,6.2,299.2,5.2,D,0
20.8785,-77.1157,323.6,1.3,1.1,2006-01-01,1842,Aqua,MODIS,77,6.2,298.3,21.9,D,0
20.8749,-77.1207,316.1,1.3,1.1,2006-01-01,1842,Aqua,MODIS,35,6.2,297.9,10,D,0
22.8876,-82.5506,315.3,1,1,2006-01-01,1843,Aqua,MODIS,67,6.2,299.9,7,D,0
22.8353,-82.2188,324.1,1,1,2006-01-01,1843,Aqua,MODIS,79,6.2,299.3,15.3,D,0
23.0214,-82.6386,316.6,1,1,2006-01-01,1843,Aqua,MODIS,69,6.2,298.4,8.6,D,0
23.023,-82.6285,315.5,1,1,2006-01-01,1843,Aqua,MODIS,67,6.2,298.6,8.1,D,0
22.8267,-82.7051,314.5,1.1,1,2006-01-01,1843,Aqua,MODIS,66,6.2,300.2,6.3,D,0
22.8263,-82.2172,314.7,1,1,2006-01-01,1843,Aqua,MODIS,31,6.2,299.5,5.3,D,0
22.8678,-82.312,315.7,1,1,2006-01-01,1843,Aqua,MODIS,68,6.2,298.5,7.6,D,0
22.9212,-82.0793,313.7,1,1,2006-01-01,1843,Aqua,MODIS,64,6.2,297.9,5.3,D,0
22.8226,-81.7969,310.3,1.1,1.1,2006-01-02,1619,Terra,MODIS,52,6.2,298.9,5.4,D,0
20.2121,-74.987,312,1.4,1.2,2006-01-03,1524,Terra,MODIS,61,6.2,299.1,10.5,D,0
20.2073,-74.9943,312.4,1.4,1.2,2006-01-03,1524,Terra,MODIS,61,6.2,299.1,10.3,D,0
20.1137,-75.9285,312.5,1.1,1,2006-01-03,1829,Aqua,MODIS,62,6.2,299.4,6.7,D,0
21.6335,-78.5365,326.4,1,1,2006-01-03,1830,Aqua,MODIS,79,6.2,302.3,15.8,D,0
21.6259,-78.5253,319.3,1,1,2006-01-03,1830,Aqua,MODIS,58,6.2,303.4,9.3,D,0
21.6245,-78.535,337.8,1,1,2006-01-03,1830,Aqua,MODIS,88,6.2,304.9,32.1,D,0
21.7399,-77.7401,320.6,1,1,2006-01-03,1830,Aqua,MODIS,72,6.2,302.8,9.7,D,0
21.7681,-77.7349,315.2,1,1,2006-01-03,1830,Aqua,MODIS,43,6.2,300.3,7.1,D,0
21.7667,-77.7445,329.3,1,1,2006-01-03,1830,Aqua,MODIS,82,6.2,303.2,20.8,D,0
22.4055,-83.3747,313,1.7,1.3,2006-01-03,1830,Aqua,MODIS,44,6.2,299.7,10.8,D,0
22.7991,-82.9105,309.3,1.6,1.2,2006-01-03,1830,Aqua,MODIS,21,6.2,296.5,8,D,0
21.6307,-79.4214,317.3,1.1,1,2006-01-03,1830,Aqua,MODIS,65,6.2,304.3,8.3,D,0
23.0169,-82.7853,321.6,1.5,1.2,2006-01-03,1830,Aqua,MODIS,0,6.2,299.3,25.4,D,0
22.94,-81.084,314.3,1.2,1.1,2006-01-03,1830,Aqua,MODIS,57,6.2,302.4,8.4,D,0
22.927,-80.6735,319.3,1.2,1.1,2006-01-03,1830,Aqua,MODIS,71,6.2,304.3,13.6,D,0
22.9288,-80.6625,328.6,1.1,1.1,2006-01-03,1830,Aqua,MODIS,82,6.2,302,26.1,D,0
22.9175,-80.6717,317.5,1.2,1.1,2006-01-03,1830,Aqua,MODIS,62,6.2,302.4,11.1,D,0
22.9193,-80.6607,326.5,1.1,1.1,2006-01-03,1830,Aqua,MODIS,80,6.2,301.7,22.5,D,0
21.7484,-79.6113,320.2,1.1,1,2006-01-03,1830,Aqua,MODIS,71,6.2,304.3,11.8,D,0
21.9972,-78.1938,318.7,1,1,2006-01-03,1830,Aqua,MODIS,68,6.2,302.3,9.1,D,0
23.0442,-80.6404,324.4,1,1,2006-01-04,1606,Terra,MODIS,81,6.2,298.6,19,D,0
22.964,-81.4669,309.1,1,1,2006-01-04,1606,Terra,MODIS,60,6.2,296.9,5.3,D,0
23.0396,-80.671,342.4,1,1,2006-01-04,1606,Terra,MODIS,92,6.2,299.4,43.3,D,0
23.0307,-80.6725,323.6,1,1,2006-01-04,1606,Terra,MODIS,80,6.2,297,17.5,D,0
20.7102,-77.0118,312.6,1.5,1.2,2006-01-04,1607,Terra,MODIS,67,6.2,295.8,14.3,D,0
21.7491,-79.6119,327.9,1.1,1,2006-01-04,1607,Terra,MODIS,83,6.2,300.9,23,D,0
21.6656,-79.2787,318.7,3.4,1.7,2006-01-04,1913,Aqua,MODIS,70,6.2,296.7,61.5,D,0
23.0299,-80.6703,311.4,2.8,1.6,2006-01-04,1913,Aqua,MODIS,58,6.2,298,27.8,D,0
20.4142,-76.8889,318.3,1.1,1.1,2006-01-05,1817,Aqua,MODIS,70,6.2,301.1,11.1,D,0
20.4124,-76.8997,312.3,1.1,1.1,2006-01-05,1817,Aqua,MODIS,48,6.2,299.1,5.3,D,0
22.7783,-81.8919,317.6,2.2,1.4,2006-01-05,1818,Aqua,MODIS,73,6.2,299.2,32.8,D,0
23.0342,-80.651,315.1,1.8,1.3,2006-01-05,1818,Aqua,MODIS,64,6.2,302.2,19.1,D,0
22.8703,-82.3213,310.3,2.3,1.5,2006-01-05,1818,Aqua,MODIS,57,6.2,299.3,14.5,D,0
