latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
12.136,-68.9318,312.7,1.5,1.2,2006-01-16,0240,Terra,MODIS,79,6.2,292.7,18.4,N,0
12.1284,-68.9307,316.8,1.1,1.1,2006-02-13,0305,Terra,MODIS,92,6.2,296.2,14.9,N,0
12.1833,-68.9623,311.4,1.8,1.3,2006-04-16,1533,Terra,MODIS,10,6.2,293.6,15.1,D,0
12.1389,-68.9336,306.8,1.1,1.1,2006-05-18,0607,Aqua,MODIS,49,6.2,292.9,6.3,N,0
12.1704,-68.9899,329.7,1.2,1.1,2006-05-31,0247,Terra,MODIS,100,6.2,296.6,33.1,N,0
12.1343,-68.9277,313.3,1,1,2006-06-01,0619,Aqua,MODIS,82,6.2,288.3,10.3,N,0
12.1233,-68.8397,308.1,1,1,2006-06-14,0300,Terra,MODIS,59,6.2,294.2,5.5,N,0
12.1337,-68.928,308.2,1.2,1.1,2006-07-02,0248,Terra,MODIS,11,6.2,290.4,8.6,N,0
12.1334,-68.9346,329.4,1.1,1.1,2006-07-02,1503,Terra,MODIS,0,6.2,295.9,23.1,D,0
12.1346,-68.936,318.4,1,1,2006-07-03,0620,Aqua,MODIS,96,6.2,295.5,14,N,0
12.1332,-68.9267,326.2,1,1,2006-07-03,0620,Aqua,MODIS,100,6.2,296.1,22.1,N,0
12.1322,-68.9305,306.1,1,1,2006-08-29,0614,Aqua,MODIS,41,6.2,294.2,4.8,N,0
12.1367,-68.9355,307.5,1,1,2006-10-07,0621,Aqua,MODIS,55,6.2,294.3,5.1,N,0
12.1303,-68.9314,322.8,1.2,1.1,2006-11-07,1502,Terra,MODIS,0,6.2,303.5,11.2,D,0
12.1347,-68.9293,307.5,1,1,2006-11-08,0620,Aqua,MODIS,55,6.2,297,5.5,N,0
12.1347,-68.9275,314.7,1.1,1.1,2006-11-28,1521,Terra,MODIS,0,6.2,295.4,9.1,D,0
12.1345,-68.9342,315.8,1.1,1.1,2006-12-28,0608,Aqua,MODIS,89,6.2,295.6,15.3,N,0
