latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
49.6793,18.6638,301,1.2,1.1,2006-01-12,1156,Aqua,MODIS,24,6.2,271.8,11.2,D,2
49.6811,18.6627,303.1,1.4,1.2,2006-01-14,0033,Aqua,MODIS,53,6.2,267.1,19.3,N,2
49.6808,18.6552,300.7,1.3,1.1,2006-01-31,2015,Terra,MODIS,33,6.2,267.4,14.8,N,0
49.6789,18.6624,302.5,1,1,2006-03-19,1144,Aqua,MODIS,45,6.2,281.2,8.5,D,2
49.6729,18.6646,301.7,1.5,1.2,2006-03-24,1019,Terra,MODIS,42,6.2,279.4,15,D,2
49.8204,18.3245,302.9,1.4,1.2,2006-03-27,0123,Aqua,MODIS,52,6.2,267.3,18.2,N,0
49.8125,18.3157,305.3,1.1,1.1,2006-03-27,2022,Terra,MODIS,64,6.2,280.2,12.3,N,0
49.6785,18.6534,301.6,1.1,1.1,2006-03-30,1126,Aqua,MODIS,41,6.2,287.1,5.2,D,0
49.8151,18.3064,302.4,1.1,1.1,2006-03-30,1126,Aqua,MODIS,44,6.2,285.9,5.6,D,0
49.8142,18.3072,304.6,1.4,1.2,2006-04-01,0931,Terra,MODIS,45,6.2,288.7,8.7,D,0
49.8124,18.327,301.7,1.4,1.2,2006-04-01,0931,Terra,MODIS,42,6.2,287.3,6.2,D,0
49.8151,18.314,307.6,1,1,2006-04-01,2041,Terra,MODIS,55,6.2,273.4,13,N,0
50.06,14.5376,300.1,1,1,2006-04-02,1014,Terra,MODIS,13,6.2,282.4,3.3,D,0
49.7753,18.4263,303.4,1.2,1.1,2006-04-02,1157,Aqua,MODIS,52,6.2,290,5.1,D,0
49.493,17.5148,305.9,1,1,2006-04-04,1144,Aqua,MODIS,62,6.2,287.9,5.9,D,0
49.683,18.67,302.6,1,1,2006-04-07,0105,Aqua,MODIS,50,6.2,271.2,11.5,N,2
49.6753,18.6609,302.1,1.2,1.1,2006-04-08,0937,Terra,MODIS,44,6.2,290.3,5.5,D,2
50.0262,15.7804,307.9,1.1,1,2006-04-18,1014,Terra,MODIS,66,6.2,287.7,7.5,D,0
50.4175,14.9277,307.3,3,1.7,2006-04-19,0918,Terra,MODIS,65,6.2,293.7,29.2,D,0
49.6761,18.6626,302,1.3,1.1,2006-04-21,0117,Aqua,MODIS,23,6.2,276.7,11.8,N,2
49.6777,18.658,304.3,1.3,1.1,2006-04-21,0117,Aqua,MODIS,59,6.2,276.9,14.5,N,2
49.6743,18.6753,302.2,1.3,1.1,2006-04-21,0117,Aqua,MODIS,47,6.2,277,12.8,N,2
50.5796,13.6135,311.5,2.2,1.4,2006-04-22,0200,Aqua,MODIS,83,6.2,268.1,46.4,N,0
50.5809,13.6097,305.7,2.2,1.4,2006-04-22,0200,Aqua,MODIS,65,6.2,267.9,36.7,N,0
50.5756,13.598,301.6,1.5,1.2,2006-04-22,0949,Terra,MODIS,45,6.2,274,10.1,D,0
49.2556,18.0411,301.6,1,1,2006-04-22,0949,Terra,MODIS,21,6.2,280.3,4.4,D,0
50.3323,14.3624,306.1,1.4,1.2,2006-04-22,1133,Aqua,MODIS,63,6.2,274.6,12.1,D,0
49.8119,18.3187,309.8,1.3,1.1,2006-04-24,1120,Aqua,MODIS,51,6.2,294.8,8.3,D,0
49.7682,15.5893,306.7,1.1,1.1,2006-04-25,1020,Terra,MODIS,50,6.2,294.3,5.2,D,0
49.8123,18.3239,310.5,1.4,1.2,2006-04-25,1020,Terra,MODIS,63,6.2,295.8,9.9,D,0
49.6763,18.6708,311.1,1.2,1.1,2006-04-27,0041,Aqua,MODIS,82,6.2,279.2,20,N,2
49.5537,16.9599,304.3,1,1,2006-04-27,1151,Aqua,MODIS,43,6.2,290,4.3,D,0
49.6807,18.6555,317.2,1.4,1.2,2006-05-03,0931,Terra,MODIS,40,6.2,287,22.1,D,2
49.7836,18.4279,307,1.4,1.2,2006-05-03,0931,Terra,MODIS,63,6.2,294.6,7.3,D,0
49.5826,14.2025,306.7,1,1,2006-05-04,1014,Terra,MODIS,47,6.2,294,5.7,D,0
49.4248,15.5339,303.7,1.1,1,2006-05-04,1014,Terra,MODIS,51,6.2,289.9,4.6,D,0
50.0671,14.6721,304.8,1,1,2006-05-04,1157,Aqua,MODIS,23,6.2,292.8,3.5,D,0
49.6197,14.9163,302.5,1,1,2006-05-04,1157,Aqua,MODIS,9,6.2,289.9,3.4,D,0
50.4137,14.9342,302.3,2.6,1.6,2006-05-05,1056,Terra,MODIS,37,6.2,291,9.6,D,0
