latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
38.0007,125.4563,304.1,1,1,2006-01-06,0239,Terra,MODIS,58,6.2,269.7,11.6,D,0
38.9845,127.5515,326.3,1.1,1.1,2006-01-09,0446,Aqua,MODIS,73,6.2,272.9,34.8,D,0
40.1232,127.3683,306.4,1.2,1.1,2006-01-09,0447,Aqua,MODIS,63,6.2,276.5,13.7,D,0
40.1365,128.1014,312.9,1.2,1.1,2006-01-09,0447,Aqua,MODIS,73,6.2,272.3,21.4,D,0
40.1267,128.1039,304.7,1.2,1.1,2006-01-09,0447,Aqua,MODIS,50,6.2,275.2,13,D,0
40.1216,127.3548,307.2,1.2,1.1,2006-01-09,0447,Aqua,MODIS,65,6.2,275,14.4,D,0
40.1041,127.913,321,1,1,2006-01-11,0434,Aqua,MODIS,81,6.2,276.5,22.4,D,0
38.1853,125.4349,316.7,1,1,2006-01-22,0239,Terra,MODIS,73,6.2,273,20.4,D,0
38.1037,124.9581,302.7,1,1,2006-01-22,0239,Terra,MODIS,0,6.2,273.4,9.3,D,0
37.8739,126.6108,319.3,1.2,1.1,2006-02-01,0452,Aqua,MODIS,75,6.2,282.6,24.7,D,0
39.6991,125.9723,304.3,1.2,1.1,2006-02-01,0453,Aqua,MODIS,59,6.2,282.6,9.7,D,0
38.2015,126.7854,308.8,2,1.4,2006-02-12,0257,Terra,MODIS,68,6.2,275.7,34.9,D,0
38.199,126.7754,333.9,1,1,2006-02-12,0434,Aqua,MODIS,89,6.2,282.5,38.1,D,0
38.2288,126.1936,325.4,1,1,2006-02-12,0434,Aqua,MODIS,79,6.2,281.9,27.6,D,0
38.1918,126.7829,302.5,1,1,2006-02-12,0434,Aqua,MODIS,53,6.2,286.5,7.2,D,0
38.2008,126.7869,378.2,1,1,2006-02-12,0434,Aqua,MODIS,100,6.2,287.5,153.6,D,0
38.2307,126.2053,324.1,1,1,2006-02-12,0434,Aqua,MODIS,78,6.2,281.4,25.9,D,0
