latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
55.9099,8.642,319.2,1.1,1,2006-03-17,1159,Aqua,MODIS,0,6.2,271,18.1,D,0
55.9935,9.0663,302.5,1,1,2006-03-24,1205,Aqua,MODIS,53,6.2,272,9.4,D,0
55.4382,9.1291,300.2,1.8,1.3,2006-04-15,1120,Terra,MODIS,30,6.2,286.3,8.9,D,0
55.3971,8.7914,305.6,1.2,1.1,2006-04-16,1025,Terra,MODIS,62,6.2,291.2,5.7,D,0
55.395,8.8095,304.9,1.2,1.1,2006-04-16,1025,Terra,MODIS,60,6.2,290.5,4.9,D,0
57.0608,9.9803,303.7,1,1,2006-04-25,1205,Aqua,MODIS,0,6.2,289.5,5,D,0
56.1374,8.4888,300.9,2.5,1.5,2006-05-03,1116,Aqua,MODIS,29,6.2,287.7,5.9,D,0
57.061,9.973,308.4,1,1,2006-05-04,1159,Aqua,MODIS,0,6.2,292.6,6.4,D,0
56.6113,8.8537,306.2,1.1,1,2006-05-05,1055,Terra,MODIS,47,6.2,295.4,5.1,D,0
56.2658,8.3522,310.8,1.6,1.2,2006-05-05,1242,Aqua,MODIS,57,6.2,297.5,10.3,D,0
56.267,8.357,308.4,1.6,1.2,2006-05-05,1242,Aqua,MODIS,49,6.2,297.3,7.6,D,0
56.3801,9.4747,309.4,1.9,1.4,2006-05-06,1000,Terra,MODIS,65,6.2,295.6,16.5,D,0
57.0609,9.9739,306.9,1.1,1,2006-05-06,1147,Aqua,MODIS,0,6.2,293.8,6.1,D,0
56.6143,9.2192,311.5,1.2,1.1,2006-05-06,1147,Aqua,MODIS,51,6.2,298.6,10.4,D,0
55.8491,9.8639,303.2,1.1,1.1,2006-05-08,0159,Aqua,MODIS,54,6.2,278.2,11.4,N,0
57.0617,9.9842,312.3,1,1,2006-05-09,1030,Terra,MODIS,0,6.2,298.6,8.5,D,0
54.8186,11.3293,318.1,1,1,2006-05-09,1031,Terra,MODIS,57,6.2,295.9,11.6,D,0
54.8164,11.3445,310.9,1,1,2006-05-09,1031,Terra,MODIS,42,6.2,296.7,6.2,D,0
55.0751,9.7146,305.9,1,1,2006-05-09,1031,Terra,MODIS,0,6.2,295.5,4.2,D,0
54.8159,11.3339,330.8,1.2,1.1,2006-05-09,1217,Aqua,MODIS,86,6.2,299.1,31.2,D,0
54.8193,11.3457,309.3,1.2,1.1,2006-05-09,1217,Aqua,MODIS,46,6.2,298.3,5.4,D,0
56.534,8.5201,309.2,1,1,2006-05-09,1218,Aqua,MODIS,37,6.2,298.3,4.6,D,0
55.3308,10.6739,367.3,1,1,2006-05-11,1205,Aqua,MODIS,100,6.2,302.4,102.4,D,0
55.333,10.6894,323.8,1,1,2006-05-11,1205,Aqua,MODIS,78,6.2,300.7,16,D,0
54.9872,10.825,301.2,1.1,1.1,2006-06-07,1147,Aqua,MODIS,41,6.2,286.4,5.1,D,0
55.4408,10.4119,310.6,1.1,1.1,2006-06-10,1218,Aqua,MODIS,32,6.2,298.7,4.8,D,0
57.061,9.9842,313.7,1.2,1.1,2006-06-13,1101,Terra,MODIS,0,6.2,300.3,7.5,D,0
56.5368,9.0275,301.2,1.2,1.1,2006-06-23,1148,Aqua,MODIS,27,6.2,287.7,4.1,D,0
55.3672,10.3817,304.3,1.1,1,2006-06-23,2113,Terra,MODIS,60,6.2,283.4,10,N,0
55.4301,8.9176,306.8,1,1,2006-06-23,2113,Terra,MODIS,69,6.2,281.1,11.5,N,0
55.8307,11.5328,301.3,1.2,1.1,2006-06-23,2113,Terra,MODIS,29,6.2,282.2,8.4,N,0
57.0608,9.9885,310.6,1,1,2006-07-03,1037,Terra,MODIS,0,6.2,299,5.6,D,0
55.2415,10.4853,311.8,1,1,2006-07-05,1212,Aqua,MODIS,43,6.2,300,4.1,D,0
55.6519,11.0985,317.2,1.1,1,2006-07-05,1212,Aqua,MODIS,25,6.2,305.2,7.3,D,0
54.8046,11.8829,324.5,1,1,2006-07-07,1200,Aqua,MODIS,80,6.2,296.4,16.8,D,0
55.8673,12.3344,306.8,1.3,1.1,2006-07-12,1218,Aqua,MODIS,34,6.2,294.2,4.9,D,0
56.365,10.668,304.8,1.2,1.1,2006-07-14,1018,Terra,MODIS,40,6.2,291.5,5.1,D,0
55.7178,9.5352,304.3,2.7,1.6,2006-07-15,1111,Aqua,MODIS,31,6.2,292.3,11.8,D,0
54.7832,11.1516,311.4,1,1,2006-07-16,1154,Aqua,MODIS,50,6.2,300.6,5.2,D,0
54.9415,10.8237,329.1,1.2,1.1,2006-07-17,1049,Terra,MODIS,0,6.2,295.3,29,D,0
55.4016,11.8171,358.2,1.2,1.1,2006-07-17,1049,Terra,MODIS,99,6.2,286,104.5,D,0
54.688,11.3348,311.7,1.2,1.1,2006-07-17,1049,Terra,MODIS,55,6.2,298.7,7.1,D,0
54.9528,11.1637,308.7,1.2,1.1,2006-07-17,1049,Terra,MODIS,0,6.2,292.2,6.1,D,0
