latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.7028,42.1239,328.4,2.6,1.5,2006-03-17,1008,Aqua,MODIS,43,6.2,304.5,38.3,D,0
11.8593,42.0912,332,2.6,1.5,2006-03-17,1008,Aqua,MODIS,78,6.2,305.9,43.3,D,0
11.7164,42.121,327.6,2.6,1.5,2006-03-17,1008,Aqua,MODIS,36,6.2,303.4,32.5,D,0
11.5226,41.8979,330.8,2.7,1.6,2006-03-17,1008,Aqua,MODIS,64,6.2,306.3,50.8,D,0
11.5852,41.9811,333.1,2.7,1.6,2006-03-17,1008,Aqua,MODIS,68,6.2,306.5,56.3,D,0
12.1038,42.402,332.4,2.4,1.5,2006-03-30,0814,Terra,MODIS,81,6.2,304.3,40.3,D,0
11.557,41.8605,332.1,1.6,1.2,2006-03-31,1020,Aqua,MODIS,46,6.2,306.7,29.7,D,0
11.4791,41.9531,333.4,1.6,1.2,2006-03-31,1020,Aqua,MODIS,78,6.2,308.6,25.3,D,0
11.5951,42.1921,327.5,3.4,1.7,2006-04-27,1002,Aqua,MODIS,71,6.2,304.1,33.9,D,0
11.6156,42.2179,328.9,3.4,1.7,2006-04-27,1002,Aqua,MODIS,81,6.2,305.1,44.4,D,0
11.5318,41.882,330.3,2.7,1.6,2006-05-04,1008,Aqua,MODIS,49,6.2,305,42,D,0
11.4569,42.3158,331.3,2.5,1.5,2006-05-04,1008,Aqua,MODIS,68,6.2,305.2,38,D,0
11.4529,42.2929,333.4,2.5,1.5,2006-05-04,1008,Aqua,MODIS,77,6.2,306.3,46.7,D,0
11.8638,42.093,333.8,1.4,1.2,2006-09-08,0802,Terra,MODIS,64,6.2,311.2,19.2,D,0
11.2337,42.5428,337.5,1,1,2006-10-07,1034,Aqua,MODIS,75,6.2,316.1,15.1,D,0
11.2306,42.5493,316.5,1,1,2006-12-23,1929,Terra,MODIS,93,6.2,291.9,15.1,N,0
11.2293,42.54,305.5,1,1,2006-12-23,1929,Terra,MODIS,65,6.2,291.7,6.8,N,0
