latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
18.9291,-70.3471,307.5,1.4,1.2,2006-01-01,0609,Aqua,MODIS,72,6.2,291.2,13,N,2
18.1574,-71.5151,316.3,1.2,1.1,2006-01-01,1537,Terra,MODIS,71,6.2,295.6,14.4,D,0
18.1554,-71.5027,314.4,1.2,1.1,2006-01-01,1537,Terra,MODIS,63,6.2,295.8,12.5,D,0
18.9319,-70.3496,305.8,2.3,1.5,2006-01-02,0230,Terra,MODIS,66,6.2,289.9,26,N,2
19.4899,-71.1291,310.3,1.5,1.2,2006-01-02,1746,Aqua,MODIS,60,6.2,294.7,10.9,D,0
19.4919,-71.1363,310.8,1.5,1.2,2006-01-02,1746,Aqua,MODIS,64,6.2,295.6,11.9,D,0
18.4497,-69.2631,312,1.2,1.1,2006-01-02,1746,Aqua,MODIS,0,6.2,298.2,5.1,D,0
18.4579,-70.8185,314.4,1,1,2006-01-03,1524,Terra,MODIS,63,6.2,300.8,5.7,D,0
18.7301,-71.0985,315.9,1,1,2006-01-03,1524,Terra,MODIS,71,6.2,300.5,8,D,0
19.1704,-71.5213,315.7,1,1,2006-01-03,1524,Terra,MODIS,71,6.2,299.4,8.2,D,0
18.7315,-71.1078,312,1,1,2006-01-03,1524,Terra,MODIS,61,6.2,300,4.8,D,0
18.9304,-70.3575,313.5,2.3,1.5,2006-01-03,1829,Aqua,MODIS,63,6.2,297.8,23,D,2
18.3659,-71.2584,303.2,1.3,1.1,2006-01-04,0640,Aqua,MODIS,54,6.2,290.6,8.3,N,0
19.2177,-71.4367,308.9,1.3,1.1,2006-01-05,1512,Terra,MODIS,58,6.2,291.8,10.2,D,0
18.933,-70.3513,313.4,1.1,1.1,2006-01-05,1512,Terra,MODIS,52,6.2,298.6,8.5,D,2
18.9235,-70.3525,315.7,1.1,1.1,2006-01-05,1512,Terra,MODIS,68,6.2,296.5,10.9,D,2
18.9362,-70.3545,313.4,1.4,1.2,2006-01-05,1817,Aqua,MODIS,65,6.2,297.5,10.6,D,2
18.9258,-70.3533,311.5,1.4,1.2,2006-01-05,1817,Aqua,MODIS,39,6.2,296.2,8,D,2
18.9271,-70.3515,311.7,1,1,2006-01-06,0628,Aqua,MODIS,83,6.2,288.1,11.8,N,2
18.9257,-70.3503,312.1,1.2,1.1,2006-01-07,0249,Terra,MODIS,84,6.2,279,16.1,N,2
18.9241,-70.3611,300.8,1.2,1.1,2006-01-07,0249,Terra,MODIS,34,6.2,278.1,7,N,2
18.921,-70.3549,316.1,1,1,2006-01-07,1804,Aqua,MODIS,47,6.2,299.5,7.9,D,2
18.9313,-70.3467,332.4,1,1,2006-01-07,1804,Aqua,MODIS,86,6.2,303,25.5,D,2
18.9403,-70.3481,318.4,1,1,2006-01-07,1804,Aqua,MODIS,64,6.2,301,9.8,D,2
19.6299,-71.3237,331,1,1,2006-01-07,1805,Aqua,MODIS,86,6.2,303.1,21.9,D,0
19.6286,-71.3331,325.3,1,1,2006-01-07,1805,Aqua,MODIS,81,6.2,302.7,15.2,D,0
19.458,-70.8539,323.1,1,1,2006-01-07,1805,Aqua,MODIS,80,6.2,295.3,17.3,D,0
18.9228,-70.3606,309.8,1.1,1.1,2006-01-09,1752,Aqua,MODIS,60,6.2,296.3,6.8,D,2
18.9245,-70.3499,311.8,1.1,1.1,2006-01-09,1752,Aqua,MODIS,65,6.2,296.6,8.8,D,2
18.461,-70.8827,320.9,1.2,1.1,2006-01-09,1752,Aqua,MODIS,76,6.2,302.1,13.5,D,0
18.4592,-70.8942,321.5,1.2,1.1,2006-01-09,1752,Aqua,MODIS,76,6.2,302,14.3,D,0
19.0072,-71.3094,310.8,1.3,1.1,2006-01-09,1752,Aqua,MODIS,41,6.2,288.2,8.8,D,0
18.9356,-70.3409,342.7,1.1,1.1,2006-01-09,1752,Aqua,MODIS,92,6.2,297.1,53.1,D,2
18.9339,-70.3518,351.6,1.1,1.1,2006-01-09,1752,Aqua,MODIS,96,6.2,298.3,75.1,D,2
18.7851,-71.5985,311.6,1.3,1.1,2006-01-09,1752,Aqua,MODIS,56,6.2,297.1,9.6,D,0
18.7524,-71.1216,312.4,1.1,1,2006-01-10,1530,Terra,MODIS,63,6.2,298.6,5.6,D,0
18.4633,-70.8031,317,1.1,1,2006-01-10,1530,Terra,MODIS,52,6.2,299.5,9.3,D,0
18.4649,-70.8135,319.7,1.1,1,2006-01-10,1530,Terra,MODIS,63,6.2,300.1,11.9,D,0
18.4989,-71.1517,318.2,1.1,1,2006-01-10,1530,Terra,MODIS,71,6.2,298.5,10.3,D,0
18.5005,-71.1617,313.4,1.1,1,2006-01-10,1530,Terra,MODIS,61,6.2,298.8,5.7,D,0
18.5081,-71.1502,313.7,1.1,1,2006-01-10,1530,Terra,MODIS,38,6.2,298.5,5.6,D,0
17.8852,-71.2987,321.7,1.1,1,2006-01-10,1531,Terra,MODIS,74,6.2,297.7,14,D,0
17.8836,-71.2887,321.6,1.1,1,2006-01-10,1531,Terra,MODIS,74,6.2,299.1,13.8,D,0
18.3293,-71.1511,314.7,1,1,2006-01-12,1518,Terra,MODIS,63,6.2,298.5,7,D,0
18.9416,-70.3476,318.9,1,1,2006-01-12,1518,Terra,MODIS,76,6.2,296.1,13.3,D,2
18.9402,-70.3381,312.4,1,1,2006-01-12,1518,Terra,MODIS,67,6.2,295.3,7.6,D,2
18.9291,-70.3519,307.3,1.2,1.1,2006-01-13,0634,Aqua,MODIS,71,6.2,290.3,9,N,2
18.9425,-70.3439,313,1.2,1.1,2006-01-13,0634,Aqua,MODIS,72,6.2,290.8,13.5,N,2
