latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-2.2134,-80.3264,323.6,1.1,1,2006-01-01,1543,Terra,MODIS,61,6.2,305,8.4,D,0
-3.7168,-80.1354,323.9,1.6,1.3,2006-01-01,1835,Aqua,MODIS,61,6.2,300.7,12,D,0
-1.8671,-80.5126,322.2,1.6,1.3,2006-01-01,1836,Aqua,MODIS,38,6.2,300.4,21.6,D,0
-0.68,-80.3863,331.1,1.5,1.2,2006-01-01,1836,Aqua,MODIS,79,6.2,299.3,33.5,D,0
-0.6776,-80.1403,341.8,1.5,1.2,2006-01-01,1836,Aqua,MODIS,90,6.2,300.2,58.9,D,0
-0.6796,-80.1534,326.6,1.5,1.2,2006-01-01,1836,Aqua,MODIS,78,6.2,301.3,19.4,D,0
-0.6669,-80.1417,328.3,1.5,1.2,2006-01-01,1836,Aqua,MODIS,80,6.2,300.5,23.3,D,0
-0.6587,-80.2377,325,1.5,1.2,2006-01-01,1836,Aqua,MODIS,29,6.2,301.3,13.9,D,0
-0.9384,-79.9307,321.1,1.4,1.2,2006-01-01,1836,Aqua,MODIS,71,6.2,295.2,18.1,D,0
-2.2504,-80.3047,362,1.6,1.2,2006-01-01,1836,Aqua,MODIS,100,6.2,298.2,161.8,D,0
-0.9448,-79.9367,316.7,1.4,1.2,2006-01-01,1836,Aqua,MODIS,43,6.2,297.4,11.4,D,0
-1.8009,-78.806,314.7,1.3,1.1,2006-01-01,1836,Aqua,MODIS,58,6.2,298.7,11.5,D,0
-1.9976,-79.4759,324.1,1.4,1.2,2006-01-01,1836,Aqua,MODIS,66,6.2,300.1,15.1,D,0
-0.036,-79.8885,322.5,1.4,1.2,2006-01-01,1836,Aqua,MODIS,72,6.2,295.7,22.1,D,0
-0.8006,-80.4339,323.8,1.6,1.2,2006-01-01,1836,Aqua,MODIS,26,6.2,299.7,19.6,D,0
-0.8206,-80.4165,330.6,1.6,1.2,2006-01-01,1836,Aqua,MODIS,64,6.2,296.6,35.4,D,0
-0.3116,-76.0875,318.1,1,1,2006-01-01,1836,Aqua,MODIS,70,6.2,297.2,10.1,D,0
