latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.4289,-88.954,300.3,1.1,1.1,2006-01-02,0407,Terra,MODIS,23,6.2,289.9,4.4,N,0
13.8963,-89.358,301.1,1.2,1.1,2006-01-02,0408,Terra,MODIS,38,6.2,289.8,5.1,N,0
13.3855,-88.9275,313,1.2,1.1,2006-01-02,1622,Terra,MODIS,18,6.2,298.7,6.2,D,0
14.1024,-89.1478,323.3,1,1,2006-01-02,1923,Aqua,MODIS,75,6.2,305.8,8.1,D,0
13.9148,-89.1743,322.9,1,1,2006-01-02,1923,Aqua,MODIS,49,6.2,304.8,8.6,D,0
13.3066,-88.5173,324.6,1.1,1,2006-01-04,1911,Aqua,MODIS,46,6.2,291.8,15,D,0
13.3051,-88.5272,319.3,1.1,1,2006-01-04,1911,Aqua,MODIS,36,6.2,289.4,8.9,D,0
13.848,-89.3784,317.7,1.2,1.1,2006-01-04,1911,Aqua,MODIS,28,6.2,297.6,8.6,D,0
13.4223,-88.671,312.7,1.7,1.3,2006-01-06,1859,Aqua,MODIS,42,6.2,294.8,11.2,D,0
13.4485,-87.8774,318.8,1.5,1.2,2006-01-06,1859,Aqua,MODIS,71,6.2,301.5,14.3,D,0
13.563,-89.2981,313.1,1.9,1.3,2006-01-06,1859,Aqua,MODIS,49,6.2,296.5,13.2,D,0
13.4136,-88.2579,303.3,1.3,1.1,2006-01-07,0426,Terra,MODIS,54,6.2,288.2,8.3,N,0
13.7455,-89.5312,324,1.1,1,2006-01-07,1640,Terra,MODIS,78,6.2,297.9,17.8,D,0
13.3006,-88.8024,312.4,1.1,1.1,2006-01-07,1640,Terra,MODIS,36,6.2,299.6,7.2,D,0
13.5202,-89.0878,317.4,1.1,1,2006-01-07,1640,Terra,MODIS,69,6.2,299.6,11.4,D,0
13.732,-89.4445,313.4,1.1,1,2006-01-07,1640,Terra,MODIS,48,6.2,298.1,7.4,D,0
13.4495,-88.9812,316.6,1.1,1,2006-01-07,1640,Terra,MODIS,66,6.2,303.8,7.3,D,0
13.7369,-89.5287,310.6,1.1,1,2006-01-07,1640,Terra,MODIS,41,6.2,295.8,7.1,D,0
13.7384,-89.5381,317.8,1.1,1,2006-01-07,1640,Terra,MODIS,70,6.2,297.9,13.5,D,0
13.5218,-89.0978,311.5,1.1,1,2006-01-07,1640,Terra,MODIS,53,6.2,299.9,6.1,D,0
13.466,-88.099,322.8,1.2,1.1,2006-01-07,1640,Terra,MODIS,77,6.2,302.7,16.3,D,0
13.9491,-89.1673,330,1.1,1,2006-01-07,1640,Terra,MODIS,84,6.2,299.9,24.4,D,0
13.2348,-88.7234,310.9,1.1,1.1,2006-01-07,1640,Terra,MODIS,33,6.2,299.9,5,D,0
14.0123,-89.6167,315.3,1.7,1.3,2006-01-07,1942,Aqua,MODIS,67,6.2,296,19.3,D,0
13.8846,-89.2434,326.8,1.1,1,2006-01-09,1627,Terra,MODIS,79,6.2,300.2,17.4,D,0
13.8859,-89.2531,339.6,1.1,1,2006-01-09,1627,Terra,MODIS,89,6.2,300.6,37.1,D,0
13.4431,-88.855,322.4,1,1,2006-01-09,1628,Terra,MODIS,24,6.2,305.7,8.5,D,0
13.6306,-88.7512,318.2,1,1,2006-01-09,1628,Terra,MODIS,65,6.2,302.6,7.2,D,0
13.4445,-88.8644,324.4,1,1,2006-01-09,1628,Terra,MODIS,50,6.2,307,11.7,D,0
13.6293,-88.7419,316,1,1,2006-01-09,1628,Terra,MODIS,56,6.2,300.9,5.5,D,0
13.7968,-89.3278,327.1,1.1,1,2006-01-09,1628,Terra,MODIS,79,6.2,302,18.5,D,0
13.7503,-89.4639,319.6,1.1,1,2006-01-09,1628,Terra,MODIS,69,6.2,302.1,11.4,D,0
13.3589,-88.2641,336.8,1.3,1.1,2006-01-09,1929,Aqua,MODIS,74,6.2,307.5,31.1,D,0
13.9845,-89.7682,320.7,1.1,1,2006-01-09,1929,Aqua,MODIS,66,6.2,304.2,6.3,D,0
13.9858,-89.7583,333,1.1,1,2006-01-09,1929,Aqua,MODIS,83,6.2,305.5,22.7,D,0
13.6318,-88.7532,320,1.2,1.1,2006-01-09,1929,Aqua,MODIS,50,6.2,304,9.3,D,0
13.3573,-88.2758,335.5,1.3,1.1,2006-01-09,1929,Aqua,MODIS,85,6.2,306.6,28.2,D,0
13.7281,-89.4886,323.4,1.1,1,2006-01-09,1929,Aqua,MODIS,60,6.2,301,14.7,D,0
14.0084,-89.1897,304.5,1.4,1.2,2006-01-11,0401,Terra,MODIS,60,6.2,291.9,9.5,N,0
13.8779,-89.2317,326.2,1.6,1.2,2006-01-11,1615,Terra,MODIS,77,6.2,300.8,27.5,D,0
13.9414,-89.1888,320.6,1.6,1.2,2006-01-11,1615,Terra,MODIS,70,6.2,301.3,15.7,D,0
13.4637,-88.9468,323.9,1.5,1.2,2006-01-11,1615,Terra,MODIS,73,6.2,304.2,15.3,D,0
13.294,-88.5125,336.3,1.4,1.2,2006-01-11,1615,Terra,MODIS,86,6.2,304.5,39.4,D,0
13.4695,-88.7433,331.2,1,1,2006-01-11,1917,Aqua,MODIS,45,6.2,310.4,15.6,D,0
13.7495,-88.9954,318.5,1.4,1.2,2006-01-13,1905,Aqua,MODIS,64,6.2,301.3,14.3,D,0
13.3276,-88.1665,324.4,1.2,1.1,2006-01-13,1905,Aqua,MODIS,71,6.2,305.8,13.3,D,0
13.3293,-88.1552,324.1,1.2,1.1,2006-01-13,1905,Aqua,MODIS,71,6.2,306,13,D,0
