latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
1.2419,9.3993,306,1.2,1.1,2006-01-16,1001,Terra,MODIS,22,6.2,290.5,3.6,D,0
2.1187,10.5129,310,1.1,1.1,2006-01-16,1257,Aqua,MODIS,52,6.2,291.8,5.9,D,0
3.7481,8.7751,311,1,1,2006-01-16,1257,Aqua,MODIS,11,6.2,290.9,4.6,D,0
2.0207,11.2337,310.8,1.3,1.1,2006-01-20,1232,Aqua,MODIS,61,6.2,295.8,8.6,D,0
1.8949,11.3178,320.3,1.2,1.1,2006-02-01,1257,Aqua,MODIS,70,6.2,294.4,16.5,D,0
3.7405,8.7792,312.3,1.9,1.3,2006-02-05,1233,Aqua,MODIS,52,6.2,290.8,15,D,0
1.8414,10.7418,310.4,2.5,1.5,2006-02-06,1315,Aqua,MODIS,59,6.2,291.5,18.3,D,0
1.9615,9.9173,306.8,1.1,1,2006-02-10,0955,Terra,MODIS,26,6.2,290.3,2.5,D,0
1.4029,11.3285,311.1,1,1,2006-02-10,1251,Aqua,MODIS,36,6.2,293.3,4.9,D,0
2.1398,10.6402,310.8,1.9,1.3,2006-02-15,1309,Aqua,MODIS,62,6.2,288.7,14.2,D,0
2.1375,10.6237,312.6,1.9,1.3,2006-02-15,1309,Aqua,MODIS,66,6.2,289.4,17.3,D,0
1.0283,10.3104,314.9,1.1,1,2006-02-19,1245,Aqua,MODIS,69,6.2,293,10.3,D,0
1.0296,10.3198,311,1,1,2006-02-19,1245,Aqua,MODIS,51,6.2,292.3,6.9,D,0
1.0402,11.1575,311.8,1,1,2006-02-19,1245,Aqua,MODIS,61,6.2,287.8,6.3,D,0
1.8543,10.2244,321.9,1.3,1.1,2006-02-24,1303,Aqua,MODIS,68,6.2,296.6,15.4,D,0
2.0653,11.2897,312.9,1.6,1.2,2006-02-24,1303,Aqua,MODIS,54,6.2,293.5,9.3,D,0
1.877,9.8064,320.7,1.3,1.1,2006-02-24,1303,Aqua,MODIS,35,6.2,298.1,11.3,D,0
1.8786,9.8176,324.5,1.3,1.1,2006-02-24,1303,Aqua,MODIS,70,6.2,297.7,18.2,D,0
1.9195,11.2369,313,1.6,1.2,2006-02-24,1303,Aqua,MODIS,54,6.2,293.8,9.4,D,0
1.8525,10.661,328,1,1,2006-02-26,1251,Aqua,MODIS,83,6.2,298.6,19.8,D,0
1.8538,10.67,328.6,1,1,2006-02-26,1251,Aqua,MODIS,83,6.2,298.1,20.5,D,0
1.8371,10.2905,312.3,1,1,2006-02-26,1251,Aqua,MODIS,27,6.2,294.4,4.7,D,0
1.7546,10.6163,315.9,1,1,2006-02-26,1251,Aqua,MODIS,69,6.2,296.9,7.8,D,0
1.752,10.6625,317.4,1,1,2006-02-26,1251,Aqua,MODIS,71,6.2,298.1,8.7,D,0
1.007,10.2837,312.7,1,1,2006-02-26,1251,Aqua,MODIS,61,6.2,292,6.2,D,0
1.4868,9.5873,313.2,1,1,2006-02-26,1251,Aqua,MODIS,59,6.2,295.7,5.9,D,0
1.7533,10.6716,322.5,1,1,2006-02-26,1251,Aqua,MODIS,78,6.2,298.9,13.7,D,0
1.9369,10.3633,317,1.2,1.1,2006-02-28,1239,Aqua,MODIS,71,6.2,296.7,11.3,D,0
1.9404,10.3194,313.9,1.2,1.1,2006-02-28,1239,Aqua,MODIS,62,6.2,297.1,7.5,D,0
1.947,10.2966,315.6,1.2,1.1,2006-02-28,1239,Aqua,MODIS,69,6.2,297.2,9.9,D,0
1.8741,10.2259,316.1,1.2,1.1,2006-02-28,1239,Aqua,MODIS,69,6.2,296.4,10.3,D,0
1.7315,10.2865,316,1.2,1.1,2006-02-28,1239,Aqua,MODIS,59,6.2,296.3,10.6,D,0
1.401,10.2699,313,1.2,1.1,2006-02-28,1239,Aqua,MODIS,62,6.2,297.5,7.5,D,0
2.0931,10.6022,315.1,1.2,1.1,2006-02-28,1239,Aqua,MODIS,67,6.2,297.7,8.9,D,0
1.3907,10.5628,319.2,1.2,1.1,2006-02-28,1239,Aqua,MODIS,65,6.2,292.7,14.3,D,0
1.7927,10.8679,315.4,1.1,1.1,2006-02-28,1239,Aqua,MODIS,48,6.2,291.3,11.1,D,0
2.1588,11.1181,325.2,1,1,2006-03-07,1245,Aqua,MODIS,80,6.2,297.6,15.7,D,0
2.0249,11.2133,324.9,1,1,2006-03-07,1245,Aqua,MODIS,81,6.2,295.7,16.1,D,0
2.0313,11.1943,319.9,1,1,2006-03-07,1245,Aqua,MODIS,52,6.2,296,10.1,D,0
2.0467,11.2375,319.4,1,1,2006-03-07,1245,Aqua,MODIS,75,6.2,297,11.2,D,0
2.0543,11.1637,340.1,1,1,2006-03-07,1245,Aqua,MODIS,91,6.2,296.9,37.7,D,0
2.0841,11.2345,317.5,1,1,2006-03-07,1245,Aqua,MODIS,72,6.2,296.6,9.5,D,0
2.1505,11.3157,315.9,1,1,2006-03-07,1245,Aqua,MODIS,69,6.2,295.9,6.7,D,0
2.0879,11.0704,316.9,1,1,2006-03-07,1245,Aqua,MODIS,66,6.2,294.5,9.4,D,0
2.1576,11.1092,325.5,1,1,2006-03-07,1245,Aqua,MODIS,80,6.2,297.7,15.9,D,0
1.8692,10.7668,305.9,1,1,2006-03-07,1245,Aqua,MODIS,30,6.2,283,3.8,D,0
1.8437,11.2971,328.9,1,1,2006-03-07,1245,Aqua,MODIS,64,6.2,295.5,21.2,D,0
