latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
14.567,37.6731,322.7,2.8,1.6,2006-01-05,0837,Terra,MODIS,57,6.2,308.7,34.4,D,0
14.5528,37.6703,320.9,2.8,1.6,2006-01-05,0837,Terra,MODIS,42,6.2,309.8,27.1,D,0
14.6733,37.7878,335.7,1.1,1,2006-01-06,1044,Aqua,MODIS,68,6.2,319.5,20.1,D,0
14.6656,37.7993,343.3,1.1,1,2006-01-06,1044,Aqua,MODIS,87,6.2,316,33.6,D,0
14.4251,37.4261,336.3,2.7,1.6,2006-01-21,0837,Terra,MODIS,84,6.2,309.8,104.4,D,0
14.4304,37.4323,337,2.7,1.6,2006-01-21,0837,Terra,MODIS,85,6.2,308.1,110.2,D,0
14.4347,37.4089,343,2.6,1.6,2006-01-21,0837,Terra,MODIS,89,6.2,306.1,153.9,D,0
14.4166,37.4295,323.7,2.7,1.6,2006-01-21,0837,Terra,MODIS,54,6.2,309.6,40.5,D,0
14.4293,37.4024,338.9,2.6,1.6,2006-01-21,0837,Terra,MODIS,86,6.2,306.8,123.4,D,0
14.4209,37.406,334.9,2.6,1.6,2006-01-21,0837,Terra,MODIS,83,6.2,308.7,101.5,D,0
14.4396,37.3852,306.4,1.8,1.3,2006-01-21,1928,Terra,MODIS,68,6.2,295.6,13.1,N,0
14.4372,37.3983,311.5,1.8,1.3,2006-01-21,1928,Terra,MODIS,83,6.2,295.3,20.6,N,0
14.5448,37.1736,335.5,1.1,1.1,2006-02-12,1103,Aqua,MODIS,69,6.2,317.3,14.1,D,0
14.5434,37.1633,343.7,1.1,1.1,2006-02-12,1103,Aqua,MODIS,85,6.2,318.7,30.9,D,0
14.5953,37.0591,313.2,1,1,2006-02-18,1953,Terra,MODIS,87,6.2,293.2,11.6,N,0
14.4722,36.9119,333.1,1.4,1.2,2006-02-21,0755,Terra,MODIS,22,6.2,314.1,18.4,D,0
14.4808,36.926,335.9,1.4,1.2,2006-02-21,0755,Terra,MODIS,51,6.2,316.9,25.8,D,0
14.4825,36.9135,334.7,1.4,1.2,2006-02-21,0755,Terra,MODIS,63,6.2,315,23.1,D,0
14.4693,36.8961,338.5,1,1,2006-02-21,1057,Aqua,MODIS,74,6.2,322.6,13,D,0
14.4732,36.9236,339.1,1,1,2006-02-21,1057,Aqua,MODIS,78,6.2,322.3,14.9,D,0
