latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
59.3485,27.3628,304.1,1.7,1.3,2006-04-14,0857,Terra,MODIS,58,6.2,283.4,14,D,0
57.9452,25.955,300.1,1.8,1.3,2006-04-14,0858,Terra,MODIS,26,6.2,283.5,11.9,D,0
59.3651,27.9357,302.3,1,1,2006-04-14,1045,Aqua,MODIS,47,6.2,285.1,6.7,D,0
59.3462,27.3683,303.5,1,1,2006-04-14,1045,Aqua,MODIS,56,6.2,284.8,5.9,D,0
59.3488,27.3853,308.3,1,1,2006-04-14,1045,Aqua,MODIS,67,6.2,286.3,8.9,D,0
57.9197,25.9584,300.8,1.1,1,2006-04-14,1045,Aqua,MODIS,0,6.2,270.6,7.7,D,0
58.3935,26.7647,305.3,1,1,2006-04-14,1045,Aqua,MODIS,60,6.2,283.4,6.5,D,0
58.572,26.7577,301.1,1,1,2006-04-14,1045,Aqua,MODIS,45,6.2,288.5,5,D,0
59.3759,27.7582,304.3,1,1,2006-04-14,1045,Aqua,MODIS,51,6.2,284.8,7.1,D,0
59.3765,27.7344,302.5,1.9,1.3,2006-04-15,1128,Aqua,MODIS,53,6.2,277.1,20.3,D,0
58.1686,26.6094,300.1,1.6,1.3,2006-04-15,1128,Aqua,MODIS,26,6.2,281.6,11,D,0
59.2819,25.0587,311.2,1.5,1.2,2006-04-15,1128,Aqua,MODIS,71,6.2,281.3,19.2,D,0
58.1696,26.6168,304.2,1.6,1.3,2006-04-15,1128,Aqua,MODIS,58,6.2,281.6,14.7,D,0
58.2896,25.8802,302.7,1.2,1.1,2006-04-16,1033,Aqua,MODIS,53,6.2,287.5,6.3,D,0
58.2803,25.8868,303.6,1.2,1.1,2006-04-16,1033,Aqua,MODIS,56,6.2,286.7,7,D,0
57.8688,27.0347,305.1,1.2,1.1,2006-04-16,1033,Aqua,MODIS,61,6.2,288.2,8.6,D,0
59.3547,26.9848,327.9,1.1,1,2006-04-16,1033,Aqua,MODIS,85,6.2,284.1,29.7,D,0
58.7589,26.6038,306.2,1.1,1,2006-04-19,1104,Aqua,MODIS,0,6.2,281,9.5,D,0
57.5827,26.5897,300.3,1.3,1.1,2006-04-20,0959,Terra,MODIS,35,6.2,286.3,6.8,D,0
59.2676,25.0224,325.8,1,1,2006-04-22,0946,Terra,MODIS,84,6.2,285,26,D,0
59.2779,25.0158,303.7,1,1,2006-04-22,0946,Terra,MODIS,57,6.2,285.5,7.5,D,0
59.2702,25.0055,328.4,1,1,2006-04-22,0946,Terra,MODIS,86,6.2,285.8,29.4,D,0
59.4044,28.1129,302.6,1.8,1.3,2006-04-23,0851,Terra,MODIS,50,6.2,286.4,12.7,D,0
59.4168,27.0171,300.8,2.1,1.4,2006-04-23,1029,Terra,MODIS,39,6.2,285.9,12.8,D,0
57.7889,27.4389,302.4,2.6,1.5,2006-04-23,1029,Terra,MODIS,29,6.2,286.1,19.5,D,0
59.416,27.0212,302.4,2.1,1.4,2006-04-23,1029,Terra,MODIS,49,6.2,285.7,15.5,D,0
57.7821,27.4887,302.7,2.6,1.5,2006-04-23,1029,Terra,MODIS,53,6.2,286.5,22.4,D,0
59.2749,24.7353,302.2,1.8,1.3,2006-04-23,1029,Terra,MODIS,48,6.2,287.8,13,D,0
57.793,27.4505,310.5,2.6,1.5,2006-04-23,1029,Terra,MODIS,70,6.2,286.5,43.3,D,0
59.2819,24.7067,303.9,1.8,1.3,2006-04-23,1029,Terra,MODIS,57,6.2,287.5,15,D,0
57.7781,27.4774,303.4,2.6,1.5,2006-04-23,1029,Terra,MODIS,35,6.2,286.3,21,D,0
59.4014,28.101,317.5,2.3,1.5,2006-04-23,1029,Terra,MODIS,78,6.2,285.6,59.1,D,0
59.4079,27.0507,300.8,2.2,1.4,2006-04-23,1029,Terra,MODIS,42,6.2,286.6,13,D,0
59.3949,28.1035,311,1,1,2006-04-23,1039,Aqua,MODIS,71,6.2,286.8,10.1,D,0
59.4124,27.0349,320.7,1,1,2006-04-23,1039,Aqua,MODIS,80,6.2,288.2,19,D,0
59.3678,27.9322,306.4,1,1,2006-04-23,1039,Aqua,MODIS,63,6.2,288.4,7.7,D,0
59.4035,28.0982,308.4,1,1,2006-04-23,1039,Aqua,MODIS,62,6.2,287.5,8.4,D,0
57.7911,27.4637,311.3,1.1,1,2006-04-23,1039,Aqua,MODIS,71,6.2,288.1,11,D,0
57.7882,27.4467,308.3,1.1,1,2006-04-23,1039,Aqua,MODIS,67,6.2,287.5,9,D,0
58.0775,24.5143,300.5,1,1,2006-04-24,0934,Terra,MODIS,33,6.2,289.8,3.6,D,0
59.4324,27.3074,307.8,1,1,2006-04-24,0934,Terra,MODIS,59,6.2,289.7,7.4,D,0
59.3664,27.3078,302.5,1,1,2006-04-24,0934,Terra,MODIS,49,6.2,289.8,3.3,D,0
59.4349,27.2903,312.8,1,1,2006-04-24,0934,Terra,MODIS,63,6.2,288.4,10.8,D,0
59.4123,27.0558,306.6,1,1,2006-04-24,0934,Terra,MODIS,50,6.2,293.1,4.9,D,0
59.4247,24.5206,317,1.1,1,2006-04-24,0934,Terra,MODIS,77,6.2,286.2,17.5,D,0
59.4224,24.5391,300.3,1.1,1,2006-04-24,0934,Terra,MODIS,29,6.2,286.8,4.2,D,0
59.4209,27.2936,301.5,2.7,1.6,2006-04-24,0945,Aqua,MODIS,34,6.2,287.4,17.3,D,0
59.3738,28.1376,308.5,1.7,1.3,2006-04-24,1122,Aqua,MODIS,58,6.2,293,13.6,D,0
59.2498,24.7155,318.5,1.3,1.1,2006-04-24,1122,Aqua,MODIS,79,6.2,292.2,22.2,D,0
59.3697,28.1332,308.8,1.7,1.3,2006-04-24,1122,Aqua,MODIS,64,6.2,292.6,15.3,D,0
58.6701,27.1013,304.5,1.5,1.2,2006-04-24,1122,Aqua,MODIS,59,6.2,288.8,10.1,D,0
57.8352,27.4611,306,1.5,1.2,2006-04-24,1122,Aqua,MODIS,63,6.2,290.6,11,D,0
57.8373,27.4865,304,1.5,1.2,2006-04-24,1122,Aqua,MODIS,58,6.2,291.3,9.1,D,0
59.0368,23.7454,306.5,1.2,1.1,2006-04-24,1122,Aqua,MODIS,64,6.2,290.4,8.5,D,0
59.4036,27.0469,313.5,1.5,1.2,2006-04-24,1122,Aqua,MODIS,74,6.2,292.7,20.3,D,0
59.4206,27.265,306.8,1.6,1.2,2006-04-24,1122,Aqua,MODIS,64,6.2,288.9,13.1,D,0
59.3638,28.1115,307.1,1.1,1,2006-04-26,0922,Terra,MODIS,17,6.2,289.7,5.8,D,0
59.3842,28.102,317.4,1.1,1,2006-04-26,0922,Terra,MODIS,78,6.2,290.9,14.2,D,0
59.3955,28.0882,311.6,1.1,1,2006-04-26,0922,Terra,MODIS,72,6.2,291.8,9.4,D,0
59.3865,28.0839,350.5,1.1,1,2006-04-26,0922,Terra,MODIS,96,6.2,292.1,66.4,D,0
58.5439,25.4625,306.2,1.1,1,2006-04-26,1110,Aqua,MODIS,63,6.2,288.3,7.8,D,0
59.3168,27.4073,308.1,1.4,1.2,2006-04-27,1004,Terra,MODIS,62,6.2,294.3,10.3,D,0
59.163,26.5787,322.6,1.3,1.1,2006-04-27,1005,Terra,MODIS,82,6.2,291.8,29.2,D,0
