latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
8.6336,40.4811,320.1,2.2,1.4,2006-01-01,0725,Terra,MODIS,65,6.2,304,27.7,D,0
9.1839,40.447,316.6,2.3,1.5,2006-01-01,0725,Terra,MODIS,54,6.2,301.1,20.5,D,0
8.6315,40.4876,321.8,2.2,1.4,2006-01-01,0725,Terra,MODIS,69,6.2,304.2,32.3,D,0
10.3747,37.1486,321.2,4.3,1.9,2006-01-01,0725,Terra,MODIS,65,6.2,300.7,92,D,0
10.3723,37.1422,319.8,4.3,1.9,2006-01-01,0725,Terra,MODIS,60,6.2,301.7,82.6,D,0
9.1843,40.4611,316,2.3,1.5,2006-01-01,0725,Terra,MODIS,46,6.2,300.2,18.4,D,0
8.2152,37.5733,317.6,3.7,1.8,2006-01-01,0726,Terra,MODIS,43,6.2,299.3,43.1,D,0
8.2108,37.6073,321.7,3.7,1.8,2006-01-01,0726,Terra,MODIS,65,6.2,301.7,71.9,D,0
6.3502,37.2702,318.5,3.7,1.8,2006-01-01,0726,Terra,MODIS,28,6.2,302.6,42.5,D,0
6.2986,37.1649,319.4,3.8,1.8,2006-01-01,0726,Terra,MODIS,60,6.2,300.5,55,D,0
6.2824,37.1624,317.7,3.8,1.8,2006-01-01,0726,Terra,MODIS,61,6.2,300.8,47,D,0
6.5676,36.9417,322.9,3.6,1.8,2006-01-01,1024,Aqua,MODIS,41,6.2,306,59.7,D,0
6.8119,36.7218,318.2,3.7,1.8,2006-01-01,1024,Aqua,MODIS,16,6.2,302.5,46.9,D,0
6.7371,35.824,316.6,4.4,1.9,2006-01-01,1024,Aqua,MODIS,50,6.2,300.1,63.8,D,0
6.5579,36.9482,347.8,3.6,1.8,2006-01-01,1024,Aqua,MODIS,94,6.2,305.2,305.5,D,0
5.7895,35.82,325.2,4.5,2,2006-01-01,1024,Aqua,MODIS,50,6.2,304.5,62.5,D,0
6.8277,36.7181,319.3,3.7,1.8,2006-01-01,1024,Aqua,MODIS,52,6.2,300.1,58.2,D,0
6.8193,36.7152,320.5,3.7,1.8,2006-01-01,1024,Aqua,MODIS,57,6.2,301.2,65.3,D,0
7.0446,36.7717,317,3.6,1.8,2006-01-01,1024,Aqua,MODIS,45,6.2,297.8,52.4,D,0
5.8069,35.8172,329.2,4.5,2,2006-01-01,1024,Aqua,MODIS,75,6.2,308.5,109.1,D,0
6.5713,35.9993,326.8,4.3,1.9,2006-01-01,1024,Aqua,MODIS,55,6.2,304.2,98.4,D,0
6.3676,36.6991,319.8,3.8,1.8,2006-01-01,1024,Aqua,MODIS,64,6.2,302.2,56.6,D,0
6.6572,35.6741,328,4.5,2,2006-01-01,1024,Aqua,MODIS,77,6.2,302.9,157.4,D,0
6.6581,35.6707,325.2,4.5,2,2006-01-01,1024,Aqua,MODIS,74,6.2,302.7,129.1,D,0
6.7401,35.8184,317.6,4.4,1.9,2006-01-01,1024,Aqua,MODIS,56,6.2,299.8,70,D,0
6.5514,36.9423,333.8,3.6,1.8,2006-01-01,1024,Aqua,MODIS,84,6.2,304.8,141.9,D,0
6.5619,35.9715,321.3,4.3,1.9,2006-01-01,1024,Aqua,MODIS,44,6.2,305.1,69,D,0
6.3758,36.6944,319.6,3.8,1.8,2006-01-01,1024,Aqua,MODIS,69,6.2,301.8,59,D,0
5.5106,39.9023,324.1,2.2,1.4,2006-01-01,1024,Aqua,MODIS,66,6.2,303.9,37,D,0
11.4796,36.3542,322.6,3.2,1.7,2006-01-01,1025,Aqua,MODIS,28,6.2,303.5,52.4,D,0
10.2505,34.3995,331.3,4.8,2,2006-01-01,1025,Aqua,MODIS,81,6.2,300.7,207.6,D,0
10.5932,35.3637,318.8,4,1.9,2006-01-01,1025,Aqua,MODIS,53,6.2,302,61.7,D,0
9.3644,37.5892,328.4,2.8,1.6,2006-01-01,1025,Aqua,MODIS,62,6.2,305,72.9,D,0
8.4163,35.0777,320.3,4.6,2,2006-01-01,1025,Aqua,MODIS,57,6.2,300.1,90,D,0
10.4291,34.7759,324.8,4.5,1.9,2006-01-01,1025,Aqua,MODIS,73,6.2,302.8,120.1,D,0
11.1106,35.7358,322.7,3.7,1.8,2006-01-01,1025,Aqua,MODIS,64,6.2,306.2,60.8,D,0
11.0181,35.4437,320.4,3.9,1.8,2006-01-01,1025,Aqua,MODIS,56,6.2,305.4,48.5,D,0
11.1093,35.762,319.2,3.6,1.8,2006-01-01,1025,Aqua,MODIS,21,6.2,306.2,33.6,D,0
11.4847,36.3827,356.6,3.2,1.7,2006-01-01,1025,Aqua,MODIS,98,6.2,306.8,357,D,0
10.4209,34.7464,319.2,4.5,2,2006-01-01,1025,Aqua,MODIS,62,6.2,301.9,80.5,D,0
11.5196,36.4056,327.7,3.2,1.7,2006-01-01,1025,Aqua,MODIS,67,6.2,305.3,72.9,D,0
10.5882,35.3688,316.7,4,1.9,2006-01-01,1025,Aqua,MODIS,39,6.2,301.4,48.1,D,0
10.2751,35.6703,315.8,3.8,1.8,2006-01-01,1025,Aqua,MODIS,23,6.2,301.8,41.6,D,0
10.2693,35.6369,326.8,3.9,1.8,2006-01-01,1025,Aqua,MODIS,75,6.2,301.8,115.5,D,0
10.2814,35.6644,319.1,3.8,1.8,2006-01-01,1025,Aqua,MODIS,59,6.2,302.1,62.5,D,0
10.2755,35.6317,324.4,3.9,1.8,2006-01-01,1025,Aqua,MODIS,72,6.2,301,95.9,D,0
10.9147,35.2416,321,4,1.9,2006-01-01,1025,Aqua,MODIS,56,6.2,305.9,61.5,D,0
9.5585,36.1983,316,3.6,1.8,2006-01-01,1025,Aqua,MODIS,37,6.2,301.7,32.8,D,0
10.2468,34.4832,318.5,4.7,2,2006-01-01,1025,Aqua,MODIS,56,6.2,300.6,91.6,D,0
9.5519,36.1927,318.4,3.6,1.8,2006-01-01,1025,Aqua,MODIS,56,6.2,301.4,47.2,D,0
9.6702,36.313,315.5,3.5,1.8,2006-01-01,1025,Aqua,MODIS,35,6.2,302.7,42.6,D,0
10.2478,34.4867,319.8,4.7,2,2006-01-01,1025,Aqua,MODIS,64,6.2,300.6,104.1,D,0
10.4311,35.4796,322.1,3.9,1.8,2006-01-01,1025,Aqua,MODIS,68,6.2,303.1,78.1,D,0
10.8041,35.0431,319.7,4.2,1.9,2006-01-01,1025,Aqua,MODIS,56,6.2,306.7,49.3,D,0
10.4275,34.784,321.5,4.5,1.9,2006-01-01,1025,Aqua,MODIS,68,6.2,302.7,95.9,D,0
