latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-51.8138,-61.0248,318.4,1.7,1.3,2006-01-23,1745,Aqua,MODIS,0,6.2,297.1,29.8,D,0
-51.8064,-61.0057,314.1,1,1,2006-01-24,0312,Terra,MODIS,55,6.2,282.6,15.3,N,0
-51.7974,-61.0091,312,1,1,2006-01-24,0312,Terra,MODIS,12,6.2,280.8,12.8,N,0
-51.7923,-61.009,372.9,2.4,1.5,2006-01-25,1733,Aqua,MODIS,100,6.2,293.4,0,D,0
-51.8008,-61.011,378.7,2.4,1.5,2006-01-25,1733,Aqua,MODIS,100,6.2,302,0,D,0
-51.7967,-61.015,318.8,1.1,1,2006-02-11,0444,Aqua,MODIS,97,6.2,281.8,22.2,N,0
-51.8059,-61.0252,323.2,1,1,2006-02-18,1822,Aqua,MODIS,47,6.2,302.9,15.6,D,0
-51.8003,-61.0224,317.2,1,1,2006-02-20,1810,Aqua,MODIS,58,6.2,297,14.7,D,0
-51.8074,-61.0289,318.7,1,1,2006-02-20,1810,Aqua,MODIS,27,6.2,297,13.3,D,0
-51.8199,-61.036,319.1,1,1,2006-03-06,1822,Aqua,MODIS,60,6.2,293.8,14.6,D,0
-51.8236,-61.0296,321.6,1.1,1.1,2006-03-08,1405,Terra,MODIS,66,6.2,289.3,21.3,D,0
-51.8231,-61.0236,315.9,1,1,2006-03-08,1810,Aqua,MODIS,58,6.2,294.7,11.9,D,0
-51.825,-61.0388,313.2,1,1,2006-03-08,1810,Aqua,MODIS,44,6.2,294.2,10.2,D,0
-51.8185,-61.0268,311.6,1,1,2006-03-10,1353,Terra,MODIS,48,6.2,274.8,9.5,D,0
-51.8219,-61.031,310.6,1,1,2006-03-15,1816,Aqua,MODIS,43,6.2,294.7,8.5,D,0
-51.8284,-61.0404,319.7,1.1,1.1,2006-03-17,1804,Aqua,MODIS,62,6.2,291.7,20.5,D,0
-51.8456,-61.0326,319.7,1,1,2006-03-22,1823,Aqua,MODIS,51,6.2,277.4,17.7,D,0
-51.8383,-61.032,306.5,1.8,1.3,2006-03-23,0349,Terra,MODIS,14,6.2,281,21.7,N,0
-51.839,-61.0263,327.9,1.5,1.2,2006-03-23,1323,Terra,MODIS,0,6.2,280.3,51,D,0
-51.5039,-60.0536,346,1.1,1.1,2006-09-05,1831,Aqua,MODIS,93,6.2,278.6,70.6,D,0
-52.0879,-59.4958,310.7,1,1,2006-09-25,1807,Aqua,MODIS,30,6.2,278.2,12.7,D,0
-51.7572,-59.1991,308.7,1,1,2006-09-29,1335,Terra,MODIS,59,6.2,285.3,10.4,D,0
-51.8438,-59.4314,311.5,1,1,2006-10-02,1813,Aqua,MODIS,46,6.2,281.3,12.6,D,0
-52.0067,-59.5424,320.3,1,1,2006-10-02,1813,Aqua,MODIS,39,6.2,282.8,18.1,D,0
-52.1793,-60.6018,315,1,1,2006-10-18,1813,Aqua,MODIS,71,6.2,284.7,13.3,D,0
-52.0885,-60.28,307.1,1.1,1,2006-10-23,1831,Aqua,MODIS,0,6.2,287.7,10,D,0
-51.7549,-58.7955,337.4,1.2,1.1,2006-10-23,1831,Aqua,MODIS,64,6.2,288.1,49.8,D,0
-51.7486,-58.8181,338.3,1.2,1.1,2006-10-23,1831,Aqua,MODIS,65,6.2,289,51.5,D,0
-51.4945,-58.6171,335,1.1,1,2006-11-21,1800,Aqua,MODIS,75,6.2,283,39.1,D,0
-51.9075,-60.3,315.4,1.4,1.2,2006-11-30,1754,Aqua,MODIS,76,6.2,289.9,20.2,D,0
-51.906,-60.3046,303.4,1.9,1.3,2006-12-02,1742,Aqua,MODIS,52,6.2,292.3,10.6,D,0
-52.0227,-60.7091,311.9,2,1.4,2006-12-02,1742,Aqua,MODIS,39,6.2,290.2,26.2,D,0
-52.0246,-60.7385,374.5,2,1.4,2006-12-02,1742,Aqua,MODIS,87,6.2,296.6,351.8,D,0
-51.4734,-58.6476,331.5,1.1,1.1,2006-12-03,1825,Aqua,MODIS,85,6.2,297.9,30.1,D,0
-51.4828,-58.6432,318.6,1.1,1.1,2006-12-03,1825,Aqua,MODIS,73,6.2,298.5,14,D,0
-51.4856,-58.6593,319.4,1.1,1.1,2006-12-03,1825,Aqua,MODIS,74,6.2,300.5,14.7,D,0
-51.4763,-58.6637,332.2,1.1,1.1,2006-12-03,1825,Aqua,MODIS,85,6.2,299.1,31.3,D,0
-51.4798,-58.6474,315.6,1.4,1.2,2006-12-05,1405,Terra,MODIS,64,6.2,298.6,16.2,D,0
-51.4779,-58.6676,316.3,1.4,1.2,2006-12-05,1405,Terra,MODIS,66,6.2,298.1,17.4,D,0
-52.0415,-60.7316,323.8,1.2,1.1,2006-12-05,1406,Terra,MODIS,77,6.2,286.4,26.8,D,0
-51.4245,-58.7396,354.2,1,1,2006-12-05,1813,Aqua,MODIS,97,6.2,300.7,67,D,0
-51.8008,-58.9054,340.9,1,1,2006-12-05,1813,Aqua,MODIS,91,6.2,300,40.5,D,0
-51.8098,-58.9019,309.4,1,1,2006-12-05,1813,Aqua,MODIS,29,6.2,294.3,4.3,D,0
-51.4155,-58.743,311.6,1,1,2006-12-05,1813,Aqua,MODIS,64,6.2,298.2,6,D,0
-51.4019,-58.7786,327,1,1,2006-12-05,1813,Aqua,MODIS,83,6.2,298.5,20.7,D,0
-51.4266,-58.7539,326.8,1,1,2006-12-05,1813,Aqua,MODIS,82,6.2,298.7,20.1,D,0
-51.8029,-58.9198,312.3,1,1,2006-12-05,1813,Aqua,MODIS,40,6.2,295.6,6.2,D,0
-52.0432,-60.7319,315.8,1,1,2006-12-05,1813,Aqua,MODIS,71,6.2,300.2,9.4,D,0
-51.4177,-58.7574,309,1,1,2006-12-05,1813,Aqua,MODIS,57,6.2,297.1,4,D,0
-51.398,-58.7838,314.2,1.1,1,2006-12-07,1800,Aqua,MODIS,73,6.2,292.2,11.3,D,0
-51.4074,-58.7808,320.6,1.1,1,2006-12-07,1800,Aqua,MODIS,80,6.2,292.6,17.9,D,0
-52.0155,-60.7351,304.3,1,1,2006-12-12,1819,Aqua,MODIS,0,6.2,283.2,6.3,D,0
