latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
60.6779,26.8068,308,1.5,1.2,2006-04-25,1016,Terra,MODIS,66,6.2,285.4,17,D,0
60.7719,26.7196,303,1.2,1.1,2006-04-26,0921,Terra,MODIS,54,6.2,288.2,6.4,D,0
60.7817,23.2087,304.9,1,1,2006-04-26,1111,Aqua,MODIS,60,6.2,289.4,6.4,D,0
60.7906,23.2039,300.1,1,1,2006-04-26,1111,Aqua,MODIS,26,6.2,288.7,3.3,D,0
60.3248,23.8349,320.7,1.1,1,2006-04-27,1004,Terra,MODIS,61,6.2,286.8,20.8,D,0
60.8425,23.6192,307,1,1,2006-04-27,1004,Terra,MODIS,65,6.2,289.3,7.8,D,0
60.3146,23.8164,302.5,1.7,1.3,2006-04-27,1015,Aqua,MODIS,40,6.2,287.8,13,D,0
62.9418,28.7008,310.4,1,1,2006-04-29,0951,Terra,MODIS,53,6.2,284,13.2,D,0
60.8322,23.1799,306.8,1,1,2006-04-29,0952,Terra,MODIS,64,6.2,286.9,7.3,D,0
60.8234,23.1747,304,1,1,2006-04-29,0952,Terra,MODIS,58,6.2,286.3,5.4,D,0
62.9414,28.6982,300.1,1.3,1.1,2006-04-29,1004,Aqua,MODIS,0,6.2,283.3,9,D,0
60.8452,23.1425,303.8,1.1,1,2006-04-30,1046,Aqua,MODIS,57,6.2,289.7,6.2,D,0
60.8419,23.1237,300,1.1,1,2006-04-30,1046,Aqua,MODIS,19,6.2,289.8,3.7,D,0
63.9082,24.5493,304,1,1,2006-04-30,1047,Aqua,MODIS,58,6.2,288,5.7,D,0
61.9737,22.2852,315.1,1.1,1,2006-04-30,1047,Aqua,MODIS,75,6.2,288.2,15.5,D,0
64.2805,24.9445,301.1,1,1,2006-04-30,1047,Aqua,MODIS,44,6.2,287.8,4.8,D,0
64.2834,24.9644,300,1,1,2006-04-30,1047,Aqua,MODIS,24,6.2,288.1,4.4,D,0
64.1805,26.4036,320.1,1.1,1,2006-05-01,0939,Terra,MODIS,80,6.2,288.6,20.5,D,0
63.9201,24.5306,313.8,1.1,1.1,2006-05-01,0939,Terra,MODIS,74,6.2,287.5,14.9,D,0
64.0658,24.7963,304.4,1.1,1.1,2006-05-01,0939,Terra,MODIS,59,6.2,287.8,7.8,D,0
61.4992,24.666,302.3,1.1,1,2006-05-01,0940,Terra,MODIS,45,6.2,287.8,5.3,D,0
61.5049,24.6753,308.6,1.1,1,2006-05-01,0940,Terra,MODIS,59,6.2,288.9,8.9,D,0
60.4744,22.1139,303.1,1.2,1.1,2006-05-01,1129,Aqua,MODIS,48,6.2,288.9,5.9,D,0
60.765,23.2432,310.4,1.3,1.1,2006-05-01,1129,Aqua,MODIS,62,6.2,287.5,13,D,0
60.7584,23.2531,320.5,1.3,1.1,2006-05-01,1129,Aqua,MODIS,80,6.2,288.7,26.7,D,0
62.9553,22.0581,313,1.3,1.1,2006-05-01,1130,Aqua,MODIS,73,6.2,288.6,18.3,D,0
60.7984,22.9107,303.1,1.6,1.2,2006-05-01,1918,Terra,MODIS,53,6.2,273.9,20.3,N,0
64.6375,24.696,305.7,1.1,1.1,2006-05-02,1022,Terra,MODIS,62,6.2,289.7,7.9,D,0
64.0635,24.6397,304.2,1.2,1.1,2006-05-02,1022,Terra,MODIS,58,6.2,287.4,7.4,D,0
64.0617,24.6496,302.5,1,1,2006-05-02,1035,Aqua,MODIS,53,6.2,288.1,5.3,D,0
64.6372,24.6697,302.4,1,1,2006-05-02,1035,Aqua,MODIS,52,6.2,289.8,4.9,D,0
64.6405,24.6898,328,1,1,2006-05-02,1035,Aqua,MODIS,85,6.2,291.2,27.3,D,0
60.9726,22.9962,304.9,4.5,1.9,2006-05-04,0832,Terra,MODIS,60,6.2,290,48.2,D,0
60.9734,23.0803,302,4.4,1.9,2006-05-04,0832,Terra,MODIS,50,6.2,289.2,32.9,D,0
