latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
4.6828,-52.9576,309.2,1.2,1.1,2006-03-20,1415,Terra,MODIS,34,6.2,292.8,6.7,D,0
5.521,-53.9183,312,1,1,2006-03-29,1706,Aqua,MODIS,51,6.2,293.3,5.1,D,0
5.6558,-53.7094,322.2,1.2,1.1,2006-03-31,1356,Terra,MODIS,76,6.2,299.3,16.9,D,0
5.5698,-53.8461,313.3,3,1.7,2006-04-01,1737,Aqua,MODIS,60,6.2,295.2,33.3,D,0
5.5734,-53.819,313.6,3,1.7,2006-04-01,1737,Aqua,MODIS,57,6.2,294.5,34.6,D,0
5.5502,-53.8664,312.1,2,1.4,2006-04-02,1641,Aqua,MODIS,63,6.2,291.9,17.1,D,0
5.5112,-53.9522,306.6,2,1.4,2006-04-02,1641,Aqua,MODIS,44,6.2,286.5,8.9,D,0
5.5479,-53.8611,315.9,2,1.4,2006-04-02,1641,Aqua,MODIS,67,6.2,292.4,24.4,D,0
5.6392,-53.7135,316.7,1.1,1.1,2006-04-05,1712,Aqua,MODIS,38,6.2,298.1,8,D,0
5.3771,-53.9572,312.7,1.1,1,2006-04-21,1415,Terra,MODIS,63,6.2,296,8.1,D,0
5.3785,-53.9669,314.5,1.1,1,2006-04-21,1415,Terra,MODIS,67,6.2,297.1,9.5,D,0
5.5455,-53.463,319.2,1,1,2006-08-04,1708,Aqua,MODIS,73,6.2,297.4,11.6,D,0
5.6033,-53.6738,310.2,1.9,1.3,2006-08-08,1643,Aqua,MODIS,60,6.2,293.5,11.5,D,0
5.5502,-53.4521,313.6,1,1,2006-08-20,1708,Aqua,MODIS,57,6.2,296.7,5.9,D,0
5.609,-53.6891,316.3,1,1,2006-08-20,1708,Aqua,MODIS,67,6.2,297.6,7.4,D,0
5.0411,-52.5804,313.1,1.6,1.2,2006-08-24,1644,Aqua,MODIS,68,6.2,297.3,10.2,D,0
