latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-0.3875,9.3469,305.6,1,1,2006-01-02,0950,Terra,MODIS,49,6.2,283.9,3.9,D,0
-2.6275,11.6227,307.2,1,1,2006-01-02,1243,Aqua,MODIS,22,6.2,291.1,1.9,D,0
-1.0271,14.3492,319.7,1.4,1.2,2006-01-06,1219,Aqua,MODIS,73,6.2,294.7,15.3,D,0
-1.9662,9.8664,312.5,1,1,2006-01-09,1250,Aqua,MODIS,57,6.2,286,7.2,D,2
-1.7408,14.1378,314.9,1.3,1.1,2006-01-09,1250,Aqua,MODIS,33,6.2,293.5,7.4,D,0
-1.7426,14.1257,319.9,1.3,1.1,2006-01-09,1250,Aqua,MODIS,71,6.2,295.6,13.9,D,0
-1.7432,14.1315,323.5,1.3,1.1,2006-01-09,1250,Aqua,MODIS,77,6.2,295.4,19.7,D,0
-1.9649,9.8755,310.9,1,1,2006-01-09,1250,Aqua,MODIS,58,6.2,286.2,6.1,D,2
-2.0769,9.8049,311.6,1,1,2006-01-09,1250,Aqua,MODIS,60,6.2,288.4,6.9,D,2
-1.557,13.2175,314.3,1.2,1.1,2006-01-11,0944,Terra,MODIS,61,6.2,297.9,8.5,D,0
-0.7469,12.9723,314.8,1,1,2006-01-11,1238,Aqua,MODIS,66,6.2,300.1,6.9,D,0
-1.6365,9.8774,302.4,1.4,1.2,2006-01-11,2204,Terra,MODIS,49,6.2,289.6,5.7,N,0
-0.3887,9.3413,310.7,1.3,1.1,2006-01-11,2205,Terra,MODIS,81,6.2,291.5,13.1,N,0
-0.5209,9.2446,312.4,2.3,1.5,2006-01-12,1321,Aqua,MODIS,59,6.2,291.9,22.4,D,0
-1.9571,9.8776,309.4,1.4,1.2,2006-01-16,1002,Terra,MODIS,57,6.2,293.7,7.2,D,2
-2.0504,11.0154,312.9,1.1,1,2006-01-16,1256,Aqua,MODIS,61,6.2,296.2,5.2,D,0
-2.0729,9.8054,313.4,1,1,2006-01-18,0950,Terra,MODIS,67,6.2,290.1,7.9,D,2
