latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
42.4557,41.8512,313.4,1.9,1.4,2006-01-03,0842,Terra,MODIS,31,6.2,274.4,33.1,D,0
42.1592,41.7831,304.5,2.5,1.5,2006-01-03,1948,Terra,MODIS,61,6.2,278.3,37,N,0
42.161,41.813,311.5,2.5,1.5,2006-01-03,1948,Terra,MODIS,83,6.2,278.9,54.6,N,0
42.1515,41.818,303.7,1.6,1.2,2006-01-04,0747,Terra,MODIS,42,6.2,281.5,14,D,0
42.5469,41.7136,309.9,1.6,1.2,2006-01-04,0747,Terra,MODIS,69,6.2,284.3,22.7,D,0
42.5451,41.7332,300,1.6,1.2,2006-01-04,0747,Terra,MODIS,20,6.2,283.9,10.6,D,0
42.1608,41.8387,306.5,1.6,1.2,2006-01-04,0747,Terra,MODIS,63,6.2,282,17.6,D,0
42.1489,41.8253,302.8,3.4,1.7,2006-01-04,0926,Aqua,MODIS,54,6.2,282.7,44.7,D,0
42.1439,41.821,303.3,3.4,1.7,2006-01-04,0926,Aqua,MODIS,52,6.2,282.8,46.6,D,0
41.6048,46.0228,320.7,1.1,1,2006-01-21,1009,Aqua,MODIS,80,6.2,279.6,25.1,D,0
41.6063,46.036,333.9,1.1,1,2006-01-21,1009,Aqua,MODIS,89,6.2,279.9,43.3,D,0
41.7004,45.9018,309.2,1.1,1,2006-01-21,1009,Aqua,MODIS,68,6.2,278.7,13.9,D,0
41.3895,45.1046,304,1,1,2006-02-22,1009,Aqua,MODIS,57,6.2,289.4,5.6,D,0
42.5871,41.6603,303.1,1,1,2006-02-22,1009,Aqua,MODIS,55,6.2,290.9,4.4,D,0
42.7878,41.4012,311.3,1,1,2006-02-22,1009,Aqua,MODIS,36,6.2,289.2,10.2,D,0
41.9099,44.7923,303.7,1,1,2006-02-22,1009,Aqua,MODIS,53,6.2,288.8,6.1,D,0
42.6934,41.6225,305.8,1,1,2006-02-22,1009,Aqua,MODIS,62,6.2,290.4,6.6,D,0
42.5864,41.5961,302.4,1,1,2006-02-22,1009,Aqua,MODIS,52,6.2,288.6,5.2,D,0
42.5883,41.6084,319.5,1,1,2006-02-22,1009,Aqua,MODIS,79,6.2,290.4,18,D,0
