latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
51.3641,6.703,305,1,1,2006-01-01,1215,Aqua,MODIS,53,6.2,279.6,11,D,2
51.4845,6.7023,308.9,1,1,2006-01-01,1215,Aqua,MODIS,0,6.2,279.6,13,D,2
51.4883,6.7086,300.6,1,1,2006-01-02,0147,Aqua,MODIS,28,6.2,273.5,8.6,N,0
51.4862,6.7227,304.8,1,1,2006-01-02,0147,Aqua,MODIS,62,6.2,274.8,11.1,N,2
49.2402,6.8537,305.4,1.3,1.1,2006-01-03,1019,Terra,MODIS,61,6.2,273.5,16.6,D,2
51.3635,6.7152,302.2,1.4,1.2,2006-01-03,1019,Terra,MODIS,44,6.2,274.1,15.5,D,2
52.1541,10.3989,304.3,1.3,1.1,2006-01-09,0153,Aqua,MODIS,59,6.2,267.7,16.5,N,2
51.487,6.7332,312.9,1,1,2006-01-09,0153,Aqua,MODIS,74,6.2,272.8,16,N,2
51.3695,6.7085,310.5,1,1,2006-01-09,0153,Aqua,MODIS,80,6.2,272.4,16.5,N,2
51.4894,6.7188,318.2,1,1,2006-01-09,0153,Aqua,MODIS,90,6.2,273.6,20.5,N,2
51.4852,6.7239,300.4,2.2,1.4,2006-01-09,1304,Aqua,MODIS,0,6.2,277.6,25.6,D,2
52.1697,10.4069,326.9,1.1,1,2006-01-09,2053,Terra,MODIS,100,6.2,267.2,33.7,N,2
51.4842,6.7268,319.7,1.5,1.2,2006-01-09,2053,Terra,MODIS,99,6.2,272.8,39.8,N,2
51.4869,6.7188,327.5,1.5,1.2,2006-01-09,2053,Terra,MODIS,100,6.2,273.3,55.5,N,2
52.1775,10.4133,326.7,1.1,1,2006-01-09,2053,Terra,MODIS,100,6.2,267.4,34.8,N,2
52.1581,10.3958,310,1.1,1,2006-01-09,2053,Terra,MODIS,79,6.2,269,16.6,N,2
52.1723,10.4222,315.5,1.1,1,2006-01-09,2053,Terra,MODIS,91,6.2,266.6,21.2,N,2
52.1491,10.4,312.5,1.1,1,2006-01-09,2053,Terra,MODIS,85,6.2,267.8,19.2,N,2
52.1567,10.4038,306,1,1,2006-01-10,1025,Terra,MODIS,46,6.2,271.8,11.2,D,2
52.151,10.3924,308.9,1,1,2006-01-10,1209,Aqua,MODIS,68,6.2,275.3,13.5,D,2
52.1531,10.4068,301.9,1,1,2006-01-10,1209,Aqua,MODIS,50,6.2,274.5,9.2,D,2
51.4855,6.7136,322,1.2,1.1,2006-01-10,2136,Terra,MODIS,100,6.2,270.8,32.1,N,2
51.4874,6.7305,303.3,1.2,1.1,2006-01-10,2136,Terra,MODIS,54,6.2,265.2,14,N,2
52.1525,10.4036,304.7,1.3,1.1,2006-01-12,2124,Terra,MODIS,61,6.2,271.5,16.4,N,2
52.1534,10.4081,313.3,1,1,2006-01-13,0128,Aqua,MODIS,87,6.2,270.9,18,N,2
51.486,6.7157,308.7,1.2,1.1,2006-01-13,0129,Aqua,MODIS,75,6.2,274.9,17.2,N,2
51.3655,6.7112,307,1.2,1.1,2006-01-13,0129,Aqua,MODIS,70,6.2,273.1,17.2,N,2
51.4832,6.7187,305.2,1.1,1,2006-01-13,1055,Terra,MODIS,0,6.2,269.1,11.3,D,2
51.4907,6.7189,302.4,1.4,1.2,2006-01-14,0211,Aqua,MODIS,31,6.2,273.3,15.4,N,2
51.364,6.71,308.5,1.4,1.2,2006-01-14,0211,Aqua,MODIS,75,6.2,271.1,24,N,2
52.1733,10.4066,312.8,1.6,1.2,2006-01-14,1000,Terra,MODIS,65,6.2,272.3,30.1,D,2
52.1716,10.4237,320,1.6,1.2,2006-01-14,1000,Terra,MODIS,80,6.2,272.3,43.8,D,2
52.1714,10.4297,311.7,1.6,1.2,2006-01-14,1000,Terra,MODIS,62,6.2,271.9,28.4,D,2
52.1472,10.3898,301.3,1.3,1.1,2006-01-14,1145,Aqua,MODIS,46,6.2,275.9,13.2,D,2
52.1509,10.4084,301.1,1.3,1.1,2006-01-14,1145,Aqua,MODIS,45,6.2,275.8,13.1,D,2
51.4844,6.7117,315.4,1,1,2006-01-14,2111,Terra,MODIS,91,6.2,273.6,19.4,N,2
52.1532,10.3974,309.6,1,1,2006-01-14,2111,Terra,MODIS,78,6.2,270.7,15.5,N,2
53.5223,9.8999,306.4,1,1,2006-01-14,2112,Terra,MODIS,68,6.2,270.6,13.9,N,0
51.489,6.7157,302.5,1.6,1.3,2006-01-15,0116,Aqua,MODIS,50,6.2,272.3,20.4,N,2
51.4864,6.7226,301.6,1.6,1.3,2006-01-15,0116,Aqua,MODIS,12,6.2,271.7,17.9,N,2
52.1564,10.4021,321.1,1.1,1.1,2006-01-15,1043,Terra,MODIS,81,6.2,273.5,28,D,2
51.4922,6.7412,304.6,1,1,2006-01-15,1043,Terra,MODIS,27,6.2,273,9.7,D,2
51.3677,6.7026,304.1,1,1,2006-01-15,1043,Terra,MODIS,44,6.2,272.2,11,D,2
51.4876,6.7097,308.7,1,1,2006-01-15,1043,Terra,MODIS,0,6.2,274,12,D,0
52.15,10.3912,308.9,1.3,1.1,2006-01-15,1227,Aqua,MODIS,68,6.2,274.8,19,D,2
51.3656,6.704,330.3,1,1,2006-01-15,1227,Aqua,MODIS,66,6.2,274,34.9,D,2
51.489,6.73,305.1,1,1,2006-01-15,1227,Aqua,MODIS,36,6.2,274.7,10.2,D,2
52.1707,10.408,311.6,1,1,2006-01-16,2059,Terra,MODIS,83,6.2,268.7,16.5,N,2
52.1729,10.4225,302.5,1,1,2006-01-16,2059,Terra,MODIS,49,6.2,267.9,10.6,N,2
52.1508,10.401,318.4,1,1,2006-01-16,2059,Terra,MODIS,97,6.2,269.5,21.8,N,2
52.1625,10.4047,308.4,1.6,1.2,2006-01-17,0104,Aqua,MODIS,74,6.2,270.7,27.2,N,2
51.4946,6.7331,307.6,1.7,1.3,2006-01-18,2047,Terra,MODIS,72,6.2,274.5,27.7,N,2
51.4854,6.7186,306,2.4,1.5,2006-01-20,2035,Terra,MODIS,66,6.2,275.6,42.8,N,2
52.1497,10.4011,308.1,1.5,1.2,2006-01-22,1234,Aqua,MODIS,67,6.2,271.8,23.5,D,2
51.4843,6.7267,301.5,1.2,1.1,2006-01-23,0205,Aqua,MODIS,17,6.2,268.1,12.6,N,2
51.369,6.7098,310.3,1.1,1.1,2006-01-23,2105,Terra,MODIS,80,6.2,269,19.4,N,2
51.4808,6.7234,337.8,1,1,2006-01-24,1221,Aqua,MODIS,69,6.2,271.9,43.4,D,2
51.484,6.7075,306.5,1.2,1.1,2006-01-26,2136,Terra,MODIS,44,6.2,268.8,15.8,N,2
51.4865,6.7162,304.2,1.4,1.2,2006-01-27,1108,Terra,MODIS,0,6.2,270.3,16.9,D,2
51.4868,6.7109,301.5,2,1.4,2006-01-27,2041,Terra,MODIS,42,6.2,267.8,30.1,N,2
52.1516,10.4107,301.8,1.2,1.1,2006-01-28,1012,Terra,MODIS,42,6.2,267.6,12.2,D,2
51.4835,6.7179,321.2,1.6,1.3,2006-01-28,1013,Terra,MODIS,0,6.2,273,49.6,D,2
