latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
9.4429,-1.9439,325.7,2.6,1.6,2006-01-01,0115,Aqua,MODIS,100,6.2,290.6,95.7,N,0
9.4917,-1.9544,303.3,2.6,1.6,2006-01-01,0115,Aqua,MODIS,47,6.2,288.7,23.3,N,0
9.4877,-1.9622,300.3,2.6,1.6,2006-01-01,0115,Aqua,MODIS,11,6.2,289,16.2,N,0
9.4708,-1.9404,306.8,2.6,1.6,2006-01-01,0115,Aqua,MODIS,50,6.2,290.7,31.2,N,0
9.4569,-1.9422,327.1,2.6,1.6,2006-01-01,0115,Aqua,MODIS,100,6.2,292,102.5,N,0
8.8727,-0.0305,305,1.8,1.3,2006-01-01,0116,Aqua,MODIS,44,6.2,289.9,16.6,N,0
8.8792,-0.0368,300.1,1.8,1.3,2006-01-01,0116,Aqua,MODIS,15,6.2,288.5,11.3,N,0
7.2366,-0.2538,302.8,1.8,1.3,2006-01-01,0116,Aqua,MODIS,52,6.2,290.8,13.8,N,0
7.0662,-1.21,303.6,2.1,1.4,2006-01-01,0116,Aqua,MODIS,56,6.2,290.9,18.1,N,0
9.429,-1.9457,318,2.6,1.6,2006-01-01,0116,Aqua,MODIS,96,6.2,289.9,66,N,0
9.4151,-1.9478,306.8,2.6,1.6,2006-01-01,0116,Aqua,MODIS,69,6.2,288.7,33.2,N,0
9.4225,-1.9518,307.4,2.6,1.6,2006-01-01,0116,Aqua,MODIS,46,6.2,288.4,33,N,0
8.1708,0.4496,315,1.6,1.3,2006-01-01,0116,Aqua,MODIS,90,6.2,293.9,26.9,N,0
8.1707,0.4441,312.6,1.6,1.3,2006-01-01,0116,Aqua,MODIS,85,6.2,294.2,22.9,N,0
10.4356,-2.3072,326.4,1,1,2006-01-01,1042,Terra,MODIS,66,6.2,311.8,9,D,0
10.6581,-2.1267,327.6,1,1,2006-01-01,1042,Terra,MODIS,68,6.2,311.7,10.3,D,0
10.4738,-0.4807,327.3,1.1,1,2006-01-01,1042,Terra,MODIS,67,6.2,311.5,12.1,D,0
10.4675,-0.8572,324,1,1,2006-01-01,1042,Terra,MODIS,56,6.2,311.5,7.3,D,0
10.3969,-0.8162,335.4,1,1,2006-01-01,1042,Terra,MODIS,81,6.2,311.7,22.8,D,0
10.6492,-2.128,333.9,1,1,2006-01-01,1042,Terra,MODIS,79,6.2,310.6,18.4,D,0
10.6478,-2.119,327.1,1,1,2006-01-01,1042,Terra,MODIS,64,6.2,311.5,9.2,D,0
10.6955,-1.8195,328,1,1,2006-01-01,1042,Terra,MODIS,69,6.2,309.3,11.2,D,0
10.2496,-1.7971,324,1,1,2006-01-01,1042,Terra,MODIS,56,6.2,312,6.1,D,0
10.2421,0.2593,327,1.2,1.1,2006-01-01,1042,Terra,MODIS,62,6.2,310.9,12.7,D,0
