latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.631,21.7346,311,2.5,1.5,2006-01-13,1058,Aqua,MODIS,71,6.2,276.6,53.6,D,0
40.6384,21.736,310.2,2.5,1.5,2006-01-13,1058,Aqua,MODIS,70,6.2,276.8,51,D,0
37.7771,22.7057,301.7,1.4,1.2,2006-01-18,1116,Aqua,MODIS,49,6.2,285.2,9.8,D,0
40.6276,22.6856,300.4,1.8,1.3,2006-01-20,1104,Aqua,MODIS,36,6.2,280.2,14.8,D,0
40.9796,22.6829,308,1.2,1.1,2006-01-21,1147,Aqua,MODIS,66,6.2,288.9,11.4,D,0
37.1264,22.0322,303.6,1.2,1.1,2006-01-28,1152,Aqua,MODIS,57,6.2,284,9.2,D,0
39.0574,20.9765,317.4,1.2,1.1,2006-02-01,1128,Aqua,MODIS,68,6.2,286.5,20.6,D,0
39.6301,20.8869,307.9,1.2,1.1,2006-02-01,1129,Aqua,MODIS,57,6.2,282.6,11.7,D,0
40.6909,22.7401,310.4,1,1,2006-02-01,1129,Aqua,MODIS,70,6.2,285.6,10.6,D,0
39.3618,26.2002,314.9,1.2,1.1,2006-02-02,0856,Terra,MODIS,75,6.2,283.1,21.9,D,0
40.6077,22.7716,304.6,1.3,1.1,2006-02-03,1117,Aqua,MODIS,59,6.2,286.7,9.4,D,0
40.6928,22.7227,300.1,1.3,1.1,2006-02-03,1117,Aqua,MODIS,29,6.2,288.5,5.2,D,0
39.9867,25.0941,300.9,1.7,1.3,2006-02-14,1058,Aqua,MODIS,21,6.2,273.5,15,D,0
39.9782,25.1816,302.8,1.4,1.2,2006-02-18,0856,Terra,MODIS,51,6.2,288.8,8,D,0
39.98,25.165,302.3,1.4,1.2,2006-02-18,0856,Terra,MODIS,45,6.2,288.8,7.5,D,0
39.6497,22.541,311.9,1.7,1.3,2006-02-20,1200,Aqua,MODIS,71,6.2,298.7,12.3,D,0
39.5342,21.7466,302,1,1,2006-02-21,0927,Terra,MODIS,50,6.2,290.8,3.2,D,0
39.6842,22.4752,310.2,1.2,1.1,2006-02-22,1147,Aqua,MODIS,68,6.2,298.8,4.9,D,0
35.2986,24.3963,301.7,1.1,1,2006-03-03,1140,Aqua,MODIS,49,6.2,291.5,4.3,D,0
37.1039,22.5401,319.9,1,1,2006-03-03,1141,Aqua,MODIS,80,6.2,289.7,17.9,D,0
38.3972,23.1452,303.5,1.1,1,2006-03-03,1141,Aqua,MODIS,44,6.2,293.3,3.3,D,0
40.8037,23.8666,300.4,1.2,1.1,2006-03-03,1142,Aqua,MODIS,34,6.2,288,6,D,0
40.8021,23.8527,308.3,1.2,1.1,2006-03-03,1142,Aqua,MODIS,58,6.2,287.6,12.1,D,0
39.2497,22.115,307.4,1.1,1,2006-03-05,1129,Aqua,MODIS,61,6.2,292.5,7.3,D,0
39.1131,26.2653,308.1,1.2,1.1,2006-03-22,0856,Terra,MODIS,50,6.2,277.7,14.9,D,0
