latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
15.9808,-61.2969,326.4,1.3,1.1,2006-02-16,1715,Aqua,MODIS,60,6.2,299.3,26.2,D,0
15.9811,-61.2903,324.3,1.3,1.1,2006-02-16,1715,Aqua,MODIS,67,6.2,299.6,22.7,D,0
16.4232,-61.4948,312.2,2.8,1.6,2006-02-27,1657,Aqua,MODIS,40,6.2,298.7,18.3,D,0
16.4125,-61.4993,311.5,2.8,1.6,2006-02-27,1657,Aqua,MODIS,37,6.2,298.7,16.1,D,0
16.3952,-61.4291,310.3,1.5,1.2,2006-03-07,1746,Aqua,MODIS,31,6.2,287.5,9.4,D,0
16.2723,-61.6208,320.6,1,1,2006-03-30,1449,Terra,MODIS,0,6.2,301.2,10.4,D,0
16.3945,-61.489,327.4,1.3,1.1,2006-05-28,1430,Terra,MODIS,66,6.2,301.8,19.8,D,0
16.3929,-61.4765,322.8,1.3,1.1,2006-05-28,1430,Terra,MODIS,64,6.2,302.6,12.3,D,0
16.3921,-61.4895,340.8,1,1,2006-05-28,1734,Aqua,MODIS,85,6.2,308.7,31.9,D,0
16.4103,-61.5027,339.4,2.2,1.4,2006-06-10,1704,Aqua,MODIS,68,6.2,301.2,91.7,D,0
16.4104,-61.5094,343.9,2.2,1.4,2006-06-10,1704,Aqua,MODIS,0,6.2,301.7,117.9,D,0
