latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
14.1861,-90.9524,316.7,1.6,1.2,2006-01-02,1621,Terra,MODIS,49,6.2,299.7,12.8,D,0
14.0943,-90.6075,315.7,1.5,1.2,2006-01-02,1621,Terra,MODIS,53,6.2,294.7,12.5,D,0
14.0981,-90.6144,317.7,1.5,1.2,2006-01-02,1621,Terra,MODIS,69,6.2,294,16.4,D,0
14.2679,-90.8756,330.5,1.6,1.2,2006-01-02,1621,Terra,MODIS,83,6.2,299.7,41.1,D,0
14.1755,-89.7419,320.8,1,1,2006-01-02,1923,Aqua,MODIS,68,6.2,304.6,7.6,D,0
14.1768,-89.7327,320.4,1,1,2006-01-02,1923,Aqua,MODIS,60,6.2,303.7,7.3,D,0
13.8935,-90.1072,324.2,1,1,2006-01-02,1923,Aqua,MODIS,74,6.2,305.3,8.5,D,0
14.8997,-90.4043,317.4,1,1,2006-01-02,1924,Aqua,MODIS,65,6.2,303.1,6,D,0
15.7376,-90.3455,310.6,1,1,2006-01-02,1924,Aqua,MODIS,48,6.2,298.2,4.9,D,0
14.468,-91.4063,304.5,1,1,2006-01-02,1924,Aqua,MODIS,17,6.2,277.5,4.4,D,0
15.3411,-89.3747,310.2,1,1,2006-01-02,1924,Aqua,MODIS,54,6.2,298.1,4.6,D,0
15.3969,-89.628,314.4,1,1,2006-01-02,1924,Aqua,MODIS,61,6.2,300.1,5.7,D,0
15.3956,-89.6374,314.4,1,1,2006-01-02,1924,Aqua,MODIS,56,6.2,300.1,5.8,D,0
16.7942,-90.2992,313.6,1,1,2006-01-02,1924,Aqua,MODIS,55,6.2,299.3,6,D,0
16.7929,-90.3085,311.7,1,1,2006-01-02,1924,Aqua,MODIS,52,6.2,298.5,4.6,D,0
15.9416,-90.0776,311.2,1,1,2006-01-02,1924,Aqua,MODIS,46,6.2,296.6,4,D,0
15.3299,-89.713,320.4,1,1,2006-01-02,1924,Aqua,MODIS,75,6.2,301.6,10.8,D,0
15.2773,-90.1491,307.3,1,1,2006-01-02,1924,Aqua,MODIS,13,6.2,294.6,4.7,D,0
16.0223,-90.5464,311.1,1,1,2006-01-02,1924,Aqua,MODIS,34,6.2,297.7,4.6,D,0
