latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
2.816,-59.9437,325.8,1.2,1.1,2006-01-02,1741,Aqua,MODIS,78,6.2,299.3,16,D,0
2.3394,-59.8447,316.7,1.2,1.1,2006-01-02,1741,Aqua,MODIS,54,6.2,295.8,7.8,D,0
3.6144,-59.7735,321.5,1.2,1.1,2006-01-06,1717,Aqua,MODIS,44,6.2,298.5,14.5,D,0
3.6243,-59.7749,326.5,1.2,1.1,2006-01-06,1717,Aqua,MODIS,73,6.2,297.9,21,D,0
3.9738,-59.329,305.1,1,1,2006-01-07,0536,Aqua,MODIS,63,6.2,290.9,5.9,N,0
3.7226,-59.5664,315.6,3.4,1.7,2006-01-07,1503,Terra,MODIS,71,6.2,289.2,42.3,D,0
3.7169,-59.5604,313,3.4,1.7,2006-01-07,1503,Terra,MODIS,23,6.2,288.1,24.4,D,0
2.5864,-59.4765,316.6,3,1.6,2006-01-07,1800,Aqua,MODIS,66,6.2,289.7,27.2,D,0
2.9735,-59.9369,312,1.9,1.3,2006-01-09,1451,Terra,MODIS,56,6.2,291.9,11.8,D,0
3.6795,-59.6176,320.4,1.7,1.3,2006-01-09,1748,Aqua,MODIS,70,6.2,294.7,16.7,D,0
3.2443,-59.8594,327.8,1.6,1.3,2006-01-09,1748,Aqua,MODIS,42,6.2,300.8,26.3,D,0
2.5526,-59.7695,311.6,3.8,1.8,2006-01-10,1652,Aqua,MODIS,67,6.2,288.8,28,D,0
3.667,-59.5792,318.4,3.5,1.8,2006-01-10,1653,Aqua,MODIS,59,6.2,294.7,37.8,D,0
3.4872,-59.6668,316.7,3.6,1.8,2006-01-10,1653,Aqua,MODIS,63,6.2,292.7,48,D,0
5.2974,-58.0819,302.7,1,1,2006-01-11,0220,Terra,MODIS,51,6.2,291.4,4.3,N,0
3.7025,-59.6356,303.1,1,1,2006-01-11,0220,Terra,MODIS,53,6.2,292.6,3.9,N,0
3.6337,-59.664,328.6,1.2,1.1,2006-01-11,1439,Terra,MODIS,80,6.2,300.8,17.1,D,0
2.9009,-59.493,333.8,1.2,1.1,2006-01-11,1439,Terra,MODIS,86,6.2,295.9,35.8,D,0
3.5577,-59.5738,324.5,1.2,1.1,2006-01-11,1439,Terra,MODIS,76,6.2,296.2,15,D,0
2.9108,-59.4917,314.8,1.2,1.1,2006-01-11,1439,Terra,MODIS,58,6.2,295.6,8.2,D,0
3.5591,-59.6492,324.6,1.2,1.1,2006-01-11,1439,Terra,MODIS,74,6.2,299.3,12.5,D,0
2.771,-59.5801,328.7,1.1,1,2006-01-11,1735,Aqua,MODIS,81,6.2,295.6,20.4,D,0
2.883,-59.7008,323.1,1.1,1,2006-01-11,1735,Aqua,MODIS,60,6.2,295.9,11.9,D,0
3.9115,-59.111,317.9,1.2,1.1,2006-01-11,1735,Aqua,MODIS,51,6.2,290.4,13.6,D,0
5.3858,-58.0618,311.2,4.3,1.9,2006-01-12,1641,Aqua,MODIS,50,6.2,286.8,70.8,D,0
5.3774,-58.0961,323.4,4.3,1.9,2006-01-12,1641,Aqua,MODIS,77,6.2,289.4,159.3,D,0
5.3793,-58.1001,321.2,4.3,1.9,2006-01-12,1641,Aqua,MODIS,80,6.2,289.3,141.2,D,0
5.3836,-58.0576,308,4.3,1.9,2006-01-12,1641,Aqua,MODIS,40,6.2,286.8,51.3,D,0
3.7362,-59.613,321.4,1,1,2006-01-13,1427,Terra,MODIS,63,6.2,295.1,10.4,D,0
2.5897,-59.7113,319.5,1,1,2006-01-13,1427,Terra,MODIS,71,6.2,299.3,7.7,D,0
2.5973,-59.7011,317,1,1,2006-01-13,1427,Terra,MODIS,52,6.2,297.7,5.5,D,0
2.5883,-59.7024,336.8,1,1,2006-01-13,1427,Terra,MODIS,88,6.2,299.6,28.9,D,0
2.7742,-59.8371,318.6,1,1,2006-01-13,1427,Terra,MODIS,60,6.2,296.4,9.5,D,0
3.7376,-59.6219,321.1,1,1,2006-01-13,1427,Terra,MODIS,55,6.2,292.6,9.9,D,0
4.5243,-59.7071,320.6,1,1,2006-01-13,1723,Aqua,MODIS,70,6.2,296,15.3,D,0
2.6108,-59.191,319.7,1,1,2006-01-13,1723,Aqua,MODIS,71,6.2,297.5,11.5,D,0
2.8542,-59.4134,322.3,1,1,2006-01-13,1723,Aqua,MODIS,74,6.2,301.6,9.1,D,0
5.4447,-60.0924,318.1,1,1,2006-01-13,1724,Aqua,MODIS,75,6.2,294.9,12.3,D,0
5.4433,-60.1018,323.1,1,1,2006-01-13,1724,Aqua,MODIS,80,6.2,294.8,17.3,D,0
5.6068,-61.104,317.6,1.1,1.1,2006-01-13,1724,Aqua,MODIS,74,6.2,298.6,10.4,D,0
4.022,-59.6114,328.5,1.5,1.2,2006-01-15,1711,Aqua,MODIS,83,6.2,296.3,33.5,D,0
3.5619,-59.5365,330.8,2.3,1.5,2006-01-16,1754,Aqua,MODIS,84,6.2,288.5,69.6,D,0
3.7749,-59.4357,319.5,1.5,1.2,2006-01-18,1445,Terra,MODIS,53,6.2,293.8,17.2,D,0
3.7571,-59.6601,327,1.3,1.1,2006-01-18,1742,Aqua,MODIS,51,6.2,300.5,15.5,D,0
3.7587,-59.6483,327.5,1.3,1.1,2006-01-18,1742,Aqua,MODIS,47,6.2,296.2,16.6,D,0
3.5483,-59.6185,326.8,1.1,1,2006-01-27,1735,Aqua,MODIS,68,6.2,294.5,12.2,D,0
3.5469,-59.6283,327.8,1.1,1,2006-01-27,1735,Aqua,MODIS,72,6.2,294.8,13.6,D,0
3.5529,-59.519,337.9,1.1,1,2006-01-27,1735,Aqua,MODIS,88,6.2,292.5,34.7,D,0
3.5244,-59.5852,324,1.1,1,2006-01-27,1735,Aqua,MODIS,53,6.2,289.5,12,D,0
3.5515,-59.5289,319.4,1.1,1,2006-01-27,1735,Aqua,MODIS,37,6.2,291.7,7.2,D,0
5.3746,-58.0908,327.6,1,1,2006-01-29,1724,Aqua,MODIS,78,6.2,291.2,21.1,D,0
2.5106,-59.7035,319.2,1.3,1.1,2006-02-03,1741,Aqua,MODIS,63,6.2,296.2,10.6,D,0
4.107,-59.4556,324.7,1.4,1.2,2006-02-03,1742,Aqua,MODIS,76,6.2,298.4,25.3,D,0
3.5223,-59.6189,332.6,1.3,1.1,2006-02-03,1742,Aqua,MODIS,84,6.2,300.6,31.9,D,0
3.5325,-59.6203,325.4,1.3,1.1,2006-02-03,1742,Aqua,MODIS,67,6.2,297,17.5,D,0
3.7697,-59.4835,332.1,1,1,2006-02-05,1729,Aqua,MODIS,69,6.2,300.2,20.7,D,0
3.7685,-59.4925,327.1,1,1,2006-02-05,1729,Aqua,MODIS,30,6.2,301.7,13.1,D,0
3.0366,-59.6531,317.2,1.2,1.1,2006-02-07,1717,Aqua,MODIS,32,6.2,297.7,12.8,D,0
3.9603,-59.3116,300.8,1.1,1.1,2006-02-10,0232,Terra,MODIS,24,6.2,289,3.8,N,0
3.9589,-59.3219,304.4,1.1,1.1,2006-02-10,0232,Terra,MODIS,60,6.2,289.1,6.3,N,0
3.4248,-59.7345,319.7,1.9,1.4,2006-02-10,1451,Terra,MODIS,67,6.2,292.7,25.5,D,0
3.4222,-59.7175,318.6,1.9,1.4,2006-02-10,1451,Terra,MODIS,44,6.2,291.5,25.3,D,0
3.6177,-59.329,318.3,1.8,1.3,2006-02-10,1748,Aqua,MODIS,56,6.2,293.3,19.3,D,0
3.6272,-59.3211,316.9,1.8,1.3,2006-02-10,1748,Aqua,MODIS,50,6.2,292.9,17.3,D,0
2.9402,-59.7906,326.1,1.2,1.1,2006-02-12,1439,Terra,MODIS,78,6.2,302.3,14.6,D,0
2.4587,-59.8482,320.9,1.2,1.1,2006-02-12,1439,Terra,MODIS,73,6.2,302.7,8.1,D,0
2.9386,-59.7801,324.3,1.2,1.1,2006-02-12,1439,Terra,MODIS,76,6.2,302.3,11.7,D,0
5.4676,-60.1837,310.1,1.1,1,2006-02-12,1439,Terra,MODIS,62,6.2,296.7,6.9,D,0
3.4465,-59.6794,315,1.2,1.1,2006-02-12,1439,Terra,MODIS,48,6.2,291.5,7.4,D,0
2.9326,-59.6726,321.6,1.2,1.1,2006-02-12,1439,Terra,MODIS,73,6.2,302.2,9,D,0
2.6475,-59.5448,324,1.2,1.1,2006-02-12,1439,Terra,MODIS,77,6.2,301.8,13.1,D,0
2.4428,-59.6095,327.1,1.2,1.1,2006-02-12,1439,Terra,MODIS,80,6.2,302.1,18.9,D,0
3.4481,-59.6899,315.2,1.2,1.1,2006-02-12,1439,Terra,MODIS,52,6.2,290.8,7.4,D,0
3.5646,-59.3763,312.8,1.2,1.1,2006-02-12,1439,Terra,MODIS,46,6.2,292.8,10.3,D,0
2.4784,-59.8205,330,1.1,1,2006-02-12,1735,Aqua,MODIS,80,6.2,307.6,11.8,D,0
2.7321,-59.5969,328.1,1.1,1,2006-02-12,1735,Aqua,MODIS,78,6.2,304.6,15.2,D,0
2.4507,-59.8836,327.8,1.1,1,2006-02-12,1735,Aqua,MODIS,50,6.2,307.3,11.7,D,0
3.5629,-59.3801,329.4,1.1,1.1,2006-02-12,1736,Aqua,MODIS,78,6.2,299.8,22.5,D,0
3.562,-59.5221,341.4,1.1,1.1,2006-02-12,1736,Aqua,MODIS,89,6.2,301.4,36.1,D,0
4.5898,-59.8546,328,1.1,1,2006-02-12,1736,Aqua,MODIS,79,6.2,305.3,16.1,D,0
4.408,-59.6346,323.1,1.1,1.1,2006-02-12,1736,Aqua,MODIS,49,6.2,296.3,16.5,D,0
3.5615,-59.3901,325.2,1.1,1.1,2006-02-12,1736,Aqua,MODIS,56,6.2,303.4,15.3,D,0
5.2311,-58.0825,329.3,1,1,2006-02-14,1426,Terra,MODIS,84,6.2,293.5,23.7,D,0
5.2298,-58.0734,310.6,1,1,2006-02-14,1426,Terra,MODIS,62,6.2,291.4,5.2,D,0
3.0134,-59.7189,322.9,1,1,2006-02-14,1427,Terra,MODIS,74,6.2,296,8.7,D,0
2.9409,-59.9445,312.7,1.1,1,2006-02-14,1723,Aqua,MODIS,0,6.2,285.2,4.6,D,0
3.6274,-59.6788,314.4,4.5,1.9,2006-02-15,1510,Terra,MODIS,52,6.2,288.4,57.9,D,0
3.626,-59.6843,315.9,4.5,1.9,2006-02-15,1510,Terra,MODIS,64,6.2,288.2,69.9,D,0
2.5845,-59.8513,319.1,1.4,1.2,2006-02-16,1415,Terra,MODIS,70,6.2,294.8,11.6,D,0
3.635,-59.54,326.7,1.5,1.2,2006-02-16,1711,Aqua,MODIS,62,6.2,301.4,21,D,0
3.6291,-59.532,324.7,1.5,1.2,2006-02-16,1711,Aqua,MODIS,35,6.2,301.7,18.2,D,0
3.6399,-59.5337,328.8,1.5,1.2,2006-02-16,1711,Aqua,MODIS,66,6.2,300.4,26.1,D,0
3.637,-59.5266,327.4,1.5,1.2,2006-02-16,1711,Aqua,MODIS,66,6.2,300.4,23.7,D,0
2.0833,-59.2471,306.6,1.5,1.2,2006-02-16,1711,Aqua,MODIS,58,6.2,289.8,10.7,D,0
6.2104,-57.3509,311.2,1.6,1.2,2006-02-18,1700,Aqua,MODIS,42,6.2,292,10.7,D,0
3.6614,-59.4849,317.8,1.5,1.2,2006-02-19,1445,Terra,MODIS,59,6.2,295.1,17.4,D,0
6.2968,-57.6352,308.5,1.2,1.1,2006-02-21,1432,Terra,MODIS,45,6.2,285.2,6.1,D,0
6.2568,-57.6305,304.9,1.2,1.1,2006-02-21,1432,Terra,MODIS,25,6.2,282.8,4.5,D,0
2.6982,-59.5175,320.9,1.1,1,2006-02-21,1433,Terra,MODIS,60,6.2,293.2,11.6,D,0
2.3343,-59.7084,319.7,1,1,2006-02-21,1729,Aqua,MODIS,55,6.2,290.2,6.6,D,0
3.5973,-59.3781,320,1,1,2006-02-21,1730,Aqua,MODIS,46,6.2,294,10.5,D,0
3.8981,-59.2709,321,1,1,2006-02-21,1730,Aqua,MODIS,33,6.2,298.7,11.6,D,0
3.8597,-59.2774,321.1,1,1,2006-02-21,1730,Aqua,MODIS,48,6.2,291.9,11.7,D,0
3.861,-59.2683,321,1,1,2006-02-21,1730,Aqua,MODIS,52,6.2,293.8,11.5,D,0
3.8507,-59.2761,327.1,1,1,2006-02-21,1730,Aqua,MODIS,59,6.2,297.5,17.5,D,0
3.6297,-59.471,337.5,1,1,2006-02-21,1730,Aqua,MODIS,87,6.2,300.5,24.3,D,0
3.4805,-59.5469,327.7,1,1,2006-02-21,1730,Aqua,MODIS,66,6.2,301.5,13.9,D,0
3.0687,-59.5026,323,3,1.7,2006-02-24,1800,Aqua,MODIS,77,6.2,293.4,80.5,D,0
3.0683,-59.4931,326.1,3,1.7,2006-02-24,1800,Aqua,MODIS,80,6.2,293.6,97,D,0
3.0728,-59.4723,312.8,3,1.7,2006-02-24,1800,Aqua,MODIS,43,6.2,292.7,35.5,D,0
3.8761,-59.2699,311.9,1.7,1.3,2006-02-25,1409,Terra,MODIS,25,6.2,286.5,9.5,D,0
6.7,-58.0178,310.7,1.4,1.2,2006-02-25,1706,Aqua,MODIS,64,6.2,295.3,8.5,D,0
3.6918,-59.3041,312.6,3.3,1.7,2006-02-27,1653,Aqua,MODIS,36,6.2,284.3,44.9,D,0
3.1255,-59.9033,305.5,1.1,1,2006-02-28,0220,Terra,MODIS,64,6.2,292.1,5.4,N,0
6.8353,-58.2832,316.3,1.4,1.2,2006-02-28,1737,Aqua,MODIS,72,6.2,293.2,14.4,D,0
6.6938,-58.1641,309,1.5,1.2,2006-02-28,1737,Aqua,MODIS,0,6.2,277.3,11.7,D,0
