latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
18.9531,-72.1428,303.8,1.7,1.3,2006-01-01,0325,Terra,MODIS,57,6.2,291.1,11.5,N,0
18.3294,-71.7566,307,1.2,1.1,2006-01-01,1537,Terra,MODIS,14,6.2,294.4,5.9,D,0
19.5507,-72.6395,322,2,1.4,2006-01-02,1746,Aqua,MODIS,79,6.2,298.1,34.5,D,0
19.6285,-72.8799,316,2,1.4,2006-01-02,1746,Aqua,MODIS,48,6.2,296.6,22.4,D,0
19.5475,-72.6575,325.1,2,1.4,2006-01-02,1746,Aqua,MODIS,82,6.2,300.2,42.4,D,0
19.5051,-72.7709,324.7,1.1,1,2006-01-03,1524,Terra,MODIS,80,6.2,299.4,18.3,D,0
19.5036,-72.7603,316.9,1.1,1,2006-01-03,1524,Terra,MODIS,72,6.2,298.2,9.9,D,0
18.9252,-72.245,320.9,1,1,2006-01-03,1524,Terra,MODIS,75,6.2,302.2,12.1,D,0
18.6721,-72.2716,325.5,1.1,1,2006-01-05,1817,Aqua,MODIS,71,6.2,305.4,13.6,D,0
18.6787,-72.2932,325,1.1,1,2006-01-05,1817,Aqua,MODIS,79,6.2,305.3,13.7,D,0
19.4467,-72.5876,337.8,1.1,1,2006-01-05,1817,Aqua,MODIS,88,6.2,304.3,32.2,D,0
19.4454,-72.5973,324.7,1.1,1,2006-01-05,1817,Aqua,MODIS,76,6.2,305.1,13.2,D,0
18.7207,-72.4022,319.1,1.1,1,2006-01-05,1817,Aqua,MODIS,0,6.2,304.8,8,D,0
18.68,-72.2833,380.3,1.1,1,2006-01-05,1817,Aqua,MODIS,100,6.2,308.3,161.9,D,0
18.6735,-72.2614,326.9,1.1,1,2006-01-05,1817,Aqua,MODIS,81,6.2,304.2,16.1,D,0
19.2609,-72.2085,311.1,1,1,2006-01-07,1805,Aqua,MODIS,53,6.2,293.3,6,D,0
19.172,-72.4442,313.4,1.5,1.2,2006-01-09,1752,Aqua,MODIS,49,6.2,298,8.5,D,0
19.1634,-72.448,313.7,1.5,1.2,2006-01-09,1752,Aqua,MODIS,53,6.2,297.9,8.9,D,0
18.9326,-72.082,312.3,1.4,1.2,2006-01-09,1752,Aqua,MODIS,57,6.2,296,10,D,0
18.7815,-72.362,301,1.3,1.1,2006-01-10,0319,Terra,MODIS,36,6.2,290.8,5.5,N,0
18.6729,-72.1741,303.3,1.3,1.1,2006-01-10,0319,Terra,MODIS,54,6.2,291.2,7.1,N,0
19.0188,-72.4983,311.3,1,1,2006-01-10,1530,Terra,MODIS,50,6.2,296.7,4.8,D,0
18.7551,-72.0139,322,1,1,2006-01-14,1811,Aqua,MODIS,74,6.2,307.2,10.6,D,0
18.7538,-72.0232,318.9,1,1,2006-01-14,1811,Aqua,MODIS,69,6.2,306.5,7.5,D,0
19.4715,-72.6064,319.9,1,1,2006-01-14,1811,Aqua,MODIS,70,6.2,300.2,8,D,0
19.1676,-71.7251,314.7,1.8,1.3,2006-01-15,1549,Terra,MODIS,62,6.2,299.7,16.8,D,0
18.865,-72.2304,313.5,4.8,2,2006-01-15,1854,Aqua,MODIS,50,6.2,298.8,53.1,D,0
19.2016,-71.771,316.8,1.1,1.1,2006-01-16,1758,Aqua,MODIS,69,6.2,304.4,8.1,D,0
18.24,-72.4787,315.3,1.3,1.1,2006-01-16,1758,Aqua,MODIS,50,6.2,300.2,8.5,D,0
19.2033,-71.7602,321.3,1.1,1.1,2006-01-16,1758,Aqua,MODIS,76,6.2,303.1,13.9,D,0
19.5364,-71.8671,317.2,1.1,1.1,2006-01-16,1759,Aqua,MODIS,70,6.2,301,11.1,D,0
19.0263,-72.03,318.3,1.7,1.3,2006-01-17,0325,Terra,MODIS,97,6.2,289,37,N,0
19.3489,-72.4289,314.1,1.1,1,2006-01-17,1536,Terra,MODIS,68,6.2,299.8,7.4,D,0
19.3308,-72.4937,314.6,1.1,1,2006-01-17,1536,Terra,MODIS,68,6.2,299.2,8.2,D,0
19.3426,-72.4291,314.3,2.8,1.6,2006-01-17,1841,Aqua,MODIS,66,6.2,301.1,23.9,D,0
19.5062,-72.6999,331.5,2,1.4,2006-01-18,1746,Aqua,MODIS,85,6.2,304.8,58.1,D,0
19.5095,-72.6816,326,2,1.4,2006-01-18,1746,Aqua,MODIS,81,6.2,305.7,38.9,D,0
18.9128,-72.3719,302,1.1,1,2006-01-19,0313,Terra,MODIS,46,6.2,291.6,5.4,N,0
18.9142,-72.3616,303.2,1.1,1,2006-01-19,0313,Terra,MODIS,54,6.2,292.1,5.8,N,0
18.8785,-72.0519,311.1,1,1,2006-01-19,1524,Terra,MODIS,37,6.2,299.2,4.1,D,0
18.9669,-72.0906,313.5,1,1,2006-01-19,1524,Terra,MODIS,59,6.2,300.2,5.6,D,0
18.9655,-72.0811,316.8,1,1,2006-01-19,1524,Terra,MODIS,68,6.2,301.1,8.6,D,0
19.4163,-72.5605,304,1.1,1,2006-01-20,0640,Aqua,MODIS,53,6.2,292.2,6.3,N,0
19.199,-71.8038,313.2,2.9,1.6,2006-01-20,1734,Aqua,MODIS,54,6.2,297.5,28.8,D,0
19.1977,-71.796,313.8,2.9,1.6,2006-01-20,1734,Aqua,MODIS,58,6.2,297.4,31.1,D,0
18.9168,-72.1391,318.5,3.2,1.7,2006-01-20,1734,Aqua,MODIS,75,6.2,300.8,46.4,D,0
18.6441,-72.2833,322.7,3.3,1.7,2006-01-20,1734,Aqua,MODIS,71,6.2,301.8,58.2,D,0
18.6405,-72.2872,318.9,3.3,1.7,2006-01-20,1734,Aqua,MODIS,57,6.2,301.5,40.5,D,0
18.9155,-72.1457,316.3,3.2,1.7,2006-01-20,1734,Aqua,MODIS,72,6.2,300.7,33.6,D,0
19.2518,-71.8171,300.3,1,1,2006-01-21,0301,Terra,MODIS,25,6.2,290,4.6,N,0
18.7951,-72.3411,302.9,1.1,1,2006-01-21,0301,Terra,MODIS,41,6.2,291.8,5.9,N,0
18.7589,-71.9884,310.9,1.4,1.2,2006-01-21,1512,Terra,MODIS,25,6.2,298.7,6.7,D,0
18.7606,-72.002,313.8,1.4,1.2,2006-01-21,1512,Terra,MODIS,53,6.2,300.9,10.4,D,0
18.7641,-71.9948,315.6,1.4,1.2,2006-01-21,1512,Terra,MODIS,60,6.2,298.5,12.4,D,0
18.7377,-71.9559,316,1.4,1.2,2006-01-21,1512,Terra,MODIS,67,6.2,300.3,15.3,D,0
18.6778,-72.2033,316.6,1.4,1.2,2006-01-21,1512,Terra,MODIS,54,6.2,301.9,10.6,D,0
18.6761,-72.1902,330.3,1.4,1.2,2006-01-21,1512,Terra,MODIS,83,6.2,303.8,35.4,D,0
18.6643,-72.1964,328.9,1.1,1,2006-01-21,1817,Aqua,MODIS,66,6.2,308.3,14.3,D,0
19.2198,-72.0206,324.4,1.1,1.1,2006-01-21,1817,Aqua,MODIS,77,6.2,303,14.8,D,0
19.2292,-72.0221,320.3,1.1,1.1,2006-01-21,1817,Aqua,MODIS,50,6.2,302.1,8.8,D,0
19.5338,-71.8789,322.2,1.1,1.1,2006-01-21,1817,Aqua,MODIS,76,6.2,300.8,17.1,D,0
18.6735,-72.1981,373.4,1.1,1,2006-01-21,1817,Aqua,MODIS,100,6.2,311.6,129.7,D,0
18.6749,-72.1877,326.8,1.1,1,2006-01-21,1817,Aqua,MODIS,45,6.2,307.4,12.9,D,0
18.3925,-73.8894,310.2,1,1,2006-01-21,1817,Aqua,MODIS,44,6.2,297.3,5,D,0
18.3912,-73.8988,321.7,1,1,2006-01-21,1817,Aqua,MODIS,75,6.2,296.9,15.2,D,0
18.3098,-71.9568,315.3,1.1,1,2006-01-21,1817,Aqua,MODIS,39,6.2,302.1,9.1,D,0
19.6468,-73.0808,332.4,1,1,2006-01-21,1817,Aqua,MODIS,0,6.2,301,24.2,D,0
18.9397,-72.131,324.9,1.1,1,2006-01-21,1817,Aqua,MODIS,77,6.2,302.7,15.8,D,0
18.9411,-72.1208,326.2,1.1,1,2006-01-21,1817,Aqua,MODIS,78,6.2,300.6,17.9,D,0
18.6797,-72.2059,325.9,1.1,1,2006-01-21,1817,Aqua,MODIS,70,6.2,305.2,14.7,D,0
18.681,-72.1956,324.1,1.1,1,2006-01-21,1817,Aqua,MODIS,66,6.2,306,12.9,D,0
18.6721,-72.2085,361.4,1.1,1,2006-01-21,1817,Aqua,MODIS,100,6.2,307,86.6,D,0
19.5324,-71.8896,313.5,1.1,1.1,2006-01-21,1817,Aqua,MODIS,52,6.2,299.3,8.2,D,0
18.6748,-72.2115,308.3,1,1,2006-01-22,0628,Aqua,MODIS,74,6.2,292.9,8,N,0
18.6734,-72.202,303.4,1,1,2006-01-22,0628,Aqua,MODIS,55,6.2,292.7,4.8,N,0
19.328,-72.4122,308.9,1,1,2006-01-22,0628,Aqua,MODIS,76,6.2,290.8,10,N,0
19.2771,-72.2121,318.3,2.1,1.4,2006-01-22,1555,Terra,MODIS,75,6.2,302.8,25.3,D,0
19.3656,-72.4724,312.9,2,1.4,2006-01-22,1555,Terra,MODIS,67,6.2,301.4,18.7,D,0
18.6684,-72.2041,329.2,2.2,1.4,2006-01-22,1555,Terra,MODIS,83,6.2,304.6,62.7,D,0
18.6075,-72.3039,313.1,2.2,1.4,2006-01-22,1555,Terra,MODIS,57,6.2,302.4,13.1,D,0
19.2735,-72.1921,319,2.1,1.4,2006-01-22,1555,Terra,MODIS,76,6.2,301.6,28.4,D,0
19.2771,-72.2056,324.2,2.1,1.4,2006-01-22,1555,Terra,MODIS,81,6.2,302.8,40.2,D,0
18.7523,-72.0045,302.5,1.5,1.2,2006-01-23,0248,Terra,MODIS,50,6.2,292.2,8,N,0
19.6718,-73.1788,313.2,2.9,1.6,2006-01-23,1459,Terra,MODIS,55,6.2,296.5,24.9,D,0
18.3087,-71.9088,322.6,2.3,1.5,2006-01-23,1500,Terra,MODIS,78,6.2,297.7,50.9,D,0
18.296,-71.9133,315.5,2.3,1.5,2006-01-23,1500,Terra,MODIS,45,6.2,296.7,26.4,D,0
18.8295,-71.799,318.5,1,1,2006-01-23,1804,Aqua,MODIS,27,6.2,306.4,7.4,D,0
18.3049,-71.9138,316.3,1,1,2006-01-23,1804,Aqua,MODIS,49,6.2,303.1,7,D,0
19.5143,-71.7188,319.8,1,1,2006-01-23,1805,Aqua,MODIS,72,6.2,305,7.6,D,0
18.9145,-72.2192,317.4,1,1,2006-01-23,1805,Aqua,MODIS,60,6.2,302.1,5.6,D,0
19.6717,-73.1785,322.5,1.1,1,2006-01-23,1805,Aqua,MODIS,74,6.2,305,10.2,D,0
19.3666,-72.4782,315.4,1.3,1.1,2006-01-24,1542,Terra,MODIS,70,6.2,303.9,9.1,D,0
19.0015,-72.3225,314.9,1.3,1.1,2006-01-24,1543,Terra,MODIS,62,6.2,303.2,9.6,D,0
18.9996,-72.3109,316.1,1.3,1.1,2006-01-24,1543,Terra,MODIS,65,6.2,301.2,11.2,D,0
18.8418,-72.535,324.8,1.3,1.1,2006-01-24,1543,Terra,MODIS,79,6.2,305.1,21.6,D,0
19.2136,-71.7075,320.9,1.3,1.2,2006-01-25,1752,Aqua,MODIS,74,6.2,303.5,14.5,D,0
18.9277,-72.1157,319.8,1.4,1.2,2006-01-25,1752,Aqua,MODIS,71,6.2,304.3,11.3,D,0
18.9133,-72.1078,332.1,1.4,1.2,2006-01-25,1752,Aqua,MODIS,85,6.2,307.5,36.5,D,0
18.9217,-72.123,326.2,1.4,1.2,2006-01-25,1752,Aqua,MODIS,80,6.2,305.8,23.8,D,0
19.3401,-72.5386,321,1.5,1.2,2006-01-25,1752,Aqua,MODIS,49,6.2,304.4,15.7,D,0
18.9239,-72.1095,357.9,1.4,1.2,2006-01-25,1752,Aqua,MODIS,99,6.2,306.5,120.5,D,0
19.1832,-72.0475,316.4,1,1,2006-01-26,1530,Terra,MODIS,71,6.2,302.2,5.5,D,0
19.1731,-71.6793,316.4,1,1,2006-01-26,1530,Terra,MODIS,48,6.2,301.9,7.3,D,0
19.0007,-72.0611,355.6,1,1,2006-01-26,1530,Terra,MODIS,98,6.2,301.5,69.9,D,0
18.9993,-72.0516,336.6,1,1,2006-01-26,1530,Terra,MODIS,88,6.2,301.9,32.2,D,0
18.9918,-72.0626,346.6,1,1,2006-01-26,1530,Terra,MODIS,94,6.2,298.9,49.8,D,0
18.9903,-72.0531,333.8,1,1,2006-01-26,1530,Terra,MODIS,86,6.2,298.7,27.8,D,0
