latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
14.2676,-87.6241,313.4,3,1.7,2006-01-01,1840,Aqua,MODIS,69,6.2,297.9,22.6,D,0
15.2507,-88.0351,311.3,3.1,1.7,2006-01-01,1841,Aqua,MODIS,64,6.2,295.3,33.4,D,0
13.5503,-87.4836,330.1,1.2,1.1,2006-01-02,1923,Aqua,MODIS,81,6.2,306.8,18.2,D,0
13.1643,-87.4041,319.8,1.2,1.1,2006-01-02,1923,Aqua,MODIS,66,6.2,303.1,9.7,D,0
14.2019,-87.3367,315.7,1.2,1.1,2006-01-02,1923,Aqua,MODIS,60,6.2,298.8,10.2,D,0
13.5489,-87.4942,332.4,1.2,1.1,2006-01-02,1923,Aqua,MODIS,83,6.2,307,21.8,D,0
14.3037,-87.6586,321.2,1.2,1.1,2006-01-02,1923,Aqua,MODIS,49,6.2,304.5,10.8,D,0
15.3004,-87.91,314.9,1.2,1.1,2006-01-02,1924,Aqua,MODIS,50,6.2,299.3,7.4,D,0
15.6764,-87.6911,315.3,1.2,1.1,2006-01-02,1924,Aqua,MODIS,66,6.2,298.4,10,D,0
13.4689,-87.5148,333,1.4,1.2,2006-01-06,1859,Aqua,MODIS,86,6.2,304.3,37,D,0
13.157,-87.3506,318.4,1,1,2006-01-09,1628,Terra,MODIS,69,6.2,302.6,7.8,D,0
15.4071,-88.0096,314.1,1.4,1.2,2006-01-09,1930,Aqua,MODIS,67,6.2,296.3,11.8,D,0
14.5493,-88.9803,315.3,1.2,1.1,2006-01-09,1930,Aqua,MODIS,66,6.2,301,7.3,D,0
15.4054,-88.0231,309.8,1.4,1.2,2006-01-09,1930,Aqua,MODIS,30,6.2,295.1,6.7,D,0
13.1838,-87.3869,392.6,1.1,1.1,2006-01-11,0401,Terra,MODIS,100,6.2,299.7,253.5,N,0
13.1822,-87.3972,316.8,1.1,1.1,2006-01-11,0401,Terra,MODIS,94,6.2,295.2,15.1,N,0
13.1932,-87.3884,318,1.1,1.1,2006-01-11,0401,Terra,MODIS,96,6.2,294.6,16.5,N,0
13.0544,-87.0565,347.5,1,1,2006-01-11,1917,Aqua,MODIS,94,6.2,308.6,46.7,D,0
13.0531,-87.0659,331.6,1,1,2006-01-11,1917,Aqua,MODIS,83,6.2,304.1,18.9,D,0
13.934,-87.571,302.1,1,1,2006-01-12,0731,Aqua,MODIS,46,6.2,288.6,6.2,N,0
13.1777,-87.4011,304,3.1,1.7,2006-01-15,0336,Terra,MODIS,52,6.2,290.2,22,N,0
13.1926,-87.4039,324.5,3.1,1.7,2006-01-15,0336,Terra,MODIS,100,6.2,290.1,109.1,N,0
