latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
22.4467,114.0867,321.2,1,1,2006-01-15,0544,Aqua,MODIS,57,6.2,300.1,14.6,D,0
22.4543,114.0755,336,1,1,2006-01-15,0544,Aqua,MODIS,88,6.2,300.9,32.3,D,0
22.4557,114.0851,341,1,1,2006-01-15,0544,Aqua,MODIS,91,6.2,300.4,40.4,D,0
22.4454,114.0771,326.8,1,1,2006-01-15,0544,Aqua,MODIS,65,6.2,300.4,20.8,D,0
22.2547,113.8716,321.5,2.1,1.4,2006-04-01,0609,Aqua,MODIS,0,6.2,291.4,38.7,D,0
22.5081,114.1748,324.7,1.1,1.1,2006-06-26,0533,Aqua,MODIS,76,6.2,298.3,16.9,D,0
22.5063,114.1638,337.2,1.1,1.1,2006-06-26,0533,Aqua,MODIS,87,6.2,299.4,37.5,D,0
22.3703,114.177,315.8,1.4,1.2,2006-07-21,0528,Aqua,MODIS,33,6.2,299.9,12.1,D,0
22.42,113.9463,306.1,3.9,1.8,2006-10-18,1732,Aqua,MODIS,42,6.2,288.1,48.4,N,0
22.4964,114.0795,316.3,1,1,2006-10-30,0547,Aqua,MODIS,56,6.2,301.9,8.7,D,0
22.5408,114.2011,321.9,1,1,2006-10-30,0547,Aqua,MODIS,65,6.2,298.5,13.7,D,0
22.4705,114.0891,315.5,1,1,2006-10-30,0547,Aqua,MODIS,54,6.2,298.4,6.5,D,0
22.4977,114.0891,316.8,1,1,2006-10-30,0547,Aqua,MODIS,58,6.2,300.5,8.9,D,0
22.4177,114.0385,316.8,1,1,2006-10-30,0547,Aqua,MODIS,50,6.2,300.3,7.5,D,0
22.4719,114.0989,316.9,1,1,2006-10-30,0547,Aqua,MODIS,60,6.2,299.7,8.2,D,0
22.4347,114.0952,315,1,1,2006-10-30,0547,Aqua,MODIS,40,6.2,302.5,6.9,D,0
22.4203,114.0578,342.7,1,1,2006-10-30,0547,Aqua,MODIS,92,6.2,300.9,40.8,D,0
22.4217,114.0676,317.6,1,1,2006-10-30,0547,Aqua,MODIS,30,6.2,302,8,D,0
22.4601,114.0798,309,1.3,1.1,2006-10-31,0321,Terra,MODIS,43,6.2,291.2,7.1,D,0
22.4497,114.0793,308.8,1.3,1.1,2006-10-31,0321,Terra,MODIS,38,6.2,290.5,6.9,D,0
22.4014,114.0102,344,1.2,1.1,2006-11-01,0535,Aqua,MODIS,92,6.2,273.5,61.6,D,0
22.3996,113.9992,310.3,1.2,1.1,2006-11-01,0535,Aqua,MODIS,17,6.2,273.4,10.2,D,0
22.4129,114.0069,309.8,1.6,1.3,2006-11-01,1459,Terra,MODIS,60,6.2,288.6,19.8,N,0
22.4113,113.9917,308.9,1.6,1.3,2006-11-01,1459,Terra,MODIS,57,6.2,288,18.6,N,0
22.3919,113.9902,307.4,2.3,1.5,2006-11-01,1744,Aqua,MODIS,71,6.2,281.7,29.5,N,0
