latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
46.495,19.086,306.4,1.1,1,2006-02-06,1149,Aqua,MODIS,60,6.2,272.2,12.3,D,0
46.9061,19.9452,301,1.2,1.1,2006-03-03,1002,Terra,MODIS,44,6.2,277.7,9.7,D,0
46.1918,17.4711,306.5,1.1,1,2006-03-19,1002,Terra,MODIS,64,6.2,284.6,9.3,D,0
47.4398,17.538,301.8,1,1,2006-03-19,1002,Terra,MODIS,49,6.2,283,7,D,0
46.1521,17.6349,300,1,1,2006-03-19,1143,Aqua,MODIS,15,6.2,285,4.4,D,0
46.4351,18.097,303.5,1,1,2006-03-19,1143,Aqua,MODIS,51,6.2,288.7,4.6,D,0
47.8393,20.4134,300.9,1.1,1,2006-03-19,1144,Aqua,MODIS,36,6.2,282.1,5.8,D,0
47.841,20.4275,305.9,1.1,1,2006-03-19,1144,Aqua,MODIS,52,6.2,284.4,9,D,0
45.8248,17.9761,301.5,2.8,1.6,2006-03-20,0907,Terra,MODIS,47,6.2,285.7,23.4,D,0
46.5282,18.6384,303.3,2.8,1.6,2006-03-20,1226,Aqua,MODIS,56,6.2,290.3,17.3,D,0
45.8911,18.0873,301.4,2.5,1.5,2006-03-20,1226,Aqua,MODIS,47,6.2,289.9,11.7,D,0
47.8397,19.5331,302.9,1,1,2006-03-21,0949,Terra,MODIS,54,6.2,286.7,5.6,D,0
47.7585,17.6635,300.1,1,1,2006-03-21,0949,Terra,MODIS,13,6.2,289.3,2.9,D,0
48.2343,20.633,301.6,1,1,2006-03-21,0949,Terra,MODIS,48,6.2,284.6,5.5,D,0
48.1669,21.1581,315,1.1,1,2006-03-21,0949,Terra,MODIS,75,6.2,287.8,14.8,D,0
48.1692,21.1444,308.6,1.1,1,2006-03-21,0949,Terra,MODIS,67,6.2,287.9,9.7,D,0
48.2321,20.6465,302.7,1,1,2006-03-21,0949,Terra,MODIS,53,6.2,285.4,6.1,D,0
47.742,22.0002,317.7,1.1,1.1,2006-03-21,0949,Terra,MODIS,73,6.2,286,17.9,D,0
47.7394,22.0147,319,1.1,1.1,2006-03-21,0949,Terra,MODIS,74,6.2,284.9,19.3,D,0
47.8417,19.5199,306.7,1,1,2006-03-21,0949,Terra,MODIS,64,6.2,286.6,7.9,D,0
48.3567,21.9583,300.3,1.1,1,2006-03-21,0949,Terra,MODIS,34,6.2,283,6,D,0
47.435,21.3307,342.4,1.1,1,2006-03-21,0949,Terra,MODIS,70,6.2,283.9,54.2,D,0
47.4326,21.3446,321.9,1.1,1,2006-03-21,0949,Terra,MODIS,61,6.2,283.4,22.8,D,0
46.7716,16.695,300.4,1,1,2006-03-21,0950,Terra,MODIS,36,6.2,288.4,3.8,D,0
46.8244,17.0626,301.7,1,1,2006-03-21,0950,Terra,MODIS,48,6.2,289.4,4.2,D,0
