latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
64.6447,-22.2307,322.4,1,1,2006-03-30,1256,Terra,MODIS,41,6.2,277.2,22.4,D,0
64.6475,-22.2518,349.6,1,1,2006-03-30,1256,Terra,MODIS,90,6.2,279,66.4,D,0
64.6386,-22.258,383.6,1,1,2006-03-30,1256,Terra,MODIS,94,6.2,283.7,179.4,D,0
64.6298,-22.2642,317.1,1,1,2006-03-30,1256,Terra,MODIS,24,6.2,276.5,17.2,D,0
64.6414,-22.2791,376.4,1,1,2006-03-30,1256,Terra,MODIS,75,6.2,281.6,148.2,D,0
64.6539,-21.4587,300.7,1,1,2006-03-30,1256,Terra,MODIS,41,6.2,276,7.8,D,0
64.6866,-22.1255,309.5,1,1,2006-03-30,1256,Terra,MODIS,34,6.2,275.8,11.9,D,0
64.6385,-22.2598,346.2,1.5,1.2,2006-03-30,1310,Aqua,MODIS,88,6.2,277.5,100.7,D,0
64.6832,-22.1752,310,1.5,1.2,2006-03-30,1310,Aqua,MODIS,18,6.2,275.5,22.8,D,0
64.6609,-22.2175,346.4,1.5,1.2,2006-03-30,1310,Aqua,MODIS,70,6.2,277.4,97.4,D,0
64.6545,-22.2448,354.5,1.5,1.2,2006-03-30,1310,Aqua,MODIS,92,6.2,277.9,130.9,D,0
64.6363,-22.2494,338.2,1.5,1.2,2006-03-30,1310,Aqua,MODIS,87,6.2,277,72.8,D,0
64.6299,-22.2768,402,1.5,1.2,2006-03-30,1310,Aqua,MODIS,75,6.2,285.6,470.7,D,0
64.6586,-22.2069,338.1,1.5,1.2,2006-03-30,1310,Aqua,MODIS,61,6.2,276.5,71.6,D,0
64.6522,-22.2343,355.7,1.5,1.2,2006-03-30,1310,Aqua,MODIS,92,6.2,278.2,132,D,0
64.6458,-22.2617,340.6,1.5,1.2,2006-03-30,1310,Aqua,MODIS,90,6.2,276.4,82.7,D,0
64.6394,-22.2891,320.8,1.5,1.2,2006-03-30,1310,Aqua,MODIS,64,6.2,275,36.6,D,0
64.645,-22.2325,327.9,1.5,1.2,2006-03-30,1310,Aqua,MODIS,67,6.2,276.5,48.1,D,0
64.6554,-22.1674,311,1.5,1.2,2006-03-30,1310,Aqua,MODIS,34,6.2,274.2,24.5,D,0
64.6427,-22.2219,327.9,1.5,1.2,2006-03-30,1310,Aqua,MODIS,33,6.2,276.2,45.9,D,0
64.6483,-22.209,322,3,1.7,2006-03-30,1434,Terra,MODIS,50,6.2,275.3,107.4,D,0
