latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
30.2813,47.3533,304.4,1.5,1.2,2006-01-01,0719,Terra,MODIS,59,6.2,287.2,9,D,2
30.2628,47.711,302.4,1.4,1.2,2006-01-01,0719,Terra,MODIS,52,6.2,288,6.4,D,2
30.1677,47.4161,303.2,1.4,1.2,2006-01-01,0719,Terra,MODIS,55,6.2,284.4,8.9,D,2
30.207,47.3974,301.4,1.5,1.2,2006-01-01,0719,Terra,MODIS,47,6.2,286.2,6.3,D,2
30.2032,47.3993,311,2,1.4,2006-01-01,1030,Aqua,MODIS,63,6.2,293.2,18.3,D,2
30.2157,47.3978,313.4,2,1.4,2006-01-01,1030,Aqua,MODIS,73,6.2,293.7,23.8,D,2
30.8181,47.4847,311.5,2.1,1.4,2006-01-01,1030,Aqua,MODIS,67,6.2,290.6,30.4,D,0
30.2789,47.362,330,2,1.4,2006-01-01,1030,Aqua,MODIS,86,6.2,295.2,69.7,D,2
35.6346,45.0373,300.6,1.7,1.3,2006-01-01,1031,Aqua,MODIS,37,6.2,288.9,7.2,D,0
35.3834,44.2094,306.1,1.5,1.2,2006-01-01,1031,Aqua,MODIS,61,6.2,294.5,7.2,D,2
34.1171,43.801,307.9,1.4,1.2,2006-01-01,1031,Aqua,MODIS,62,6.2,293.9,8.4,D,2
35.6255,44.0045,304.6,1.5,1.2,2006-01-01,1031,Aqua,MODIS,57,6.2,293.6,6.1,D,0
33.9652,44.807,313.9,1.6,1.2,2006-01-01,1031,Aqua,MODIS,73,6.2,292.7,21,D,0
35.4141,44.1882,312.4,1.5,1.2,2006-01-01,1031,Aqua,MODIS,72,6.2,295.2,14.8,D,2
35.2455,44.4274,307.6,1.5,1.2,2006-01-01,1031,Aqua,MODIS,63,6.2,296,8.7,D,2
30.2186,47.3987,304,3.4,1.7,2006-01-01,1819,Terra,MODIS,58,6.2,273.5,61.8,N,2
30.2123,47.4043,319.7,1,1,2006-01-01,2235,Aqua,MODIS,99,6.2,278.3,24.1,N,2
30.2818,47.3671,337.8,1.1,1,2006-01-01,2235,Aqua,MODIS,100,6.2,279,48.6,N,2
30.3609,47.3366,312.6,1.1,1,2006-01-01,2235,Aqua,MODIS,85,6.2,275,17.9,N,2
30.2717,47.7158,309.1,1,1,2006-01-01,2235,Aqua,MODIS,76,6.2,275.9,14.5,N,2
30.3594,47.3474,317.6,1.1,1,2006-01-01,2235,Aqua,MODIS,95,6.2,276.4,22.5,N,2
30.6176,47.3338,304.1,1.1,1,2006-01-01,2235,Aqua,MODIS,59,6.2,277.1,11.7,N,2
