latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
52.3502,-8.066,303,2.1,1.4,2006-01-29,1241,Aqua,MODIS,54,6.2,279.4,24.3,D,0
52.9481,-6.5623,309.7,1,1,2006-01-30,1138,Terra,MODIS,69,6.2,277.5,13.2,D,0
53.0858,-6.4275,305.1,1.1,1,2006-01-30,1323,Aqua,MODIS,61,6.2,278.9,11.1,D,0
52.947,-6.5677,308.4,1.1,1,2006-01-30,1323,Aqua,MODIS,67,6.2,275.8,13.5,D,0
53.4397,-9.9096,313.3,1,1,2006-01-30,1324,Aqua,MODIS,58,6.2,278.9,15.8,D,0
53.4419,-9.8949,315.4,1,1,2006-01-30,1324,Aqua,MODIS,64,6.2,278.8,17.5,D,0
51.844,-9.2895,320.4,1,1,2006-03-19,1140,Terra,MODIS,80,6.2,283.8,22,D,0
51.846,-9.3044,324.4,1,1,2006-03-19,1140,Terra,MODIS,83,6.2,284,26.5,D,0
51.8365,-9.0691,303.6,1,1,2006-03-19,1324,Aqua,MODIS,57,6.2,284.1,7.5,D,0
52.7693,-9.1246,311.1,1,1,2006-03-19,1324,Aqua,MODIS,71,6.2,281.5,11.5,D,0
55.1616,-7.6226,310.9,2,1.4,2006-03-22,1355,Aqua,MODIS,38,6.2,281.4,32.9,D,0
55.1682,-7.6073,308,1.4,1.2,2006-03-22,2144,Terra,MODIS,58,6.2,273,22.8,N,0
55.1637,-7.6285,305.7,1.4,1.2,2006-03-22,2144,Terra,MODIS,35,6.2,272.4,20.4,N,0
52.7558,-9.2227,303.5,1,1,2006-04-04,1324,Aqua,MODIS,56,6.2,284.2,6.8,D,0
52.7601,-9.1937,300.6,1,1,2006-04-04,1324,Aqua,MODIS,32,6.2,284.1,5.1,D,0
52.758,-9.2082,313,1,1,2006-04-04,1324,Aqua,MODIS,69,6.2,284.8,13.2,D,0
54.2144,-9.4446,302.5,1,1,2006-04-04,1325,Aqua,MODIS,52,6.2,284.2,7,D,0
53.3939,-9.3702,328.9,1.2,1.1,2006-04-09,1343,Aqua,MODIS,86,6.2,285.8,36.5,D,0
53.3862,-9.3492,352.3,1.2,1.1,2006-04-09,1343,Aqua,MODIS,97,6.2,286.6,89.2,D,0
53.3843,-9.3672,311.4,1.2,1.1,2006-04-09,1343,Aqua,MODIS,71,6.2,284.7,15.3,D,0
53.3959,-9.352,383.7,1.2,1.1,2006-04-09,1343,Aqua,MODIS,100,6.2,290.7,220.2,D,0
53.0615,-8.3542,302.6,2.1,1.4,2006-04-28,1228,Terra,MODIS,53,6.2,289.9,14.2,D,0
53.051,-8.3656,300.7,2.3,1.5,2006-04-28,1236,Aqua,MODIS,34,6.2,289.7,11.9,D,0
51.8377,-9.8113,305.4,2.4,1.5,2006-04-28,1413,Aqua,MODIS,0,6.2,293.2,17.7,D,0
51.8359,-9.8465,304.3,2.4,1.5,2006-04-28,1413,Aqua,MODIS,44,6.2,292.8,15,D,0
52.2089,-7.897,314.5,1.2,1.1,2006-04-28,2202,Terra,MODIS,89,6.2,279.7,20.2,N,0
53.1509,-6.3428,309.9,2.2,1.4,2006-05-07,1222,Terra,MODIS,65,6.2,279.4,35,D,0
53.1436,-6.314,327.6,2.2,1.4,2006-05-07,1222,Terra,MODIS,85,6.2,277.7,85.9,D,0
53.2124,-6.8187,301.9,2.1,1.4,2006-05-07,1222,Terra,MODIS,36,6.2,288.8,13.9,D,0
55.0179,-8.3543,310.6,1.6,1.2,2006-05-07,1222,Terra,MODIS,0,6.2,285.2,20.3,D,0
53.5114,-9.7107,301.9,1.4,1.2,2006-05-10,1300,Aqua,MODIS,0,6.2,285.5,5.3,D,0
55.1273,-7.7668,318.9,1.1,1.1,2006-05-10,1301,Aqua,MODIS,77,6.2,296.4,16.5,D,0
53.2774,-7.6859,301.7,1,1,2006-05-31,1319,Aqua,MODIS,0,6.2,283.8,2.9,D,0
51.7312,-9.138,306.7,1.6,1.2,2006-06-01,1216,Terra,MODIS,61,6.2,290.6,11.1,D,0
53.8939,-7.8644,305.2,1.1,1,2006-06-02,1307,Aqua,MODIS,38,6.2,294.2,4.6,D,0
53.2213,-6.3616,308.5,1.4,1.2,2006-06-03,1204,Terra,MODIS,52,6.2,297.2,8,D,0
53.2193,-6.2977,310.4,1.4,1.2,2006-06-03,1204,Terra,MODIS,51,6.2,296.9,10,D,0
53.2053,-6.3533,316.2,1.2,1.1,2006-06-04,1254,Aqua,MODIS,54,6.2,293.7,14.7,D,0
53.2056,-6.3059,324.3,1.2,1.1,2006-06-05,0225,Aqua,MODIS,100,6.2,280.9,33.3,N,0
53.2036,-6.2885,313.6,1.2,1.1,2006-06-05,0225,Aqua,MODIS,87,6.2,280.4,20.2,N,0
53.1936,-6.3061,307.5,1.1,1,2006-06-05,1151,Terra,MODIS,36,6.2,283,7.2,D,0
53.1907,-6.2895,315.7,1.1,1,2006-06-05,1151,Terra,MODIS,71,6.2,285.3,14.5,D,0
53.7529,-7.6311,306.1,1.8,1.3,2006-06-08,1222,Terra,MODIS,47,6.2,289.3,11,D,0
53.3239,-9.1945,313.1,1.6,1.3,2006-06-08,1222,Terra,MODIS,63,6.2,297.9,14.7,D,0
53.2429,-7.6723,310.2,1.9,1.3,2006-06-08,1222,Terra,MODIS,26,6.2,293.9,13.1,D,0
53.3227,-9.1894,310.5,1.6,1.3,2006-06-08,1222,Terra,MODIS,55,6.2,297.5,10.2,D,0
52.2211,-7.8258,306.7,1.3,1.1,2006-06-08,2156,Terra,MODIS,69,6.2,285,14.4,N,0
52.2246,-7.8081,322.2,1.3,1.1,2006-06-08,2156,Terra,MODIS,100,6.2,285.8,33,N,0
53.2587,-7.6365,319.8,1.2,1.1,2006-06-09,1127,Terra,MODIS,72,6.2,300,15,D,0
53.71,-7.8613,329.3,1.2,1.1,2006-06-09,1127,Terra,MODIS,84,6.2,301.5,31.3,D,0
53.2572,-7.6438,320.7,1.2,1.1,2006-06-09,1127,Terra,MODIS,78,6.2,300.6,17.2,D,0
52.5495,-6.8132,310.2,1.1,1,2006-06-09,1127,Terra,MODIS,64,6.2,295.2,7.9,D,0
53.3027,-6.8418,311.4,1,1,2006-06-09,1313,Aqua,MODIS,62,6.2,301.1,6,D,0
52.5499,-6.813,309.9,1,1,2006-06-09,1313,Aqua,MODIS,65,6.2,295.1,6.5,D,0
53.2513,-7.6501,319.6,1,1,2006-06-09,1313,Aqua,MODIS,75,6.2,302.5,12.7,D,0
53.7123,-7.8742,329.3,1,1,2006-06-09,1313,Aqua,MODIS,85,6.2,300.8,23.4,D,0
53.7147,-7.8591,324.7,1,1,2006-06-09,1313,Aqua,MODIS,82,6.2,300.7,18.1,D,0
53.6279,-7.8676,319.5,1,1,2006-06-09,1313,Aqua,MODIS,70,6.2,304.6,12.6,D,0
54.2027,-8.0906,311.8,1,1,2006-06-09,1313,Aqua,MODIS,65,6.2,298.9,7.2,D,0
53.6418,-7.8553,305.9,1.4,1.2,2006-06-09,2239,Terra,MODIS,66,6.2,280.8,14,N,0
53.6109,-7.847,310.3,1.4,1.2,2006-06-09,2239,Terra,MODIS,45,6.2,281.8,17.1,N,0
53.6031,-7.8599,302.9,1.3,1.2,2006-06-09,2239,Terra,MODIS,52,6.2,279.6,11.2,N,0
53.6051,-7.8396,300.2,1.4,1.2,2006-06-09,2239,Terra,MODIS,20,6.2,279.2,8.9,N,0
53.72,-7.8828,302.9,1.4,1.2,2006-06-09,2239,Terra,MODIS,52,6.2,285.4,11,N,0
52.6265,-7.6954,318.1,1,1,2006-06-10,0244,Aqua,MODIS,96,6.2,276.1,19,N,0
52.6176,-7.6987,335.7,1,1,2006-06-10,0244,Aqua,MODIS,100,6.2,275.4,39.5,N,0
52.6156,-7.6841,347.6,1,1,2006-06-10,0244,Aqua,MODIS,100,6.2,277.7,60.5,N,0
52.6245,-7.6808,309.3,1,1,2006-06-10,0244,Aqua,MODIS,77,6.2,276.8,11.9,N,0
55.135,-7.7243,306.3,3.7,1.8,2006-06-11,0148,Aqua,MODIS,44,6.2,284.9,66.9,N,0
55.1266,-7.7288,310.3,3.7,1.8,2006-06-11,0148,Aqua,MODIS,70,6.2,284.9,80.3,N,0
53.6316,-7.8556,309.6,1.8,1.3,2006-06-11,0326,Aqua,MODIS,72,6.2,282.9,27.9,N,0
55.126,-7.7284,302.4,1.6,1.3,2006-06-11,0326,Aqua,MODIS,49,6.2,283.8,15.9,N,0
53.6427,-7.8483,304.6,1.8,1.3,2006-06-11,0326,Aqua,MODIS,61,6.2,282.8,20.9,N,0
55.1235,-7.7399,306.2,1.6,1.3,2006-06-11,1114,Terra,MODIS,49,6.2,290.7,9.9,D,0
53.6256,-7.8536,359.5,1.6,1.2,2006-06-11,1115,Terra,MODIS,99,6.2,297.9,154.5,D,0
53.6261,-7.8595,360.4,1.6,1.2,2006-06-11,1115,Terra,MODIS,94,6.2,299.4,161,D,0
53.6334,-7.8552,351.6,1.2,1.1,2006-06-11,1301,Aqua,MODIS,54,6.2,292.1,74.7,D,0
53.6206,-7.8677,379.9,1.2,1.1,2006-06-11,1301,Aqua,MODIS,100,6.2,302.8,192.7,D,0
53.624,-7.8501,376.1,1.2,1.1,2006-06-11,1301,Aqua,MODIS,75,6.2,294.3,169.6,D,0
53.6112,-7.8626,328.5,1.2,1.1,2006-06-11,1301,Aqua,MODIS,85,6.2,296.3,28.2,D,0
53.6146,-7.845,324.3,1.2,1.1,2006-06-11,1301,Aqua,MODIS,59,6.2,289.5,23.1,D,0
53.6105,-7.8554,334.1,1.2,1.1,2006-06-11,1301,Aqua,MODIS,86,6.2,296.5,38.2,D,0
53.601,-7.8503,325.7,1.2,1.1,2006-06-11,1301,Aqua,MODIS,49,6.2,295.1,25.3,D,0
53.6301,-7.8728,351.1,1.2,1.1,2006-06-11,1301,Aqua,MODIS,83,6.2,295.1,75.2,D,0
53.6323,-7.8472,311.2,1.2,1.1,2006-06-12,0231,Aqua,MODIS,82,6.2,284.9,17.2,N,0
53.6342,-7.8653,301.4,1.2,1.1,2006-06-12,0231,Aqua,MODIS,41,6.2,283.4,9,N,0
53.6225,-7.8501,324.8,1.2,1.1,2006-06-12,0231,Aqua,MODIS,100,6.2,285.6,33.5,N,0
53.1799,-7.9276,303.4,1,1,2006-06-25,1313,Aqua,MODIS,0,6.2,288.8,3.2,D,0
53.3303,-9.8321,311.2,1,1,2006-07-14,1158,Terra,MODIS,45,6.2,297.1,6.9,D,0
53.3244,-9.8318,308.1,1.2,1.1,2006-07-14,1344,Aqua,MODIS,0,6.2,297.4,5,D,0
53.0466,-8.9641,304.5,1,1,2006-07-15,2215,Terra,MODIS,60,6.2,285.7,7.7,N,0
53.0377,-8.9602,319.9,1,1,2006-07-15,2215,Terra,MODIS,99,6.2,287.4,19.3,N,0
53.3314,-9.8336,313.4,1.2,1.1,2006-07-18,1133,Terra,MODIS,0,6.2,301.6,9.6,D,0
53.839,-8.9434,303.4,4.3,1.9,2006-07-18,2108,Terra,MODIS,55,6.2,288,53.5,N,0
53.8414,-8.9498,302.8,4.3,1.9,2006-07-18,2108,Terra,MODIS,52,6.2,287.7,51.2,N,0
52.6377,-6.8008,312.9,1,1,2006-07-19,0251,Aqua,MODIS,80,6.2,280.1,15.1,N,0
