latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
32.6702,34.995,310.4,1,1,2006-01-03,1946,Terra,MODIS,80,6.2,279.4,12.7,N,0
32.6687,34.9844,308.5,1,1,2006-01-03,1946,Terra,MODIS,75,6.2,278.9,11.2,N,0
32.6776,34.9826,323.6,1,1,2006-01-03,1946,Terra,MODIS,100,6.2,279.1,23.8,N,0
31.8428,34.9381,317.6,1.1,1,2006-02-08,0821,Terra,MODIS,68,6.2,285.6,17.9,D,0
32.5824,34.9661,305.4,1,1,2006-02-22,0833,Terra,MODIS,56,6.2,292.1,5.3,D,0
33.1939,35.6301,311.4,1,1,2006-02-23,1050,Aqua,MODIS,49,6.2,300.8,6,D,0
31.4469,34.7107,313.9,1.1,1.1,2006-03-04,1044,Aqua,MODIS,53,6.2,301.6,7.1,D,0
31.2193,34.5368,331.1,1.6,1.2,2006-03-15,0852,Terra,MODIS,85,6.2,292.3,50.9,D,0
31.2225,34.5204,350,1.6,1.2,2006-03-15,0852,Terra,MODIS,95,6.2,296.6,115,D,0
31.2229,34.514,328,1.6,1.2,2006-03-15,0852,Terra,MODIS,77,6.2,296,42.1,D,0
31.2198,34.5304,345.9,1.6,1.2,2006-03-15,0852,Terra,MODIS,88,6.2,293.2,98,D,0
31.2139,34.5258,330.9,2.1,1.4,2006-03-15,1025,Aqua,MODIS,79,6.2,296.4,71.3,D,0
31.2466,34.7046,325,1,1,2006-04-27,0834,Terra,MODIS,70,6.2,305.9,9.8,D,0
31.2572,34.6959,324.8,1,1,2006-04-27,0834,Terra,MODIS,70,6.2,308.6,9.5,D,0
32.6164,35.2972,333,1.4,1.2,2006-05-03,1109,Aqua,MODIS,81,6.2,307.8,37.1,D,0
32.618,35.3123,330,1.4,1.2,2006-05-03,1109,Aqua,MODIS,74,6.2,306.1,31.6,D,0
31.6893,34.6397,318.7,2.6,1.5,2006-05-08,1127,Aqua,MODIS,45,6.2,300,27.7,D,0
31.6963,34.6608,321.1,2.6,1.5,2006-05-08,1127,Aqua,MODIS,63,6.2,299.3,40.3,D,0
31.6915,34.6663,317,2.6,1.5,2006-05-08,1127,Aqua,MODIS,31,6.2,298.5,22.4,D,0
31.4188,34.5827,301.2,2.1,1.4,2006-05-15,1922,Terra,MODIS,39,6.2,288.5,18.6,N,0
31.7883,34.6395,302.4,2.1,1.4,2006-05-15,1922,Terra,MODIS,5,6.2,290.5,14,N,0
32.1028,34.9424,302.5,1.9,1.4,2006-05-15,1922,Terra,MODIS,28,6.2,288.6,13.8,N,0
