latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
18.0084,-76.8521,309.7,1.8,1.3,2006-01-07,0711,Aqua,MODIS,78,6.2,291.2,23,N,0
17.9572,-76.9789,314.6,1.1,1,2006-01-12,1823,Aqua,MODIS,54,6.2,298.6,5.6,D,0
18.2908,-78.0996,312.6,1,1,2006-01-15,1549,Terra,MODIS,69,6.2,298.7,8.3,D,0
17.856,-77.3462,324.6,1.9,1.3,2006-01-15,1853,Aqua,MODIS,68,6.2,306.8,35.2,D,0
18.2933,-78.1989,317.6,1.1,1,2006-01-17,1841,Aqua,MODIS,49,6.2,298.8,9.4,D,0
18.095,-77.7471,316,1.5,1.2,2006-01-20,1607,Terra,MODIS,70,6.2,301.2,14.9,D,0
18.0933,-77.932,313.5,1.5,1.2,2006-01-20,1607,Terra,MODIS,66,6.2,299.7,11.5,D,0
18.2819,-78.1443,321,1.4,1.2,2006-01-20,1607,Terra,MODIS,79,6.2,299.9,18.9,D,0
18.2901,-78.1294,322.3,1.4,1.2,2006-01-20,1607,Terra,MODIS,80,6.2,300.2,21.6,D,0
18.1731,-77.7274,318.9,1.5,1.2,2006-01-20,1607,Terra,MODIS,76,6.2,297.7,22,D,0
18.0448,-77.4503,311.8,1.6,1.2,2006-01-20,1607,Terra,MODIS,53,6.2,297.5,12.8,D,0
17.9421,-77.3565,311.3,4.3,1.9,2006-01-20,1912,Aqua,MODIS,42,6.2,291.6,47.1,D,0
17.9555,-77.3493,315.3,4.3,1.9,2006-01-20,1912,Aqua,MODIS,63,6.2,293.7,73.9,D,0
18.0074,-77.5385,307.3,1.1,1,2006-01-22,1555,Terra,MODIS,25,6.2,292.4,4.7,D,0
17.9587,-77.348,326.1,1.5,1.2,2006-01-24,1847,Aqua,MODIS,80,6.2,301.5,27,D,0
18.0055,-76.8723,319.3,1.6,1.2,2006-01-24,1847,Aqua,MODIS,54,6.2,300.6,16.2,D,0
17.9749,-77.3931,312.4,1.5,1.2,2006-01-24,1847,Aqua,MODIS,35,6.2,296.4,8,D,0
17.9479,-77.3466,333.4,1.5,1.2,2006-01-24,1847,Aqua,MODIS,86,6.2,302.5,43.9,D,0
17.8685,-77.3443,325.5,1.5,1.2,2006-01-24,1847,Aqua,MODIS,79,6.2,301.9,27.6,D,0
17.848,-77.2427,316,1.5,1.2,2006-01-24,1847,Aqua,MODIS,52,6.2,303.5,10.9,D,0
18.1246,-77.1416,309.4,1.5,1.2,2006-01-26,1531,Terra,MODIS,58,6.2,296.6,9.5,D,0
18.3187,-77.285,310.5,1,1,2006-01-26,1835,Aqua,MODIS,57,6.2,293.7,6.9,D,0
18.2901,-78.2176,311.2,1,1,2006-01-26,1835,Aqua,MODIS,29,6.2,299.5,4.2,D,0
17.9341,-76.9884,312.4,2.2,1.4,2006-01-27,1614,Terra,MODIS,47,6.2,298.6,15.7,D,0
17.9581,-76.9868,338.5,1.1,1,2006-01-28,1823,Aqua,MODIS,89,6.2,299,35,D,0
17.9672,-76.9883,321.2,1.1,1,2006-01-28,1823,Aqua,MODIS,73,6.2,300.1,11.2,D,0
17.9565,-76.9967,330.7,1.1,1,2006-01-28,1823,Aqua,MODIS,83,6.2,297.4,23.1,D,0
18.4246,-78.1399,310.6,1.2,1.1,2006-01-28,1823,Aqua,MODIS,35,6.2,295.4,7.5,D,0
17.9105,-77.3594,315.4,1.1,1,2006-01-28,1823,Aqua,MODIS,68,6.2,293.1,8.9,D,0
17.9673,-77.3149,320.4,2.8,1.6,2006-02-01,1758,Aqua,MODIS,73,6.2,279.9,69.6,D,0
17.9365,-76.9921,313.4,1.2,1.1,2006-02-02,1841,Aqua,MODIS,45,6.2,292.8,9.5,D,0
18.1013,-77.7862,317.1,1.1,1,2006-02-09,1543,Terra,MODIS,72,6.2,300.4,7.3,D,0
18.1026,-77.7963,356.8,1.1,1,2006-02-09,1543,Terra,MODIS,98,6.2,301.3,78.3,D,0
18.2565,-78.1059,315.1,1.3,1.1,2006-02-09,1848,Aqua,MODIS,63,6.2,296.1,10.3,D,0
18.298,-78.1677,313,1.3,1.1,2006-02-09,1848,Aqua,MODIS,56,6.2,296.6,7.9,D,0
18.2673,-78.1634,318.3,1.3,1.1,2006-02-09,1848,Aqua,MODIS,69,6.2,296.8,14.1,D,0
17.9704,-76.982,325.7,1.4,1.2,2006-02-11,1531,Terra,MODIS,80,6.2,301.3,24.1,D,0
17.9721,-76.9953,338.1,1.4,1.2,2006-02-11,1531,Terra,MODIS,89,6.2,300,52.2,D,0
17.8448,-77.2729,325.9,1,1,2006-02-11,1835,Aqua,MODIS,52,6.2,300.3,14.5,D,0
17.9843,-77.2603,328.6,1,1,2006-02-11,1835,Aqua,MODIS,81,6.2,302.7,17.9,D,0
17.9672,-76.9911,324.1,1.1,1,2006-02-11,1835,Aqua,MODIS,61,6.2,303.5,11.6,D,0
17.9453,-77.2985,325.6,1.6,1.3,2006-02-15,1811,Aqua,MODIS,81,6.2,301.3,29,D,0
17.945,-76.2523,312.7,1,1,2006-02-16,1549,Terra,MODIS,53,6.2,301.1,6.3,D,0
17.8849,-77.3116,317.9,1,1,2006-02-16,1550,Terra,MODIS,60,6.2,305.3,5.7,D,0
17.9367,-77.1634,318.4,1,1,2006-02-16,1550,Terra,MODIS,68,6.2,304.7,8.1,D,0
17.8501,-77.2687,319.7,2.8,1.6,2006-02-17,1759,Aqua,MODIS,50,6.2,300.9,40.2,D,0
18.03,-76.6243,309.5,1.1,1.1,2006-02-18,1537,Terra,MODIS,35,6.2,297.4,6.4,D,0
17.9791,-77.0412,328.4,1,1,2006-02-20,1829,Aqua,MODIS,77,6.2,297.4,20.6,D,0
18.324,-78.1505,315.2,1,1,2006-02-20,1829,Aqua,MODIS,63,6.2,299.3,7.7,D,0
17.9804,-77.0319,324.6,1,1,2006-02-20,1829,Aqua,MODIS,78,6.2,298.3,15.9,D,0
18.2893,-78.1448,316.9,1.4,1.2,2006-02-21,1608,Terra,MODIS,73,6.2,298.4,14.8,D,0
18.2888,-78.1358,317.7,3.8,1.8,2006-02-21,1912,Aqua,MODIS,68,6.2,289.6,71.9,D,0
17.9633,-77.3676,323.7,1.3,1.1,2006-02-22,1817,Aqua,MODIS,38,6.2,302.9,17.2,D,0
17.971,-77.3745,330.2,1.3,1.1,2006-02-22,1817,Aqua,MODIS,57,6.2,301.6,29.8,D,0
18.0084,-76.706,316.1,1.2,1.1,2006-02-22,1817,Aqua,MODIS,31,6.2,301.7,11.3,D,0
17.9614,-77.3797,322.9,1.3,1.1,2006-02-22,1817,Aqua,MODIS,34,6.2,301.7,17.6,D,0
18.0497,-77.8372,321,1,1,2006-02-23,1556,Terra,MODIS,62,6.2,301.7,11.1,D,0
17.848,-77.3038,320.7,1.1,1,2006-02-23,1556,Terra,MODIS,67,6.2,303.9,11.3,D,0
17.9768,-76.9939,318.3,2.7,1.6,2006-02-23,1900,Aqua,MODIS,63,6.2,304.1,26.7,D,0
17.9733,-76.9881,320.2,2.7,1.6,2006-02-23,1900,Aqua,MODIS,68,6.2,304.6,34.2,D,0
17.9882,-77.6417,315.4,1.6,1.2,2006-02-27,1531,Terra,MODIS,64,6.2,301.9,10.4,D,0
18.2991,-78.0776,318.5,1,1,2006-02-27,1836,Aqua,MODIS,56,6.2,304,7.4,D,0
18.1906,-76.9967,317.7,1.1,1,2006-02-27,1836,Aqua,MODIS,43,6.2,303.4,8.4,D,0
17.9373,-77.3669,330.9,1,1,2006-02-27,1836,Aqua,MODIS,63,6.2,301.9,22.3,D,0
17.9899,-76.9131,328.4,1.1,1,2006-02-27,1836,Aqua,MODIS,75,6.2,306.7,16.6,D,0
18.3536,-78.2745,317.4,1,1,2006-02-27,1836,Aqua,MODIS,64,6.2,304,7,D,0
18.3207,-78.1195,319.9,1,1,2006-02-27,1836,Aqua,MODIS,53,6.2,305.5,8.8,D,0
17.9411,-77.0005,328.7,1.4,1.2,2006-03-02,1602,Terra,MODIS,81,6.2,301.7,27.6,D,0
17.9211,-77.3148,324.4,1.3,1.1,2006-03-02,1602,Terra,MODIS,77,6.2,304.1,17.4,D,0
17.9271,-77.1061,327.2,1.3,1.1,2006-03-02,1602,Terra,MODIS,80,6.2,303.4,23.3,D,0
18.3588,-78.2541,311.8,1.1,1.1,2006-03-02,1602,Terra,MODIS,46,6.2,299.9,5.6,D,0
17.9432,-77.0131,318.3,1.4,1.2,2006-03-02,1602,Terra,MODIS,59,6.2,301.2,10.1,D,0
17.9253,-77.1206,322.2,3.4,1.7,2006-03-02,1906,Aqua,MODIS,75,6.2,298.4,73.3,D,0
18.1823,-77.4226,314.4,1.6,1.3,2006-03-03,1811,Aqua,MODIS,53,6.2,292.7,17.1,D,0
17.9514,-77.0123,323.7,1.6,1.2,2006-03-03,1811,Aqua,MODIS,50,6.2,301.7,18.5,D,0
17.9405,-77.0102,325.6,1.6,1.2,2006-03-03,1811,Aqua,MODIS,55,6.2,302.8,22.5,D,0
17.8725,-76.5123,313.9,1.4,1.2,2006-03-03,1811,Aqua,MODIS,0,6.2,298.8,13.2,D,0
17.9073,-77.2874,320.7,1.9,1.4,2006-03-04,1854,Aqua,MODIS,62,6.2,299.3,22.4,D,0
17.9698,-76.5204,305.4,1,1,2006-03-06,0326,Terra,MODIS,64,6.2,293.9,5.9,N,0
17.9687,-76.5053,320.5,1.1,1,2006-03-06,1538,Terra,MODIS,63,6.2,302.5,12.6,D,0
17.9712,-77.0597,334.9,1.2,1.1,2006-03-06,1538,Terra,MODIS,86,6.2,304.1,34.9,D,0
18.2836,-78.1183,324.2,1.1,1.1,2006-03-06,1842,Aqua,MODIS,78,6.2,302.9,13.4,D,0
17.9609,-76.5135,319,1.3,1.1,2006-03-06,1842,Aqua,MODIS,58,6.2,300.4,14.6,D,0
18.2823,-78.1287,325,1.1,1.1,2006-03-06,1842,Aqua,MODIS,79,6.2,302.9,14.6,D,0
17.9703,-77.3039,341.1,1.2,1.1,2006-03-06,1842,Aqua,MODIS,85,6.2,304.5,44.9,D,0
17.9688,-77.3151,332.6,1.2,1.1,2006-03-06,1842,Aqua,MODIS,80,6.2,304.3,27.8,D,0
17.8536,-77.321,317.2,4.7,2,2006-03-07,1747,Aqua,MODIS,0,6.2,299,64.9,D,0
17.8528,-77.3239,316.7,4.7,2,2006-03-07,1747,Aqua,MODIS,0,6.2,299,69,D,0
17.8905,-77.3381,320.9,1.9,1.4,2006-03-08,1525,Terra,MODIS,69,6.2,302.6,25.9,D,0
18.0971,-77.7759,315.4,2.1,1.4,2006-03-08,1525,Terra,MODIS,62,6.2,297.9,19.8,D,0
18.1454,-76.9287,316.4,1,1,2006-03-08,1830,Aqua,MODIS,66,6.2,299.6,9.7,D,0
18.0121,-76.9019,319.1,1,1,2006-03-08,1830,Aqua,MODIS,65,6.2,304.9,8.7,D,0
17.9096,-76.561,315.1,1.9,1.3,2006-03-09,1608,Terra,MODIS,66,6.2,300.5,20.4,D,0
17.9131,-76.5492,310.8,1.9,1.3,2006-03-09,1608,Terra,MODIS,35,6.2,300.2,12.6,D,0
18.1015,-76.9809,315.2,1.7,1.3,2006-03-09,1608,Terra,MODIS,62,6.2,299.4,18.2,D,0
18.1934,-77.7418,316.9,3.6,1.8,2006-03-10,1513,Terra,MODIS,65,6.2,300.3,59.8,D,0
18.1903,-77.7093,322,3.6,1.8,2006-03-10,1513,Terra,MODIS,75,6.2,301.9,87.9,D,0
17.9949,-77.8077,326.9,1.4,1.2,2006-03-10,1817,Aqua,MODIS,77,6.2,303.9,25.7,D,0
18.3735,-77.9874,313.9,1,1,2006-03-11,1556,Terra,MODIS,46,6.2,298.1,6.5,D,0
17.8671,-77.3352,332.1,1.1,1,2006-03-11,1556,Terra,MODIS,84,6.2,307.3,23.2,D,0
17.951,-77.1507,331.6,2.6,1.6,2006-03-11,1900,Aqua,MODIS,84,6.2,302.9,88.5,D,0
17.9537,-77.1259,316.8,2.6,1.6,2006-03-11,1900,Aqua,MODIS,42,6.2,302.8,22,D,0
17.8718,-77.5223,316.7,2.2,1.4,2006-03-12,1805,Aqua,MODIS,0,6.2,299.1,22,D,0
17.871,-77.5297,316.5,2.2,1.4,2006-03-12,1805,Aqua,MODIS,50,6.2,299.1,23.7,D,0
18.2563,-78.1901,328.2,1.1,1.1,2006-03-13,1544,Terra,MODIS,81,6.2,302.7,18.1,D,0
17.9138,-77.2396,318.3,1,1,2006-03-13,1544,Terra,MODIS,40,6.2,305.7,6.9,D,0
18.2657,-78.1888,337.7,1.1,1.1,2006-03-13,1544,Terra,MODIS,88,6.2,304.8,32.9,D,0
17.9539,-77.0705,320.3,1,1,2006-03-13,1544,Terra,MODIS,55,6.2,304.9,6.2,D,0
18.2419,-78.1561,321.4,1.3,1.1,2006-03-13,1848,Aqua,MODIS,72,6.2,302,11.9,D,0
18.2656,-78.134,320.8,1.3,1.1,2006-03-13,1848,Aqua,MODIS,72,6.2,302.8,11.1,D,0
17.9383,-77.354,325.4,1.5,1.2,2006-03-15,1532,Terra,MODIS,60,6.2,306.6,19.4,D,0
18.1591,-76.9495,318.8,1.1,1,2006-03-15,1836,Aqua,MODIS,60,6.2,301,9.6,D,0
18.1918,-77.0562,322.3,1.1,1,2006-03-15,1836,Aqua,MODIS,49,6.2,305.5,10.7,D,0
18.2762,-77.1163,319.7,1.1,1,2006-03-15,1836,Aqua,MODIS,71,6.2,302.9,11.5,D,0
17.9059,-77.1359,322.6,1.1,1,2006-03-15,1836,Aqua,MODIS,48,6.2,303.6,8.1,D,0
18.3974,-77.82,313.4,1.1,1.1,2006-03-17,1824,Aqua,MODIS,59,6.2,299.7,7.1,D,0
18.4243,-78.116,311.3,1.2,1.1,2006-03-17,1824,Aqua,MODIS,45,6.2,298.8,5.1,D,0
18.2468,-78.1647,318.5,1.7,1.3,2006-03-18,0351,Terra,MODIS,97,6.2,291.7,34.4,N,0
