latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.5327,141.5078,307.6,1,1,2006-01-02,1229,Terra,MODIS,72,6.2,272.7,13.5,N,2
40.5308,141.4959,301.2,1,1,2006-01-02,1229,Terra,MODIS,39,6.2,270.9,9.7,N,2
40.5396,141.5025,314.4,1,1,2006-01-02,1640,Aqua,MODIS,85,6.2,270.9,19.9,N,2
40.5377,141.5145,305.5,1,1,2006-01-02,1640,Aqua,MODIS,31,6.2,271.8,13.2,N,0
35.0348,136.876,307.3,1,1,2006-01-02,1641,Aqua,MODIS,67,6.2,278.3,12.3,N,2
35.9324,140.6779,301.5,1.1,1,2006-01-02,1641,Aqua,MODIS,33,6.2,275.1,10,N,2
35.0269,136.8691,306.8,1.2,1.1,2006-01-05,0156,Terra,MODIS,0,6.2,279.9,11.6,D,2
35.0224,136.8712,309.6,1.2,1.1,2006-01-06,0414,Aqua,MODIS,0,6.2,277.9,15.2,D,2
35.0313,136.879,303.3,1,1,2006-01-07,0144,Terra,MODIS,43,6.2,280.8,7.4,D,2
35.9334,140.6813,308.9,1,1,2006-01-07,1246,Terra,MODIS,76,6.2,274.5,14.6,N,2
35.3475,139.8706,300.3,1.2,1.1,2006-01-08,0402,Aqua,MODIS,26,6.2,285.8,6.6,D,2
36.4116,138.7954,318.7,1.1,1.1,2006-01-08,0402,Aqua,MODIS,79,6.2,278.1,24.7,D,0
35.0321,136.8722,315.7,1,1,2006-01-09,1648,Aqua,MODIS,92,6.2,276.3,18.7,N,2
32.5692,130.4254,303.2,1.1,1,2006-01-10,0215,Terra,MODIS,40,6.2,282.9,7.2,D,0
33.2619,131.6443,303.6,1.2,1.1,2006-01-10,0215,Terra,MODIS,43,6.2,287.9,7.7,D,2
35.0244,136.8719,308.1,1.1,1.1,2006-01-10,0350,Aqua,MODIS,0,6.2,285.5,10.6,D,2
36.2307,139.3353,321.9,1,1,2006-01-10,0350,Aqua,MODIS,81,6.2,285.6,20.5,D,0
36.2291,139.3243,309.5,1,1,2006-01-10,0350,Aqua,MODIS,69,6.2,285.4,9.8,D,0
29.6427,129.7155,308.6,1.3,1.1,2006-01-10,1316,Terra,MODIS,62,6.2,280,17.9,N,0
35.3541,139.8761,308.3,1.2,1.1,2006-01-11,0119,Terra,MODIS,0,6.2,284.7,13.9,D,2
35.0312,136.8879,303.8,1.7,1.3,2006-01-11,0119,Terra,MODIS,0,6.2,282.6,17,D,2
35.9301,140.6777,304.6,1.1,1.1,2006-01-11,0119,Terra,MODIS,0,6.2,283.7,9.7,D,2
33.2597,131.6344,311.7,1.1,1,2006-01-11,0432,Aqua,MODIS,0,6.2,287.7,12.1,D,2
33.2612,131.6461,311.6,1.1,1,2006-01-11,0432,Aqua,MODIS,0,6.2,288.8,12.1,D,2
35.0343,136.8733,300.2,1.2,1.1,2006-01-11,1635,Aqua,MODIS,9,6.2,277.7,9.7,N,2
35.0247,136.8716,304.4,1.2,1.1,2006-01-11,1635,Aqua,MODIS,46,6.2,275.7,12.9,N,2
35.0246,136.8721,307.2,1.4,1.2,2006-01-12,0202,Terra,MODIS,0,6.2,283.9,14.2,D,2
34.5991,135.4538,300.2,1.2,1.1,2006-01-12,0202,Terra,MODIS,0,6.2,282.8,6.1,D,0
35.0263,136.8691,305.8,1.7,1.3,2006-01-12,0338,Aqua,MODIS,0,6.2,286.9,16.3,D,2
35.0275,136.8755,302.7,1.7,1.3,2006-01-12,0338,Aqua,MODIS,24,6.2,286.9,10.9,D,2
35.3475,139.8719,309.5,1.1,1.1,2006-01-12,0338,Aqua,MODIS,52,6.2,287,12.2,D,2
35.0284,136.8748,302.3,1.1,1,2006-01-12,1305,Terra,MODIS,48,6.2,276.4,10.3,N,2
34.4941,133.2423,327.8,1.1,1,2006-01-12,1305,Terra,MODIS,100,6.2,272.3,34.6,N,0
34.496,133.2541,322.5,1.1,1,2006-01-12,1305,Terra,MODIS,100,6.2,273.5,27.9,N,0
35.0286,136.8717,302.5,1,1,2006-01-14,1252,Terra,MODIS,27,6.2,281.9,7.8,N,2
35.036,136.8783,303.1,1.4,1.2,2006-01-14,1706,Aqua,MODIS,42,6.2,280.3,14.4,N,2
