latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
32.3309,36.394,300.4,1.6,1.2,2006-01-03,0845,Terra,MODIS,37,6.2,287.1,6.5,D,0
31.8855,35.5869,305.5,1,1,2006-01-07,0820,Terra,MODIS,62,6.2,291.9,5.3,D,0
31.884,35.5979,312.6,1,1,2006-01-07,0820,Terra,MODIS,73,6.2,291.4,10.8,D,0
29.9721,35.0758,315.5,1.2,1.1,2006-02-13,0840,Terra,MODIS,58,6.2,296.2,11.3,D,0
32.0895,36.2087,318.8,1.1,1,2006-04-27,0833,Terra,MODIS,54,6.2,306.3,5.4,D,0
31.8433,36.016,316.6,1.1,1,2006-04-27,0834,Terra,MODIS,20,6.2,304.2,4.2,D,0
29.5588,35.0303,320.1,1.2,1.1,2006-05-04,0840,Terra,MODIS,51,6.2,303.1,7.1,D,0
32.7187,35.8438,334.3,1,1,2006-06-24,1045,Aqua,MODIS,67,6.2,318.4,11.6,D,0
32.1122,36.3531,338.4,1.6,1.3,2006-07-03,2005,Terra,MODIS,100,6.2,294.5,85.8,N,0
32.1139,36.3705,317.2,1.7,1.3,2006-07-03,2005,Terra,MODIS,95,6.2,293.1,32.2,N,0
31.2283,35.9423,308,1.5,1.2,2006-07-03,2005,Terra,MODIS,73,6.2,292.2,14.7,N,0
32.112,36.357,300.4,4.1,1.9,2006-07-03,2243,Aqua,MODIS,27,6.2,289.1,40.6,N,0
31.8486,35.6119,332.3,1.7,1.3,2006-07-05,1027,Aqua,MODIS,54,6.2,309.4,24.3,D,0
31.8275,35.8066,304.7,1.1,1,2006-07-05,1953,Terra,MODIS,61,6.2,292.5,6.5,N,0
32.622,35.7063,328.8,1.3,1.1,2006-07-12,1033,Aqua,MODIS,48,6.2,316.3,11.8,D,0
30.647,35.2388,305.4,3.5,1.8,2006-09-01,2029,Terra,MODIS,64,6.2,294.9,30.9,N,0
32.5052,36.0958,301.8,1.6,1.2,2006-09-04,1922,Terra,MODIS,44,6.2,290.4,10.6,N,0
32.5016,36.0978,328,1.1,1,2006-09-05,1040,Aqua,MODIS,23,6.2,313.4,10,D,0
30.5463,35.207,305.4,2,1.4,2006-09-20,1922,Terra,MODIS,64,6.2,295.4,13.1,N,0
30.5487,35.2009,308.9,2,1.4,2006-09-20,1922,Terra,MODIS,76,6.2,295.3,19.2,N,0
30.5424,35.1867,305.7,2,1.4,2006-09-20,1922,Terra,MODIS,65,6.2,295.1,13.2,N,0
32.2401,35.6644,323.9,1.4,1.2,2006-12-03,1034,Aqua,MODIS,82,6.2,292.3,33.2,D,0
32.2428,35.6791,310,1.4,1.2,2006-12-03,1034,Aqua,MODIS,69,6.2,291.3,14.3,D,0
32.5273,35.8031,302.8,1,1,2006-12-09,0821,Terra,MODIS,54,6.2,289.9,5,D,0
32.5049,36.0998,300.8,1,1,2006-12-09,0821,Terra,MODIS,41,6.2,289.7,3.2,D,0
32.1732,35.5645,306.2,1,1,2006-12-09,0821,Terra,MODIS,61,6.2,293.9,4.5,D,0
32.508,36.0982,303.2,1.2,1.1,2006-12-14,0840,Terra,MODIS,54,6.2,289.7,6.1,D,0
