latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
29.8739,47.7305,315.8,1.4,1.2,2006-01-01,0719,Terra,MODIS,51,6.2,285.5,18.5,D,2
29.8428,47.8476,301.4,1.4,1.2,2006-01-01,0719,Terra,MODIS,47,6.2,286.2,5.7,D,2
29.871,47.7314,341.5,2.1,1.4,2006-01-01,1030,Aqua,MODIS,92,6.2,291.7,129.9,D,2
29.8699,47.7259,353,2.1,1.4,2006-01-01,1030,Aqua,MODIS,97,6.2,291.9,196.7,D,2
29.0199,47.5924,308.5,3.5,1.8,2006-01-01,1819,Terra,MODIS,75,6.2,277.7,80.6,N,2
29.0143,47.5875,305,3.5,1.8,2006-01-01,1819,Terra,MODIS,63,6.2,277.6,66.3,N,2
29.8478,47.8515,318,1,1,2006-01-01,2235,Aqua,MODIS,96,6.2,277,21.5,N,2
28.5761,47.9253,302.2,1,1,2006-01-01,2235,Aqua,MODIS,47,6.2,276.4,9.3,N,2
29.868,47.7267,316.2,2,1.4,2006-01-02,0935,Aqua,MODIS,71,6.2,283.8,35.2,D,2
29.8706,47.7193,335,2,1.4,2006-01-02,0935,Aqua,MODIS,89,6.2,288.3,94.6,D,2
29.8961,47.7237,332.7,1,1,2006-01-02,1902,Terra,MODIS,100,6.2,281.9,37,N,2
28.8851,47.7319,306.9,1,1,2006-01-02,1902,Terra,MODIS,70,6.2,280.4,11.8,N,2
29.9056,47.7263,300.1,1,1,2006-01-02,1902,Terra,MODIS,16,6.2,280.2,8,N,2
29.022,47.5899,334.1,1,1,2006-01-02,1902,Terra,MODIS,100,6.2,281.7,38.7,N,2
29.8769,47.7348,303.1,2.2,1.4,2006-01-03,0707,Terra,MODIS,55,6.2,287.6,12.2,D,2
29.0228,47.5967,303.5,2.2,1.4,2006-01-03,0707,Terra,MODIS,48,6.2,286.5,15.8,D,2
29.8408,47.8439,308.3,2.2,1.4,2006-01-03,0707,Terra,MODIS,67,6.2,287.6,23,D,2
28.8802,47.7305,307.9,2.1,1.4,2006-01-03,0707,Terra,MODIS,66,6.2,282.6,29.4,D,2
28.9469,47.9512,313.8,1.3,1.2,2006-01-03,1017,Aqua,MODIS,70,6.2,294.8,12,D,0
28.9945,48.0219,307.5,1.4,1.2,2006-01-03,1017,Aqua,MODIS,57,6.2,292.7,5.7,D,0
29.8955,47.727,309.5,1.3,1.1,2006-01-03,1018,Aqua,MODIS,61,6.2,294,7.7,D,2
29.8749,47.7302,308.9,1.3,1.1,2006-01-03,1018,Aqua,MODIS,60,6.2,293.9,6.7,D,2
29.8431,47.8546,303.8,1.4,1.2,2006-01-03,2223,Aqua,MODIS,57,6.2,281.7,13.9,N,2
28.9892,48.0322,306.3,1.4,1.2,2006-01-04,0750,Terra,MODIS,57,6.2,291.1,6.9,D,0
29.0158,47.591,324.2,1.3,1.1,2006-01-04,0750,Terra,MODIS,82,6.2,291.9,27.4,D,2
29.8979,47.7333,306.3,1.3,1.1,2006-01-04,0750,Terra,MODIS,53,6.2,292.7,5.4,D,2
28.8882,47.7322,306.9,1.3,1.1,2006-01-04,0750,Terra,MODIS,60,6.2,291.4,6.6,D,2
29.0313,47.5609,306.2,1.3,1.1,2006-01-04,0750,Terra,MODIS,40,6.2,291.1,6.2,D,2
29.0328,47.5597,302.3,1.1,1.1,2006-01-04,1849,Terra,MODIS,47,6.2,282.4,9.1,N,2
29.8402,47.8554,314.1,3.5,1.8,2006-01-05,0655,Terra,MODIS,74,6.2,288,72.6,D,2
29.8349,47.848,338.1,1,1,2006-01-05,1005,Aqua,MODIS,89,6.2,294.7,37.1,D,2
29.8425,47.8359,328.8,1,1,2006-01-05,1005,Aqua,MODIS,83,6.2,297.7,22.8,D,2
29.0313,47.5564,310.5,1,1,2006-01-05,1005,Aqua,MODIS,61,6.2,296.3,5,D,2
28.8522,47.7223,308.9,1,1,2006-01-05,1005,Aqua,MODIS,56,6.2,295.6,4,D,2
28.9222,47.9672,309.2,1,1,2006-01-05,1005,Aqua,MODIS,57,6.2,296.7,3.2,D,0
29.8439,47.8464,342.7,1,1,2006-01-05,1005,Aqua,MODIS,92,6.2,295.3,44.4,D,2
29.0327,47.5666,308.8,1,1,2006-01-05,1005,Aqua,MODIS,55,6.2,295.2,3.8,D,2
28.5751,47.9171,316.4,1,1,2006-01-05,1005,Aqua,MODIS,72,6.2,297,9.3,D,2
29.0172,47.5857,309.1,1,1,2006-01-05,1005,Aqua,MODIS,49,6.2,295.5,3.9,D,2
29.8335,47.8375,319.8,1,1,2006-01-05,1005,Aqua,MODIS,74,6.2,296.3,13.3,D,2
29.017,47.5867,307.5,1,1,2006-01-06,0738,Terra,MODIS,60,6.2,293,4.7,D,2
29.9007,47.7259,310.4,1,1,2006-01-06,0738,Terra,MODIS,65,6.2,293,7.2,D,2
29.029,47.568,305.3,1,1,2006-01-06,0738,Terra,MODIS,53,6.2,292.3,3.4,D,2
29.8452,47.8463,309.9,1,1,2006-01-06,0738,Terra,MODIS,64,6.2,292,7.4,D,2
28.5783,47.9181,310.5,1,1,2006-01-06,0738,Terra,MODIS,67,6.2,294.7,6.5,D,2
28.8489,47.7199,307.1,1,1,2006-01-06,0738,Terra,MODIS,59,6.2,293.9,4.2,D,2
29.0155,47.5968,309.5,1,1,2006-01-06,0738,Terra,MODIS,65,6.2,293.5,6.2,D,2
29.8327,47.8393,310.8,4.5,2,2006-01-06,1048,Aqua,MODIS,62,6.2,292.2,63.6,D,2
29.8343,47.8314,312.6,4.5,2,2006-01-06,1048,Aqua,MODIS,66,6.2,292.3,75.3,D,2
29.9041,47.7228,306.2,1.6,1.2,2006-01-06,1837,Terra,MODIS,67,6.2,279.8,20.7,N,2
29.9041,47.7284,300.5,1.6,1.2,2006-01-06,1837,Terra,MODIS,28,6.2,280,15.2,N,2
28.8827,47.7327,303.2,1.7,1.3,2006-01-06,1837,Terra,MODIS,54,6.2,282.2,18.2,N,2
29.0189,47.5874,301.2,1.7,1.3,2006-01-06,1837,Terra,MODIS,39,6.2,281.8,16.8,N,2
29.902,47.7283,310.6,1.3,1.1,2006-01-06,2253,Aqua,MODIS,80,6.2,280,20.2,N,2
29.8808,47.7341,327.8,1.2,1.1,2006-01-08,0725,Terra,MODIS,85,6.2,289.4,30,D,2
29.9014,47.7253,331.8,1.2,1.1,2006-01-08,0725,Terra,MODIS,87,6.2,290.5,36,D,2
29.8823,47.7222,332.3,1.2,1.1,2006-01-08,0725,Terra,MODIS,88,6.2,290,37.2,D,2
29.8434,47.842,306.7,1.1,1.1,2006-01-08,0725,Terra,MODIS,63,6.2,288.1,6.4,D,2
29.8419,47.8537,307.2,1.1,1.1,2006-01-08,0725,Terra,MODIS,65,6.2,287.4,6.8,D,2
29.0147,47.6018,304.1,2.5,1.5,2006-01-09,0808,Terra,MODIS,54,6.2,289.8,15.6,D,2
29.8413,47.8366,308.1,1.6,1.2,2006-01-09,0941,Aqua,MODIS,60,6.2,292.7,8.5,D,2
29.0158,47.5803,308.7,1.7,1.3,2006-01-09,0941,Aqua,MODIS,59,6.2,289.8,14.9,D,2
29.019,47.5973,306.1,1.7,1.3,2006-01-09,0941,Aqua,MODIS,47,6.2,286.6,11.3,D,2
28.8793,47.7266,309,1.7,1.3,2006-01-09,0941,Aqua,MODIS,59,6.2,291.9,12.9,D,2
29.0163,47.5929,309.9,1.7,1.3,2006-01-09,0941,Aqua,MODIS,63,6.2,288,14.9,D,2
29.0198,47.5923,315.6,1.1,1,2006-01-09,1908,Terra,MODIS,91,6.2,282.7,19.5,N,2
29.9004,47.7238,302.4,1.1,1.1,2006-01-09,1908,Terra,MODIS,49,6.2,281.5,10.1,N,2
29.8415,47.7524,309.1,1.7,1.3,2006-01-10,0713,Terra,MODIS,68,6.2,289.7,14.6,D,2
29.8453,47.746,310.9,1.7,1.3,2006-01-10,0713,Terra,MODIS,71,6.2,289.7,18.5,D,2
29.0178,47.6007,305.3,1.7,1.3,2006-01-10,0713,Terra,MODIS,61,6.2,288.5,11.4,D,2
29.0197,47.5831,302.4,1.7,1.3,2006-01-10,0713,Terra,MODIS,52,6.2,288,8.1,D,2
29.8416,47.8419,310.4,1.7,1.3,2006-01-10,1024,Aqua,MODIS,65,6.2,295.2,11.4,D,2
29.8963,47.7232,308.3,1.7,1.3,2006-01-10,1024,Aqua,MODIS,59,6.2,294.1,9,D,2
29.846,47.7412,307.6,1.1,1.1,2006-01-12,1011,Aqua,MODIS,61,6.2,293.2,5.4,D,2
29.0239,47.5946,308.7,1.7,1.3,2006-01-12,2217,Aqua,MODIS,75,6.2,281.1,27.5,N,2
28.979,47.9773,303.6,1,1,2006-01-14,0959,Aqua,MODIS,56,6.2,289.7,3.9,D,0
28.8769,47.73,310,1,1,2006-01-14,0959,Aqua,MODIS,57,6.2,289.2,7.9,D,2
29.8357,47.8494,310.6,1,1,2006-01-14,0959,Aqua,MODIS,62,6.2,289.1,7.9,D,2
28.8858,47.7282,318.1,1,1,2006-01-14,0959,Aqua,MODIS,78,6.2,288,14.9,D,2
29.0135,47.5953,313.7,1,1,2006-01-14,0959,Aqua,MODIS,74,6.2,287.5,11.4,D,2
29.0119,47.585,311.4,1,1,2006-01-14,0959,Aqua,MODIS,70,6.2,288.5,9.2,D,2
29.9008,47.7242,320.2,1,1,2006-01-14,0959,Aqua,MODIS,79,6.2,289.7,17,D,2
29.0868,48.0241,301.7,1,1,2006-01-14,0959,Aqua,MODIS,33,6.2,288.1,3.2,D,0
29.0884,48.0343,308.8,1,1,2006-01-14,0959,Aqua,MODIS,64,6.2,288.3,7.4,D,0
29.0268,47.5608,308.4,1,1,2006-01-14,0959,Aqua,MODIS,55,6.2,288.7,6.9,D,2
29.8342,47.8391,305.7,1,1,2006-01-14,0959,Aqua,MODIS,14,6.2,289.1,4.5,D,2
29.8399,47.7469,304.4,1,1,2006-01-14,0959,Aqua,MODIS,56,6.2,288.9,4.1,D,2
29.8446,47.8476,312.1,1,1,2006-01-14,0959,Aqua,MODIS,71,6.2,289.5,9.2,D,2
29.8431,47.8374,310.6,1,1,2006-01-14,0959,Aqua,MODIS,69,6.2,289.9,8.1,D,2
28.9806,47.9875,310.1,1,1,2006-01-14,0959,Aqua,MODIS,70,6.2,289.1,8.3,D,0
29.8968,47.7225,345.7,1,1,2006-01-15,0731,Terra,MODIS,94,6.2,289.6,54.5,D,2
29.8772,47.7298,354.9,1,1,2006-01-15,0731,Terra,MODIS,98,6.2,288.4,75.1,D,2
29.8415,47.8527,305.3,1,1,2006-01-15,0731,Terra,MODIS,61,6.2,286.9,6.4,D,2
29.8787,47.7193,323.3,1,1,2006-01-15,0731,Terra,MODIS,82,6.2,288.2,20.4,D,2
29.843,47.8422,305.3,1,1,2006-01-15,0731,Terra,MODIS,61,6.2,287.3,6.4,D,2
29.8953,47.733,322.4,1,1,2006-01-15,0731,Terra,MODIS,82,6.2,287.5,19.3,D,2
28.5797,47.9207,307.3,1,1,2006-01-15,0732,Terra,MODIS,65,6.2,288.4,6.4,D,2
29.0227,47.5867,305.7,1,1,2006-01-15,0732,Terra,MODIS,62,6.2,287.9,5.9,D,2
28.5708,47.9191,302.2,1,1,2006-01-15,0732,Terra,MODIS,28,6.2,288,3.3,D,2
29.8761,47.7322,318.5,1.1,1,2006-01-15,2247,Aqua,MODIS,97,6.2,278.9,23.5,N,2
29.8841,47.7282,338.9,1.1,1,2006-01-15,2247,Aqua,MODIS,100,6.2,278.9,50.5,N,2
29.9025,47.7321,306.6,1.1,1,2006-01-15,2247,Aqua,MODIS,68,6.2,278.5,12.4,N,2
29.8823,47.7392,308.9,1.1,1,2006-01-15,2247,Aqua,MODIS,46,6.2,277.8,13.3,N,2
29.8779,47.7211,305.5,1.1,1,2006-01-15,2247,Aqua,MODIS,65,6.2,277.2,12.5,N,2
28.8829,47.7357,300.4,1.1,1,2006-01-15,2248,Aqua,MODIS,27,6.2,278.8,9.4,N,2
29.0178,47.5975,308.8,1.1,1,2006-01-15,2248,Aqua,MODIS,76,6.2,279.2,14.8,N,2
29.0195,47.594,307.7,1,1,2006-01-17,2235,Aqua,MODIS,72,6.2,277.1,13.4,N,2
29.0225,47.5905,312.2,2,1.4,2006-01-18,0802,Terra,MODIS,72,6.2,287.7,25.6,D,2
29.9032,47.7179,316.5,1.9,1.3,2006-01-18,0802,Terra,MODIS,77,6.2,288.5,32.7,D,2
29.8755,47.731,348.2,1.9,1.4,2006-01-18,0802,Terra,MODIS,95,6.2,290,144.6,D,2
29.8716,47.7234,324.6,1.9,1.4,2006-01-18,0802,Terra,MODIS,83,6.2,289.4,52,D,2
29.0263,47.5709,302.2,2,1.4,2006-01-18,0802,Terra,MODIS,51,6.2,287,8.5,D,2
29.8993,47.7371,314.8,1.9,1.4,2006-01-18,0802,Terra,MODIS,75,6.2,288.1,28.9,D,2
29.8794,47.7117,312.6,1.9,1.3,2006-01-18,0802,Terra,MODIS,32,6.2,289.2,21.8,D,2
29.8705,47.726,334.4,2,1.4,2006-01-18,0935,Aqua,MODIS,89,6.2,291.4,88.7,D,2
29.8948,47.7196,326.6,2,1.4,2006-01-18,0935,Aqua,MODIS,84,6.2,292,61.2,D,2
29.0189,47.5914,305.4,2.1,1.4,2006-01-18,0935,Aqua,MODIS,56,6.2,289.9,11.6,D,2
29.019,47.5846,305.4,2.1,1.4,2006-01-18,0935,Aqua,MODIS,45,6.2,289.9,10.8,D,2
29.9009,47.7343,308.2,2,1.4,2006-01-18,0935,Aqua,MODIS,65,6.2,290.9,15.7,D,2
29.8665,47.7057,306.2,2,1.4,2006-01-18,0935,Aqua,MODIS,60,6.2,291.7,11.1,D,2
29.8775,47.7397,300.1,4.4,1.9,2006-01-19,1945,Terra,MODIS,18,6.2,277.2,67.1,N,2
29.0144,47.5996,308.7,1.3,1.1,2006-01-20,0750,Terra,MODIS,64,6.2,291.5,8,D,2
28.575,47.9233,315.3,1.3,1.1,2006-01-20,0750,Terra,MODIS,75,6.2,292.6,15.2,D,2
28.8484,47.7234,307,1.3,1.1,2006-01-20,0750,Terra,MODIS,61,6.2,291.1,6.9,D,2
29.0166,47.5869,311.2,1.3,1.1,2006-01-20,0750,Terra,MODIS,68,6.2,291,10.3,D,2
28.8761,47.7432,316,1.3,1.1,2006-01-20,0750,Terra,MODIS,75,6.2,291.9,15.3,D,2
28.8866,47.7385,317.2,1.3,1.1,2006-01-20,0750,Terra,MODIS,45,6.2,292.1,15.9,D,2
28.8784,47.7302,323.7,1.3,1.1,2006-01-20,0750,Terra,MODIS,82,6.2,292,26,D,2
29.031,47.5637,308.2,1.3,1.1,2006-01-20,0750,Terra,MODIS,63,6.2,290.2,7.4,D,2
29.0209,47.594,309.2,1.2,1.1,2006-01-20,1849,Terra,MODIS,77,6.2,278,16,N,2
29.0186,47.6014,301.4,2,1.4,2006-01-20,2306,Aqua,MODIS,41,6.2,278.6,21.8,N,2
