latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
18.5294,102.4458,313.9,1.4,1.2,2006-01-01,0405,Terra,MODIS,59,6.2,299.6,10.6,D,0
19.9322,103.5307,304.7,4.6,2,2006-01-01,0709,Aqua,MODIS,42,6.2,293,44.9,D,0
19.3779,102.5764,305.7,3.9,1.8,2006-01-01,0709,Aqua,MODIS,40,6.2,293.8,29.3,D,0
14.5474,105.7739,320.3,1.1,1,2006-01-02,0612,Aqua,MODIS,67,6.2,298.9,10.8,D,0
14.5194,105.6914,309.9,1.1,1,2006-01-02,0612,Aqua,MODIS,42,6.2,292.4,4.7,D,0
14.4728,105.6991,315,1.1,1,2006-01-02,0612,Aqua,MODIS,70,6.2,297.4,8,D,0
15.4587,106.5569,308.4,1,1,2006-01-02,0613,Aqua,MODIS,35,6.2,286.4,4.6,D,0
18.0898,104.2309,314,1.2,1.1,2006-01-02,0613,Aqua,MODIS,32,6.2,301.5,6.7,D,0
15.1114,106.2639,309.9,1,1,2006-01-02,0613,Aqua,MODIS,57,6.2,275.8,9.9,D,0
17.2054,104.9411,316.3,1.1,1.1,2006-01-02,0613,Aqua,MODIS,44,6.2,300.7,5.6,D,0
18.0994,104.2292,314.9,1.2,1.1,2006-01-02,0613,Aqua,MODIS,50,6.2,302.4,7.5,D,0
16.96,104.765,317.2,1.1,1.1,2006-01-02,0613,Aqua,MODIS,47,6.2,299.2,8.5,D,0
21.5563,102.217,306.5,1.4,1.2,2006-01-02,0614,Aqua,MODIS,62,6.2,295.3,9,D,0
21.5585,102.2298,304.8,1.4,1.2,2006-01-02,0614,Aqua,MODIS,55,6.2,293.6,7,D,0
21.2136,100.9833,303.7,1.7,1.3,2006-01-02,0614,Aqua,MODIS,57,6.2,291.2,11,D,0
18.3671,103.9251,315.1,1.2,1.1,2006-01-02,0614,Aqua,MODIS,59,6.2,300.9,9.4,D,0
17.6455,104.646,314.2,1.3,1.1,2006-01-03,0352,Terra,MODIS,60,6.2,301.8,9,D,0
15.5035,105.9639,314.8,1.7,1.3,2006-01-03,0353,Terra,MODIS,60,6.2,297.6,16.2,D,0
17.955,102.7701,315.3,2.2,1.4,2006-01-03,0656,Aqua,MODIS,43,6.2,302.1,17.9,D,0
17.9523,102.7648,316.9,2.2,1.4,2006-01-03,0656,Aqua,MODIS,63,6.2,302.4,24.8,D,0
19.0589,104.2868,307.1,3,1.7,2006-01-03,0657,Aqua,MODIS,54,6.2,296.7,25.4,D,0
20.9521,103.0288,309.5,2.6,1.5,2006-01-03,0657,Aqua,MODIS,65,6.2,295.7,29.4,D,0
15.1893,106.5808,316.1,1.4,1.2,2006-01-04,0600,Aqua,MODIS,64,6.2,294.8,16,D,0
14.3625,105.7595,314.9,1.7,1.3,2006-01-04,0600,Aqua,MODIS,69,6.2,295.6,17.1,D,0
16.7808,106.4135,312.2,1.4,1.2,2006-01-04,0601,Aqua,MODIS,52,6.2,297.4,10.2,D,0
18.6048,104.5787,307.5,1.7,1.3,2006-01-04,0601,Aqua,MODIS,48,6.2,297.1,11.6,D,0
16.7829,106.4265,330.4,1.4,1.2,2006-01-04,0601,Aqua,MODIS,83,6.2,297.5,39.5,D,0
18.1444,104.2053,315,1.9,1.3,2006-01-04,0601,Aqua,MODIS,39,6.2,304,15.5,D,0
17.7143,104.6361,318.4,1.8,1.3,2006-01-04,0601,Aqua,MODIS,70,6.2,301.9,21.4,D,0
16.9692,104.8757,318.6,1.7,1.3,2006-01-04,0601,Aqua,MODIS,51,6.2,300.2,19,D,0
20.3072,103.818,310.6,1.8,1.3,2006-01-04,0602,Aqua,MODIS,67,6.2,296.6,19.7,D,0
19.0523,104.0177,309,1.8,1.3,2006-01-04,0602,Aqua,MODIS,60,6.2,296.8,13.9,D,0
19.0798,104.0604,314.1,1.8,1.3,2006-01-04,0602,Aqua,MODIS,70,6.2,300.7,22.1,D,0
19.2781,102.4702,309.3,2.4,1.5,2006-01-04,0602,Aqua,MODIS,64,6.2,296.3,25.5,D,0
19.2824,102.4933,319.6,2.4,1.5,2006-01-04,0602,Aqua,MODIS,78,6.2,295,54.7,D,0
20.3117,103.8244,306.6,1.8,1.3,2006-01-04,0602,Aqua,MODIS,49,6.2,296.3,12.3,D,0
20.6571,104.5499,313.7,1.6,1.2,2006-01-04,0602,Aqua,MODIS,70,6.2,296.5,20.3,D,0
19.4228,102.4549,308.2,2.4,1.5,2006-01-04,0602,Aqua,MODIS,62,6.2,297.7,17.3,D,0
18.5424,101.1505,300.4,1,1,2006-01-04,1529,Terra,MODIS,27,6.2,288.5,5.3,N,0
18.4839,102.7645,308.5,1.1,1,2006-01-05,0340,Terra,MODIS,44,6.2,296.9,5.3,D,0
18.4853,102.7547,326.4,1.1,1,2006-01-05,0340,Terra,MODIS,71,6.2,299.5,24.4,D,0
17.7143,105.1563,315.6,1,1,2006-01-05,0340,Terra,MODIS,66,6.2,300.3,8.5,D,0
18.3661,103.9199,313,1,1,2006-01-05,0340,Terra,MODIS,65,6.2,300.6,6,D,0
18.4902,102.7614,314.6,1.1,1,2006-01-05,0340,Terra,MODIS,70,6.2,297.1,11.6,D,0
18.4916,102.7515,317,1.1,1,2006-01-05,0340,Terra,MODIS,73,6.2,297.2,14.1,D,0
14.9236,106.6681,322,1.2,1.1,2006-01-05,0341,Terra,MODIS,79,6.2,297.1,18.3,D,0
14.9218,106.6791,326.3,1.2,1.1,2006-01-05,0341,Terra,MODIS,82,6.2,297,24.1,D,0
19.1298,102.903,308,1.4,1.2,2006-01-05,0644,Aqua,MODIS,47,6.2,297.6,6.6,D,0
19.2826,103.2227,312.6,1.5,1.2,2006-01-05,0644,Aqua,MODIS,64,6.2,300.3,12.3,D,0
17.954,102.7561,325.8,1.3,1.1,2006-01-05,0644,Aqua,MODIS,76,6.2,305.5,22.8,D,0
17.1406,104.8646,319.4,1.8,1.3,2006-01-05,0644,Aqua,MODIS,50,6.2,302.8,16.9,D,0
18.887,103.2471,318.4,1.5,1.2,2006-01-05,0644,Aqua,MODIS,71,6.2,300.8,19.7,D,0
19.3557,101.2807,332.2,1.2,1.1,2006-01-05,0645,Aqua,MODIS,86,6.2,297,35.9,D,0
20.9098,103.0721,307.5,1.5,1.2,2006-01-05,0645,Aqua,MODIS,58,6.2,296.8,9.3,D,0
19.3663,102.5853,312.8,1.4,1.2,2006-01-05,0645,Aqua,MODIS,67,6.2,299.6,11.4,D,0
21.6915,102.1425,303.5,1.4,1.2,2006-01-05,0645,Aqua,MODIS,46,6.2,293.3,6,D,0
19.5318,102.9337,315.4,1.4,1.2,2006-01-05,0645,Aqua,MODIS,58,6.2,303.3,12.6,D,0
19.9062,104.1643,304.8,1.8,1.3,2006-01-05,0645,Aqua,MODIS,49,6.2,291.9,12.3,D,0
19.4756,103.2155,319.9,1.5,1.2,2006-01-05,0645,Aqua,MODIS,74,6.2,306.3,16.5,D,0
21.3834,101.0534,313.6,1.2,1.1,2006-01-05,0645,Aqua,MODIS,72,6.2,294.7,13.4,D,0
21.0458,101.2045,308.3,1.2,1.1,2006-01-05,0645,Aqua,MODIS,63,6.2,294.7,9.4,D,0
19.3461,101.2822,306.2,1.2,1.1,2006-01-05,0645,Aqua,MODIS,19,6.2,295.7,5,D,0
21.5677,102.2815,310.6,1.4,1.2,2006-01-05,0645,Aqua,MODIS,67,6.2,295,12.6,D,0
21.2877,102.2431,304.7,1.4,1.2,2006-01-05,0645,Aqua,MODIS,48,6.2,294.3,5.2,D,0
18.1195,104.2237,313.2,4.1,1.9,2006-01-06,0423,Terra,MODIS,69,6.2,294.6,63,D,0
18.1073,104.2264,310.2,4.1,1.9,2006-01-06,0423,Terra,MODIS,66,6.2,293.9,43.7,D,0
19.5296,101.4314,301.4,2.4,1.5,2006-01-06,0423,Terra,MODIS,38,6.2,289.4,9.2,D,0
19.5341,101.408,301.4,2.4,1.5,2006-01-06,0423,Terra,MODIS,37,6.2,289,9.3,D,0
18.0715,102.4891,310.9,4.3,1.9,2006-01-06,0549,Aqua,MODIS,62,6.2,293.4,46.5,D,0
20.4724,102.9529,300.9,3.5,1.8,2006-01-06,0550,Aqua,MODIS,31,6.2,287.8,13.1,D,0
15.1741,106.4516,303,1,1,2006-01-07,0328,Terra,MODIS,20,6.2,285.9,4.5,D,0
