latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
33.3675,35.3961,328,1,1,2006-07-01,1052,Aqua,MODIS,56,6.2,308.2,10.4,D,0
34.3667,35.8302,336,1.1,1.1,2006-07-08,1058,Aqua,MODIS,81,6.2,312.1,25,D,0
34.2652,35.7559,324.8,1.1,1.1,2006-07-08,1058,Aqua,MODIS,59,6.2,308.5,11.6,D,0
34.2637,35.7438,345.5,1.1,1.1,2006-07-08,1058,Aqua,MODIS,90,6.2,310,48.2,D,0
33.3693,35.4152,336.8,1,1,2006-07-10,1046,Aqua,MODIS,76,6.2,312,22.6,D,0
33.8059,35.9799,304.8,1.9,1.3,2006-07-11,1917,Terra,MODIS,62,6.2,292,16.7,N,0
33.1068,35.1226,333.2,1.4,1.2,2006-07-12,1034,Aqua,MODIS,0,6.2,307.5,32.2,D,0
33.0802,35.429,328.8,1.4,1.2,2006-07-12,1034,Aqua,MODIS,49,6.2,314,18.3,D,0
33.0906,35.1919,304.8,1.2,1.1,2006-07-12,1959,Terra,MODIS,61,6.2,293,6.9,N,0
33.8273,35.5103,307.8,1.2,1.1,2006-07-13,2320,Aqua,MODIS,65,6.2,293.6,10.3,N,0
33.1297,35.4318,325.6,1.4,1.2,2006-07-14,0846,Terra,MODIS,66,6.2,300.7,25.6,D,0
33.8227,35.4953,333,1.3,1.1,2006-07-14,0846,Terra,MODIS,61,6.2,305.4,33.8,D,0
33.8202,35.5093,348,1.3,1.1,2006-07-14,0846,Terra,MODIS,93,6.2,304.4,73.6,D,0
33.1498,35.4649,327,1.2,1.1,2006-07-15,1104,Aqua,MODIS,33,6.2,305,15.1,D,0
33.1451,35.4103,324.7,1,1,2006-07-16,0834,Terra,MODIS,36,6.2,309.3,7.1,D,0
33.1975,35.4286,325.1,1,1,2006-07-16,0834,Terra,MODIS,49,6.2,308.5,8.2,D,0
33.1723,35.4118,323.9,1,1,2006-07-16,0834,Terra,MODIS,27,6.2,308.3,7,D,0
33.1035,35.4568,329.9,2.7,1.6,2006-07-19,0904,Terra,MODIS,66,6.2,309.3,65,D,0
33.8131,35.5092,325.6,2.6,1.5,2006-07-19,0904,Terra,MODIS,37,6.2,300.4,65.5,D,0
33.0914,35.4622,331.6,1.1,1.1,2006-07-19,1040,Aqua,MODIS,16,6.2,315.9,14,D,0
33.1677,35.426,341,1.1,1.1,2006-07-19,1040,Aqua,MODIS,82,6.2,317.1,30.5,D,0
33.1449,35.4066,334.9,1.1,1.1,2006-07-19,1040,Aqua,MODIS,72,6.2,315.7,19.1,D,0
33.1469,35.4185,345.5,1.1,1.1,2006-07-19,1040,Aqua,MODIS,88,6.2,315,39.6,D,0
33.0989,35.4484,331.7,1.1,1.1,2006-07-19,1040,Aqua,MODIS,20,6.2,315.7,13.1,D,0
33.1008,35.4601,337.5,1.1,1.1,2006-07-19,1040,Aqua,MODIS,76,6.2,316.1,23.4,D,0
33.1028,35.4721,335.2,1.1,1.1,2006-07-19,1040,Aqua,MODIS,44,6.2,314.6,18.5,D,0
33.1583,35.4284,340.7,1.1,1.1,2006-07-19,1040,Aqua,MODIS,82,6.2,317.4,29.3,D,0
33.1434,35.4192,328.8,1.5,1.2,2006-07-20,0809,Terra,MODIS,47,6.2,310.7,18.1,D,0
33.1392,35.4288,330,1.5,1.2,2006-07-20,0809,Terra,MODIS,53,6.2,309.3,18.4,D,0
33.2148,35.3262,345.2,1.6,1.3,2006-07-21,0852,Terra,MODIS,89,6.2,304.2,89.1,D,0
33.3022,35.3568,340.3,1.6,1.3,2006-07-21,0852,Terra,MODIS,84,6.2,303.2,70.1,D,0
33.2487,35.3922,330.5,1.7,1.3,2006-07-21,1028,Aqua,MODIS,69,6.2,304.6,37.7,D,0
33.2264,35.2902,310.2,1.1,1,2006-07-21,1953,Terra,MODIS,79,6.2,294.2,9.6,N,0
33.3721,35.564,328.4,1.5,1.2,2006-07-22,1111,Aqua,MODIS,53,6.2,309,22.2,D,0
33.3036,35.3285,326.9,1.5,1.2,2006-07-22,1111,Aqua,MODIS,33,6.2,306.9,19.9,D,0
33.1072,35.4163,330.6,1.1,1,2006-07-24,1058,Aqua,MODIS,50,6.2,315.9,10.4,D,0
33.1559,35.5009,330.8,1.1,1,2006-07-24,1058,Aqua,MODIS,51,6.2,314.8,11.8,D,0
33.2207,35.4137,337.6,1,1,2006-07-26,1046,Aqua,MODIS,76,6.2,310,24.7,D,0
33.2223,35.4244,353.5,1,1,2006-07-26,1046,Aqua,MODIS,95,6.2,310.6,55.8,D,0
33.3424,35.5742,327.8,1.3,1.1,2006-07-28,1034,Aqua,MODIS,44,6.2,309.9,14.2,D,0
33.3397,35.5592,329.8,1.3,1.1,2006-07-28,1034,Aqua,MODIS,60,6.2,308.6,18.1,D,0
33.3393,35.5691,327.4,1.3,1.1,2006-07-28,1034,Aqua,MODIS,40,6.2,309.3,13.2,D,0
