latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
28.9133,19.7843,313.3,3.3,1.7,2006-01-01,0109,Aqua,MODIS,87,6.2,279.6,91.9,N,2
28.906,19.7767,331.2,1.3,1.1,2006-01-01,1209,Aqua,MODIS,85,6.2,295.2,36.9,D,2
26.5778,12.2116,303.1,1.2,1.1,2006-01-01,2135,Terra,MODIS,53,6.2,279.7,13.2,N,2
26.7548,12.4135,300.2,1.3,1.1,2006-01-01,2135,Terra,MODIS,22,6.2,278.5,12.1,N,2
28.9091,19.7735,322.2,1.4,1.2,2006-01-02,0014,Aqua,MODIS,100,6.2,281.2,38.3,N,2
28.9075,19.7873,311.3,1.4,1.2,2006-01-02,0014,Aqua,MODIS,82,6.2,280.9,23.1,N,2
27.6531,22.4901,303.7,1,1,2006-01-02,0015,Aqua,MODIS,57,6.2,279.8,10,N,2
27.6545,22.4798,302.1,1,1,2006-01-02,0015,Aqua,MODIS,47,6.2,278.9,9.2,N,2
27.9888,22.3235,302.6,1,1,2006-01-02,0015,Aqua,MODIS,50,6.2,280.4,9.6,N,2
27.5789,22.3969,300.9,1,1,2006-01-02,2040,Terra,MODIS,35,6.2,280.5,8.2,N,2
27.6454,22.477,306.5,1,1,2006-01-02,2040,Terra,MODIS,68,6.2,280.6,10.9,N,2
28.9088,19.7748,322.4,1.1,1.1,2006-01-02,2041,Terra,MODIS,100,6.2,282.9,29.7,N,2
28.9105,19.7843,310.3,2,1.4,2006-01-03,0057,Aqua,MODIS,80,6.2,275.2,41.8,N,2
26.5796,12.2123,301.3,1,1,2006-01-03,2123,Terra,MODIS,40,6.2,279.2,8.9,N,2
28.9139,19.7828,301.5,2.6,1.5,2006-01-03,2123,Terra,MODIS,42,6.2,279,35.7,N,2
27.5826,22.4043,300.8,1.4,1.2,2006-01-04,0002,Aqua,MODIS,34,6.2,278.8,14.1,N,2
27.6538,22.4916,301,1.4,1.2,2006-01-04,0002,Aqua,MODIS,36,6.2,279,13.6,N,2
28.9164,19.7681,300.1,2.2,1.4,2006-01-04,0002,Aqua,MODIS,13,6.2,278.5,26.2,N,2
28.9144,19.7901,309.8,2.2,1.4,2006-01-04,0002,Aqua,MODIS,78,6.2,278.7,44.6,N,2
28.9036,19.7634,300.7,1.7,1.3,2006-01-04,2028,Terra,MODIS,33,6.2,280.9,16.6,N,2
27.6501,22.4802,309.3,1.2,1.1,2006-01-04,2028,Terra,MODIS,77,6.2,281.2,17.6,N,2
28.9067,19.78,314.7,1.7,1.3,2006-01-04,2028,Terra,MODIS,90,6.2,281.9,36.9,N,2
28.9153,19.7715,302.2,1.7,1.3,2006-01-04,2028,Terra,MODIS,31,6.2,281.1,17.1,N,2
28.904,19.7744,308.5,1.7,1.3,2006-01-04,2028,Terra,MODIS,75,6.2,281.9,26.1,N,2
28.9142,19.7733,313.8,1.3,1.1,2006-01-05,0045,Aqua,MODIS,88,6.2,280.8,24,N,2
28.912,19.7863,311.9,1.3,1.1,2006-01-05,0045,Aqua,MODIS,84,6.2,281.2,22.1,N,2
26.7543,12.4111,308.8,1.2,1.1,2006-01-05,2111,Terra,MODIS,76,6.2,276.1,17.9,N,2
28.909,19.7705,324.5,1.6,1.2,2006-01-05,2111,Terra,MODIS,100,6.2,278.9,53.7,N,2
28.8951,10.0146,304.3,1.5,1.2,2006-01-05,2112,Terra,MODIS,59,6.2,272.2,20.2,N,0
28.9095,19.7743,302.3,3.6,1.8,2006-01-05,2350,Aqua,MODIS,48,6.2,276.2,63.9,N,2
28.9168,19.7823,312.6,3.6,1.8,2006-01-05,2350,Aqua,MODIS,85,6.2,276.2,106.6,N,2
28.8915,10.0272,302.1,1.5,1.2,2006-01-06,0128,Aqua,MODIS,46,6.2,270.9,19.1,N,0
31.8081,20.2502,326.2,1.2,1.1,2006-01-06,0916,Terra,MODIS,84,6.2,290.8,28.1,D,0
28.888,20.958,319.6,2.3,1.5,2006-01-06,2016,Terra,MODIS,99,6.2,279.7,72.5,N,0
28.8908,20.9625,319.2,2.3,1.5,2006-01-06,2016,Terra,MODIS,98,6.2,279.7,72.5,N,0
28.911,19.7737,321.3,2.8,1.6,2006-01-06,2016,Terra,MODIS,100,6.2,278.3,105.9,N,2
28.9139,19.7662,313.2,2.8,1.6,2006-01-06,2016,Terra,MODIS,86,6.2,277.8,73.7,N,2
28.8951,10.0163,311.3,1.9,1.3,2006-01-06,2154,Terra,MODIS,82,6.2,274.5,39.4,N,0
28.8962,10.027,300.4,3,1.7,2006-01-07,0033,Aqua,MODIS,28,6.2,272.3,48,N,0
28.9117,19.7751,309.8,1,1,2006-01-07,0033,Aqua,MODIS,78,6.2,277.8,14.7,N,2
28.907,19.7705,321.9,1.1,1,2006-01-07,2059,Terra,MODIS,100,6.2,278.2,28.1,N,2
28.9085,19.7817,303,1.1,1,2006-01-07,2059,Terra,MODIS,53,6.2,276.7,11.6,N,2
28.9023,19.7756,306,4.5,2,2006-01-08,2004,Terra,MODIS,67,6.2,276.4,103.9,N,2
28.9033,19.769,306.3,4.5,2,2006-01-08,2004,Terra,MODIS,67,6.2,276.4,106.5,N,2
28.3779,21.9456,300.1,1,1,2006-01-09,0021,Aqua,MODIS,13,6.2,275.7,8.7,N,2
