latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
54.6918,22.7122,300.4,1.7,1.3,2006-04-07,1038,Aqua,MODIS,37,6.2,277.6,16.2,D,0
55.5531,24.1225,302.3,1,1,2006-04-08,0935,Terra,MODIS,51,6.2,284.5,6,D,0
55.7153,24.5609,300.3,1,1,2006-04-08,0935,Terra,MODIS,34,6.2,285,4.7,D,0
55.3198,24.2609,301.6,1,1,2006-04-08,0935,Terra,MODIS,48,6.2,283.4,6.1,D,0
55.322,24.2453,300.6,1,1,2006-04-08,0935,Terra,MODIS,40,6.2,284.3,5.6,D,0
55.643,25.2707,307.6,1.2,1.1,2006-04-08,1121,Aqua,MODIS,50,6.2,279.6,12.7,D,0
54.6906,22.7172,304.4,1,1,2006-04-08,1121,Aqua,MODIS,33,6.2,282.6,6.8,D,0
55.0251,25.2719,306.4,2.9,1.6,2006-04-09,0840,Terra,MODIS,63,6.2,282.2,43.2,D,0
55.025,25.2799,305.3,2.9,1.6,2006-04-09,0840,Terra,MODIS,61,6.2,282.4,39.1,D,0
55.4817,26.0625,304.1,2.1,1.4,2006-04-09,1018,Terra,MODIS,51,6.2,282.3,25.3,D,0
55.0599,24.2071,306.8,1.8,1.3,2006-04-09,1018,Terra,MODIS,64,6.2,282.7,20.8,D,0
55.0651,24.2161,306.7,1.8,1.3,2006-04-09,1018,Terra,MODIS,64,6.2,282.7,20.8,D,0
55.4891,26.0385,302.2,2.1,1.4,2006-04-09,1018,Terra,MODIS,36,6.2,280.5,20,D,0
54.4078,23.0675,301.4,1.7,1.3,2006-04-09,1018,Terra,MODIS,44,6.2,272.3,15.1,D,0
55.4421,26.5111,337.7,1.6,1.2,2006-04-09,1026,Aqua,MODIS,91,6.2,285.9,78,D,0
54.9524,25.5782,300.4,1.8,1.3,2006-04-09,1026,Aqua,MODIS,24,6.2,282.2,12.2,D,0
54.4854,22.9776,305.4,2.6,1.6,2006-04-09,1204,Aqua,MODIS,61,6.2,280.7,31.4,D,0
54.4941,22.8544,303.9,2.6,1.5,2006-04-09,1204,Aqua,MODIS,57,6.2,280.3,27.5,D,0
54.4842,22.8504,302.1,2.6,1.5,2006-04-09,1204,Aqua,MODIS,51,6.2,280.1,22.6,D,0
54.8779,22.8295,302.1,1.9,1.3,2006-04-11,1152,Aqua,MODIS,28,6.2,283.2,14.7,D,0
55.7093,24.4343,304.2,1,1,2006-04-12,1057,Aqua,MODIS,58,6.2,286.8,6.5,D,0
55.9501,24.2341,315.3,1,1,2006-04-12,1057,Aqua,MODIS,76,6.2,286.2,14.3,D,0
54.9777,23.6515,300.8,1.1,1,2006-04-12,1057,Aqua,MODIS,41,6.2,287.4,4.8,D,0
55.4369,26.4966,301.9,2.5,1.5,2006-04-16,1024,Terra,MODIS,50,6.2,285,21.4,D,0
55.4425,26.506,302.2,2.5,1.5,2006-04-16,1024,Terra,MODIS,51,6.2,285.5,23.5,D,0
