latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
49.5065,5.9614,322.9,1,1,2006-03-13,1038,Terra,MODIS,82,6.2,277,24.9,D,0
49.4955,5.9833,304.9,2,1.4,2006-03-14,1304,Aqua,MODIS,60,6.2,283.4,21.6,D,0
49.4975,5.9782,303.4,2,1.4,2006-03-14,1304,Aqua,MODIS,56,6.2,283.8,20.6,D,0
49.5036,5.9562,308.8,1.2,1.1,2006-03-15,1026,Terra,MODIS,68,6.2,282.6,15,D,0
49.5053,5.9912,302.3,1,1,2006-03-20,1045,Terra,MODIS,52,6.2,288.2,4.5,D,0
49.4959,5.9814,300.5,1.6,1.3,2006-03-23,1258,Aqua,MODIS,32,6.2,288.2,8.4,D,0
49.5023,5.9634,304,1.1,1,2006-04-07,1032,Terra,MODIS,54,6.2,291.9,5.5,D,0
49.5096,5.9898,300.1,1.1,1.1,2006-05-24,0201,Aqua,MODIS,15,6.2,276.4,9.5,N,0
49.5064,5.99,317.1,1,1,2006-06-08,1045,Terra,MODIS,39,6.2,303.4,8.5,D,0
49.5018,5.9867,313.8,1.1,1,2006-06-10,1032,Terra,MODIS,51,6.2,294.7,8,D,0
49.4985,5.9922,323.6,1.4,1.2,2006-06-12,1020,Terra,MODIS,69,6.2,305.1,22.8,D,0
49.5047,5.9873,322.3,1.4,1.2,2006-06-12,1020,Terra,MODIS,68,6.2,306.4,20.9,D,0
49.5069,5.958,324.6,1.3,1.1,2006-06-13,1103,Terra,MODIS,73,6.2,306.2,18.9,D,0
49.5004,5.9843,300,1.3,1.1,2006-06-16,2106,Terra,MODIS,6,6.2,285.7,8.6,N,0
49.5241,5.8944,302.1,1.4,1.2,2006-07-03,2149,Terra,MODIS,47,6.2,291.4,8.3,N,0
49.5042,5.9965,300.9,1.1,1.1,2006-07-09,2112,Terra,MODIS,35,6.2,289.3,5.8,N,0
49.5014,5.9811,303,1.1,1.1,2006-07-09,2112,Terra,MODIS,53,6.2,289.3,7.2,N,0
49.5029,5.9869,331.2,1,1,2006-07-10,1229,Aqua,MODIS,84,6.2,307.7,19.5,D,0
49.4996,5.9574,300.1,1.5,1.2,2006-07-11,2100,Terra,MODIS,15,6.2,286.8,7.2,N,0
49.5026,5.9976,308,2,1.4,2006-09-05,0114,Aqua,MODIS,73,6.2,285.6,29.5,N,0
49.5057,5.958,311.7,1,1,2006-09-21,1039,Terra,MODIS,69,6.2,297.7,7.5,D,0
49.5004,5.9638,319.6,1,1,2006-10-07,1224,Aqua,MODIS,79,6.2,285.7,20,D,0
49.4981,5.9497,312.5,1,1,2006-10-07,1224,Aqua,MODIS,73,6.2,285.6,13.8,D,0
49.4962,5.9516,305.1,1.4,1.2,2006-10-26,1255,Aqua,MODIS,59,6.2,292.4,8,D,0
49.5039,5.9621,302.7,1.4,1.2,2006-10-26,1255,Aqua,MODIS,45,6.2,292,5.6,D,0
49.4984,5.9869,305.8,1,1,2006-10-30,1230,Aqua,MODIS,62,6.2,287.9,7.4,D,0
49.5032,5.9567,305.1,1,1,2006-10-30,1230,Aqua,MODIS,61,6.2,287.2,6.9,D,0
49.504,5.9656,303.8,1,1,2006-11-15,1045,Terra,MODIS,57,6.2,283.8,6.9,D,0
