latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
41.4236,21.9338,301.9,1.6,1.3,2006-01-03,1200,Aqua,MODIS,0,6.2,276.9,13.7,D,2
41.4221,21.9332,328.2,1.2,1.1,2006-01-09,0944,Terra,MODIS,85,6.2,277.2,40.2,D,2
41.4196,21.947,302.5,1.2,1.1,2006-01-09,0944,Terra,MODIS,49,6.2,276.6,11.3,D,2
41.4233,21.9315,311.7,1.1,1,2006-01-16,0023,Aqua,MODIS,83,6.2,266.2,19.6,N,2
41.4216,21.9447,327.1,1.1,1,2006-01-16,0023,Aqua,MODIS,100,6.2,267.4,36.2,N,2
41.4212,21.9315,303.6,1.4,1.2,2006-01-16,0950,Terra,MODIS,57,6.2,274.8,16.6,D,2
41.4224,21.9381,311.6,1,1,2006-01-20,2031,Terra,MODIS,83,6.2,270.5,16.6,N,2
41.8736,22.2261,305.8,1.4,1.2,2006-01-28,1154,Aqua,MODIS,62,6.2,280.2,14.4,D,0
41.4178,21.9326,314.2,1,1,2006-02-01,1129,Aqua,MODIS,70,6.2,280.4,17.1,D,2
41.4244,21.9357,353.4,1,1,2006-02-12,2038,Terra,MODIS,100,6.2,267.8,80.6,N,2
41.4228,21.9235,311.7,1,1,2006-02-12,2038,Terra,MODIS,83,6.2,266.2,17.8,N,2
41.4254,21.9392,331.5,1.2,1.1,2006-02-13,0048,Aqua,MODIS,100,6.2,266.1,0,N,2
41.4217,21.9342,354.7,1,1,2006-02-14,2026,Terra,MODIS,100,6.2,268.1,83.4,N,2
41.4181,21.9416,315,1,1,2006-02-15,1142,Aqua,MODIS,65,6.2,276.7,18.4,D,2
41.4165,21.9294,322.4,1,1,2006-02-15,1142,Aqua,MODIS,73,6.2,278.2,25.7,D,2
41.4228,21.9365,327.6,1.5,1.2,2006-02-16,0908,Terra,MODIS,76,6.2,273.8,54.5,D,2
41.422,21.9395,303.2,2.5,1.5,2006-02-18,1212,Aqua,MODIS,42,6.2,292.9,18.2,D,2
42.1363,21.9417,319.9,1.3,1.1,2006-02-19,1117,Aqua,MODIS,80,6.2,290,23,D,0
41.4234,21.9449,308.7,1.4,1.2,2006-02-20,0054,Aqua,MODIS,75,6.2,275.1,23.7,N,2
41.1561,22.5634,304,1.8,1.3,2006-02-20,1200,Aqua,MODIS,58,6.2,292.5,7.2,D,0
42.1178,21.8644,307.9,1.7,1.3,2006-02-20,1200,Aqua,MODIS,66,6.2,291.8,12.3,D,0
41.4226,21.9262,300.7,1.9,1.4,2006-02-21,1105,Aqua,MODIS,32,6.2,289.7,9.3,D,2
41.4148,21.9259,302.8,1.9,1.4,2006-02-21,1105,Aqua,MODIS,47,6.2,289.2,12.5,D,2
41.4209,21.9311,309.9,1.1,1,2006-02-22,0042,Aqua,MODIS,79,6.2,274.5,15.6,N,2
41.4188,21.9435,318.5,1.1,1,2006-02-22,0042,Aqua,MODIS,97,6.2,275.7,23.4,N,2
41.422,21.9347,312,1,1,2006-03-03,1142,Aqua,MODIS,72,6.2,289.3,11.9,D,2
