latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-15.0629,35.6453,323.4,1.3,1.1,2006-01-21,1132,Aqua,MODIS,63,6.2,300.1,16.2,D,0
-15.1361,35.5843,310.8,4.4,1.9,2006-01-22,1037,Aqua,MODIS,0,6.2,287.6,56.1,D,0
-15.137,35.5886,310.5,4.4,1.9,2006-01-22,1037,Aqua,MODIS,0,6.2,287.4,54,D,0
-11.8392,33.7967,317.7,1.1,1.1,2006-04-24,0815,Terra,MODIS,72,6.2,296.7,15.3,D,0
-11.8378,33.7867,309.7,1.1,1.1,2006-04-24,0815,Terra,MODIS,43,6.2,295.5,7.2,D,0
-16.1989,34.7884,318.4,1.8,1.3,2006-04-24,1102,Aqua,MODIS,68,6.2,302,18,D,0
-11.8384,33.7914,307.7,1.8,1.3,2006-04-24,1103,Aqua,MODIS,34,6.2,293.1,12.8,D,0
-11.0366,34.2027,302.8,2.8,1.6,2006-04-26,1051,Aqua,MODIS,0,6.2,285,11.7,D,0
-14.9789,35.8119,321.2,1,1,2006-04-29,1121,Aqua,MODIS,53,6.2,303.2,10.3,D,0
-14.9945,35.72,311.7,1.2,1.1,2006-05-01,1108,Aqua,MODIS,26,6.2,296.7,4.7,D,0
-14.9968,35.727,322.7,1.2,1.1,2006-05-01,1108,Aqua,MODIS,76,6.2,296.6,19.2,D,0
-14.993,35.7309,319.4,1.2,1.1,2006-05-01,1108,Aqua,MODIS,56,6.2,297.2,13.1,D,0
-12.5106,34.1115,311.8,1.4,1.2,2006-05-01,1109,Aqua,MODIS,70,6.2,290.4,9.7,D,0
-14.4693,35.5829,315.2,1,1,2006-05-05,0757,Terra,MODIS,61,6.2,301.3,7.6,D,0
-16.2092,34.7986,319.6,1,1,2006-05-06,1127,Aqua,MODIS,56,6.2,304.5,8.3,D,0
-16.2182,34.8001,318.5,1,1,2006-05-06,1127,Aqua,MODIS,48,6.2,303.9,6.9,D,0
-15.5527,35.7474,318.7,1,1,2006-05-08,1114,Aqua,MODIS,60,6.2,302.6,11.5,D,0
-16.3043,34.946,310.8,1.1,1.1,2006-05-08,1114,Aqua,MODIS,42,6.2,294.3,4.8,D,0
-14.9871,35.7402,317.9,1.6,1.2,2006-05-10,0815,Terra,MODIS,74,6.2,294.7,23.9,D,0
-13.9988,33.0412,309.7,1.1,1,2006-05-10,0815,Terra,MODIS,59,6.2,294.9,5.7,D,0
-14.9853,35.7256,313.3,1.6,1.2,2006-05-10,0815,Terra,MODIS,56,6.2,295.3,16,D,0
-16.3665,34.9223,313.8,1.4,1.2,2006-05-10,0816,Terra,MODIS,68,6.2,298,13.6,D,0
-16.37,34.9159,310.7,1.4,1.2,2006-05-10,0816,Terra,MODIS,61,6.2,297.6,9.9,D,0
-14.9791,35.7384,323,1.4,1.2,2006-05-10,1102,Aqua,MODIS,73,6.2,298.4,24.1,D,0
-14.9851,35.7642,315,2.2,1.5,2006-05-11,1145,Aqua,MODIS,40,6.2,296.6,24.1,D,0
-15.4119,35.4274,310.9,1,1,2006-05-12,0803,Terra,MODIS,63,6.2,298.9,4.9,D,0
-16.3686,34.9144,314.8,1,1,2006-05-12,0804,Terra,MODIS,68,6.2,300.8,9.3,D,0
-16.6049,35.0963,313.2,1,1,2006-05-12,0804,Terra,MODIS,53,6.2,301.2,6.9,D,0
-16.37,34.9239,314.9,1,1,2006-05-12,0804,Terra,MODIS,68,6.2,301.2,9.3,D,0
-13.9047,34.5508,315.5,2.9,1.6,2006-05-12,1051,Aqua,MODIS,0,6.2,294.3,40.9,D,0
-13.9037,34.5438,315.3,2.9,1.6,2006-05-12,1051,Aqua,MODIS,62,6.2,294.9,39.5,D,0
-16.2196,34.7957,314.9,1,1,2006-05-15,1121,Aqua,MODIS,39,6.2,303.3,5.2,D,0
-13.6795,35.0096,316.3,1,1,2006-05-15,1121,Aqua,MODIS,68,6.2,301.9,6.1,D,0
-14.4029,34.8402,317.2,1,1,2006-05-15,1121,Aqua,MODIS,69,6.2,299.9,7.8,D,0
-15.518,35.2081,314.8,1,1,2006-05-15,1121,Aqua,MODIS,61,6.2,297.4,7.4,D,0
-14.9734,35.7267,327.6,1,1,2006-05-15,1121,Aqua,MODIS,80,6.2,304.9,17.3,D,0
-14.9747,35.7174,321.1,1,1,2006-05-15,1121,Aqua,MODIS,38,6.2,305.7,9.8,D,0
-14.1214,35.364,310.1,1.9,1.3,2006-05-17,0821,Terra,MODIS,60,6.2,297.1,16.6,D,0
-16.2067,34.7872,315.5,1.4,1.2,2006-05-17,1108,Aqua,MODIS,42,6.2,303.7,10.4,D,0
-16.2013,34.7919,314.2,1.4,1.2,2006-05-17,1108,Aqua,MODIS,39,6.2,302,8.6,D,0
-15.1817,35.0308,315.7,2.6,1.5,2006-05-18,1151,Aqua,MODIS,66,6.2,301.6,22,D,0
-15.2515,35.0855,321.8,1.2,1.1,2006-05-19,0809,Terra,MODIS,76,6.2,302.7,15.2,D,0
-16.373,34.9252,316.1,1.2,1.1,2006-05-19,0810,Terra,MODIS,62,6.2,304,9.9,D,0
-14.9943,35.6413,318.9,1.9,1.3,2006-05-19,1056,Aqua,MODIS,57,6.2,305.6,23.9,D,0
-14.99,35.7222,339.6,1.7,1.3,2006-05-20,1139,Aqua,MODIS,89,6.2,305,72,D,0
-14.9927,35.7065,337.8,1.7,1.3,2006-05-20,1139,Aqua,MODIS,82,6.2,303.6,65.2,D,0
-13.1701,33.3195,332.5,1.3,1.1,2006-05-20,1140,Aqua,MODIS,83,6.2,307.8,29.8,D,0
-13.1496,33.5817,321.5,1.3,1.1,2006-05-20,1140,Aqua,MODIS,71,6.2,306.5,12.4,D,0
-13.1683,33.3311,321.7,1.3,1.1,2006-05-20,1140,Aqua,MODIS,71,6.2,308.4,11.1,D,0
-16.1957,34.7969,320.3,1,1,2006-05-21,0757,Terra,MODIS,68,6.2,300.5,10,D,0
