latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
4.9663,118.5314,314.8,1.1,1,2006-01-01,0230,Terra,MODIS,31,6.2,296.6,9.8,D,0
1.8234,109.7464,333.7,1,1,2006-01-02,0609,Aqua,MODIS,0,6.2,284.3,30.4,D,0
3.2035,101.6114,310.1,1.3,1.1,2006-01-03,0356,Terra,MODIS,26,6.2,288.3,7.2,D,0
4.3154,114.1439,317.8,1.1,1,2006-01-04,0300,Terra,MODIS,29,6.2,297.9,10.2,D,0
6.6682,100.2717,312.9,1.1,1,2006-01-05,0641,Aqua,MODIS,63,6.2,294.5,7.2,D,0
6.5563,100.3102,313.1,3.5,1.8,2006-01-06,0426,Terra,MODIS,57,6.2,292.8,45.8,D,0
6.5506,100.3145,317,3.5,1.8,2006-01-06,0426,Terra,MODIS,67,6.2,292.2,64.6,D,0
6.4738,100.3328,312.6,1,1,2006-01-12,0349,Terra,MODIS,68,6.2,282.8,8,D,0
6.4752,100.3239,320.4,1,1,2006-01-12,0349,Terra,MODIS,73,6.2,283.8,14.7,D,0
5.4086,100.558,314.7,1,1,2006-01-12,0350,Terra,MODIS,25,6.2,295.7,5.3,D,0
3.8996,101.0541,313.3,1,1,2006-01-12,0647,Aqua,MODIS,30,6.2,293.4,4.6,D,0
5.0211,115.7246,315.8,1.1,1,2006-01-13,0551,Aqua,MODIS,48,6.2,288.1,12.6,D,0
5.015,115.7317,316.4,1.1,1,2006-01-13,0551,Aqua,MODIS,59,6.2,290.7,10.3,D,0
3.4818,102.3461,311.7,1.1,1,2006-01-14,0634,Aqua,MODIS,24,6.2,292.9,5.4,D,0
5.7056,100.5064,319.6,1.2,1.1,2006-01-14,0635,Aqua,MODIS,66,6.2,296.3,9.6,D,0
5.7092,101.0134,322.6,1.2,1.1,2006-01-14,0635,Aqua,MODIS,77,6.2,294.5,18.3,D,0
4.3917,117.4993,303.4,1.3,1.1,2006-01-14,1423,Terra,MODIS,55,6.2,289.3,5.9,N,0
6.4917,100.3227,315.3,2.6,1.6,2006-01-15,0420,Terra,MODIS,71,6.2,295.2,30.5,D,0
6.4969,100.3301,314.4,2.6,1.6,2006-01-15,0420,Terra,MODIS,68,6.2,295.4,25.3,D,0
6.5952,100.3005,308.1,1.5,1.2,2006-01-17,0407,Terra,MODIS,23,6.2,285.7,9.5,D,0
