latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
4.1737,73.5143,312.6,1.2,1.1,2006-01-01,0547,Terra,MODIS,53,6.2,299.1,8.1,D,3
4.1754,73.5123,312.2,1,1,2006-01-03,0535,Terra,MODIS,53,6.2,298.4,7.3,D,3
4.1738,73.5109,312.8,1.1,1,2006-01-28,0529,Terra,MODIS,51,6.2,298.3,8.5,D,3
4.1724,73.5097,317.5,1,1,2006-02-04,0832,Aqua,MODIS,68,6.2,302.3,10.2,D,3
4.1709,73.5048,317.1,1.2,1.1,2006-02-13,0826,Aqua,MODIS,67,6.2,301.2,11,D,3
4.1745,73.513,312.4,1,1,2006-02-27,0542,Terra,MODIS,39,6.2,299.3,5.8,D,3
4.1757,73.5061,315.8,1.1,1.1,2006-03-06,0845,Aqua,MODIS,38,6.2,300.1,10.2,D,3
4.1714,73.5084,317.7,1.3,1.1,2006-03-10,0523,Terra,MODIS,65,6.2,299,16.4,D,3
4.2164,73.545,312.2,1.3,1.1,2006-03-10,0523,Terra,MODIS,53,6.2,298.3,9.8,D,3
4.172,73.5108,315.3,1.5,1.2,2006-03-13,0554,Terra,MODIS,45,6.2,297,14.2,D,3
4.1729,73.5038,320,1,1,2006-03-31,0839,Aqua,MODIS,65,6.2,304.6,11.6,D,3
4.1734,73.5104,312.8,1.7,1.3,2006-04-04,0517,Terra,MODIS,56,6.2,298.2,15.8,D,3
4.2095,73.536,313.9,1,1,2006-04-16,0839,Aqua,MODIS,60,6.2,299.9,7.4,D,3
4.1743,73.5074,315.2,1.1,1,2006-05-04,0530,Terra,MODIS,63,6.2,298.9,9.8,D,3
4.1729,73.5172,311.8,1.1,1,2006-05-04,0530,Terra,MODIS,51,6.2,297.4,6.7,D,3
4.1726,73.5137,311.6,1.1,1.1,2006-05-09,0845,Aqua,MODIS,50,6.2,295.9,7.6,D,3
4.1712,73.5035,314.9,1.1,1.1,2006-05-09,0845,Aqua,MODIS,62,6.2,297.4,10.9,D,3
4.1755,73.5133,315.4,1,1,2006-05-11,0536,Terra,MODIS,64,6.2,297.9,8.2,D,3
4.1717,73.503,317,1,1,2006-05-11,0833,Aqua,MODIS,67,6.2,299,9.1,D,3
4.17,73.5047,315.1,1.4,1.2,2006-05-13,0821,Aqua,MODIS,63,6.2,299,13.8,D,3
4.1726,73.5075,312,1.4,1.2,2006-06-01,0852,Aqua,MODIS,50,6.2,295.5,12,D,3
4.1747,73.5091,315.3,1.1,1,2006-06-05,0530,Terra,MODIS,59,6.2,300.1,10.8,D,3
4.1721,73.5073,318.8,1,1,2006-06-12,0833,Aqua,MODIS,70,6.2,300.3,11.4,D,3
4.1702,73.5056,311,1.4,1.2,2006-06-14,0821,Aqua,MODIS,45,6.2,296.8,11.2,D,3
4.1723,73.511,316.2,1.2,1.1,2006-07-23,0828,Aqua,MODIS,65,6.2,300.1,11,D,3
4.1726,73.5122,314.6,1.5,1.2,2006-09-21,0554,Terra,MODIS,62,6.2,298.5,12.9,D,3
4.1752,73.505,310.6,1.4,1.2,2006-09-21,0853,Aqua,MODIS,26,6.2,298.8,9.4,D,3
4.1769,73.5149,312.7,1.3,1.1,2006-10-04,0524,Terra,MODIS,39,6.2,298.7,10.5,D,3
4.1757,73.5053,313.6,1,1,2006-10-09,0841,Aqua,MODIS,37,6.2,301.7,7,D,3
4.208,73.5378,314.6,1,1,2006-10-09,0841,Aqua,MODIS,50,6.2,302.8,8.1,D,3
4.1766,73.5095,317.8,1.1,1,2006-10-11,0530,Terra,MODIS,68,6.2,301.8,13.1,D,3
4.1751,73.5194,310.4,1.1,1,2006-10-11,0530,Terra,MODIS,23,6.2,298.7,6.2,D,3
4.1707,73.5028,316.4,1.2,1.1,2006-10-16,0847,Aqua,MODIS,44,6.2,299.3,12.4,D,3
4.1731,73.5188,310.1,1,1,2006-11-03,0536,Terra,MODIS,22,6.2,293.8,4.8,D,3
4.1744,73.5099,318.3,1,1,2006-11-03,0536,Terra,MODIS,69,6.2,296.5,11.7,D,3
4.1729,73.5105,312.4,1,1,2006-12-12,0542,Terra,MODIS,46,6.2,295.7,7.2,D,3
4.1718,73.5038,312.9,1,1,2006-12-21,0835,Aqua,MODIS,56,6.2,296.4,7.6,D,3
