latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
16.5475,-16.0267,314.3,1.2,1.1,2006-01-04,1415,Aqua,MODIS,40,6.2,289.9,9.6,D,0
16.5451,-16.0196,316.4,1.2,1.1,2006-01-04,1415,Aqua,MODIS,48,6.2,291.3,10.9,D,0
16.6471,-15.2557,333.8,1.4,1.2,2006-01-05,1155,Terra,MODIS,86,6.2,302,46.3,D,0
16.6493,-15.2687,319.6,1.4,1.2,2006-01-05,1155,Terra,MODIS,66,6.2,303.1,17.3,D,0
16.5176,-15.9993,318.1,1,1,2006-01-07,1142,Terra,MODIS,46,6.2,299.8,8.5,D,0
16.5989,-15.5559,316.5,1,1,2006-01-07,1142,Terra,MODIS,40,6.2,303.9,6.5,D,0
16.5135,-15.6628,314.6,1,1,2006-01-16,1136,Terra,MODIS,37,6.2,301.8,6.8,D,0
16.5148,-15.6724,316.5,1,1,2006-01-16,1136,Terra,MODIS,47,6.2,299.9,8.8,D,0
16.5205,-16.0317,320.3,1.2,1.1,2006-01-20,1415,Aqua,MODIS,50,6.2,305.6,10.1,D,0
16.551,-15.7632,325.6,1.4,1.2,2006-02-01,1440,Aqua,MODIS,33,6.2,313.6,10.4,D,0
16.5165,-15.6499,321.7,1.5,1.2,2006-02-03,1124,Terra,MODIS,57,6.2,303.8,17.6,D,0
15.1987,-10.8838,311,1,1,2006-02-04,2259,Terra,MODIS,82,6.2,294.3,8.8,N,0
15.1883,-10.8918,309.9,1,1,2006-02-04,2259,Terra,MODIS,79,6.2,294.4,8.6,N,0
15.2001,-10.8744,310.2,1,1,2006-02-04,2259,Terra,MODIS,45,6.2,294.3,7.8,N,0
16.5824,-16.0459,300.8,1.1,1,2006-02-07,2330,Terra,MODIS,34,6.2,269.3,7.8,N,0
15.6152,-7.7698,315.6,1,1,2006-02-22,2247,Terra,MODIS,92,6.2,292.3,14.1,N,0
15.6138,-7.7792,302.7,1,1,2006-02-22,2247,Terra,MODIS,8,6.2,290.6,5.2,N,0
15.6256,-7.7619,310,1,1,2006-02-22,2247,Terra,MODIS,79,6.2,292.2,10.2,N,0
15.6242,-7.7712,303.4,1,1,2006-02-22,2247,Terra,MODIS,39,6.2,291.1,5.9,N,0
15.9414,-13.2137,334.3,2,1.4,2006-02-25,1351,Aqua,MODIS,44,6.2,316.9,38.1,D,0
15.9382,-13.2324,353.5,2,1.4,2006-02-25,1351,Aqua,MODIS,95,6.2,319.5,141.8,D,0
15.9349,-13.2513,334.3,2.1,1.4,2006-02-25,1351,Aqua,MODIS,44,6.2,316.3,40.3,D,0
15.9505,-13.2348,341.4,2,1.4,2006-02-25,1351,Aqua,MODIS,72,6.2,319,70.6,D,0
15.9473,-13.2537,341.2,2.1,1.4,2006-02-25,1351,Aqua,MODIS,71,6.2,316.1,69.9,D,0
15.9528,-13.2421,337.4,2,1.4,2006-02-25,1351,Aqua,MODIS,63,6.2,317.4,52.6,D,0
16.546,-15.7625,323.9,1.2,1.1,2006-02-26,1131,Terra,MODIS,36,6.2,310.5,7.7,D,0
16.5445,-15.7515,324.1,1.2,1.1,2006-02-26,1131,Terra,MODIS,38,6.2,311.1,8.6,D,0
16.1442,-5.8956,363.1,1.1,1,2006-02-27,1339,Aqua,MODIS,100,6.2,324.3,82.4,D,0
16.1457,-5.8856,343.1,1.1,1,2006-02-27,1339,Aqua,MODIS,84,6.2,321.2,29.6,D,0
16.0725,-5.93,300.1,1.3,1.1,2006-02-28,0151,Aqua,MODIS,15,6.2,287.3,8.7,N,0
16.5827,-16.0296,331.5,1.5,1.2,2006-03-07,1125,Terra,MODIS,77,6.2,307.2,28.4,D,0
16.5748,-16.1255,325.9,2.9,1.6,2006-03-10,1459,Aqua,MODIS,20,6.2,309.7,46,D,0
16.5718,-16.1174,332.1,2.9,1.6,2006-03-10,1459,Aqua,MODIS,59,6.2,310.8,81.5,D,0
16.8513,-15.3321,330.4,1.7,1.3,2006-03-11,1404,Aqua,MODIS,40,6.2,313.6,13.7,D,0
16.2028,-5.8628,342.1,1.1,1,2006-03-15,1339,Aqua,MODIS,83,6.2,325.7,22,D,0
16.2012,-5.8728,356.1,1.1,1,2006-03-15,1339,Aqua,MODIS,97,6.2,326.7,54.7,D,0
16.1997,-5.8828,345.4,1.1,1,2006-03-15,1339,Aqua,MODIS,87,6.2,323.9,28.3,D,0
16.5531,-15.5813,364.5,1,1,2006-03-16,1422,Aqua,MODIS,100,6.2,319,75.5,D,0
16.5762,-15.6101,336.4,1,1,2006-03-16,1422,Aqua,MODIS,57,6.2,313.2,17.6,D,0
16.5852,-15.6115,355.8,1,1,2006-03-16,1422,Aqua,MODIS,97,6.2,311.6,58.8,D,0
16.5545,-15.5719,396.6,1,1,2006-03-16,1422,Aqua,MODIS,100,6.2,321.8,212.1,D,0
15.5292,-8.2653,336.5,4.4,1.9,2006-03-19,1314,Aqua,MODIS,73,6.2,318.4,116.8,D,0
15.5369,-8.2255,335.9,4.4,1.9,2006-03-19,1314,Aqua,MODIS,72,6.2,319,106.5,D,0
15.5387,-8.2302,334.1,4.4,1.9,2006-03-19,1314,Aqua,MODIS,67,6.2,318.9,85,D,0
15.5353,-6.4182,330.7,3,1.7,2006-03-21,1137,Terra,MODIS,60,6.2,315.7,45.6,D,0
15.883,-5.6868,345.8,1,1,2006-03-22,1345,Aqua,MODIS,88,6.2,319.7,26.7,D,0
15.8816,-5.696,338.3,1,1,2006-03-22,1345,Aqua,MODIS,49,6.2,320.4,13.5,D,0
15.5319,-7.798,358.1,1.8,1.3,2006-03-25,1415,Aqua,MODIS,98,6.2,323.9,123.7,D,0
16.574,-15.5892,343.3,1.1,1.1,2006-03-25,1416,Aqua,MODIS,85,6.2,318.2,30,D,0
16.5678,-15.5924,350.2,1.1,1.1,2006-03-25,1416,Aqua,MODIS,92,6.2,318.7,42.6,D,0
16.5724,-15.5996,335.6,1.1,1.1,2006-03-25,1416,Aqua,MODIS,61,6.2,319.9,16,D,0
16.1451,-12.7436,331.2,2.2,1.4,2006-03-26,1155,Terra,MODIS,52,6.2,315.5,29.6,D,0
16.1442,-12.7381,330.9,2.2,1.4,2006-03-26,1155,Terra,MODIS,54,6.2,315.3,28.2,D,0
15.6079,-9.8073,349.1,1,1,2006-03-27,1403,Aqua,MODIS,91,6.2,328.3,25.6,D,0
15.6003,-9.7967,346.1,1,1,2006-03-27,1403,Aqua,MODIS,88,6.2,327.6,19.9,D,0
16.5692,-15.5683,337.8,1.8,1.3,2006-03-28,1447,Aqua,MODIS,79,6.2,315.7,40.9,D,0
16.8423,-15.3244,332,1.1,1.1,2006-03-30,1131,Terra,MODIS,58,6.2,313.9,13.1,D,0
16.5618,-16.0148,340.2,1.6,1.2,2006-04-02,1202,Terra,MODIS,81,6.2,318.9,43.5,D,0
16.5507,-16.0168,345.7,1.6,1.2,2006-04-02,1202,Terra,MODIS,88,6.2,318,64.7,D,0
16.709,-15.3037,344.7,1.3,1.1,2006-04-03,1410,Aqua,MODIS,80,6.2,328.6,27.5,D,0
15.5364,-8.4535,308.1,1.3,1.1,2006-04-04,2241,Terra,MODIS,41,6.2,296.6,9.2,N,0
15.5301,-8.4676,352.2,1,1,2006-04-05,1357,Aqua,MODIS,94,6.2,330.7,31,D,0
15.5314,-8.4584,344,1,1,2006-04-05,1357,Aqua,MODIS,67,6.2,330.6,13.7,D,0
16.1633,-6.4675,306.9,3.9,1.8,2006-04-05,2324,Terra,MODIS,69,6.2,294,55.1,N,0
16.1577,-6.4597,306.6,3.9,1.8,2006-04-05,2324,Terra,MODIS,69,6.2,294.7,53.2,N,0
15.921,-12.9852,314.5,1.6,1.3,2006-04-12,2330,Terra,MODIS,88,6.2,299.1,21,N,0
15.9141,-12.9696,310.1,1.5,1.2,2006-04-13,0216,Aqua,MODIS,72,6.2,297,12.8,N,0
15.9158,-12.9835,354.1,1.5,1.2,2006-04-13,0216,Aqua,MODIS,100,6.2,300.2,127.7,N,0
16.0353,-5.5246,372.2,1.1,1,2006-04-14,1351,Aqua,MODIS,100,6.2,332.8,93.5,D,0
