latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-20.431,57.6753,314.1,1.2,1.1,2006-02-03,0637,Terra,MODIS,60,6.2,298.1,7.8,D,0
-20.1788,57.4564,317.7,1,1,2006-05-03,0632,Terra,MODIS,52,6.2,299.5,10.5,D,0
-20.1774,57.4465,319.4,1,1,2006-05-03,0632,Terra,MODIS,54,6.2,299.9,12.2,D,0
-20.182,57.4694,310.3,1,1,2006-05-26,1849,Terra,MODIS,70,6.2,294.1,9.4,N,0
-20.1818,57.4892,311.8,2.2,1.4,2006-06-02,0929,Aqua,MODIS,43,6.2,297.2,21.4,D,0
-20.4556,57.6491,313.6,1.8,1.3,2006-06-26,1018,Aqua,MODIS,59,6.2,296.4,19.5,D,0
-20.2059,57.704,327.1,1.2,1.1,2006-07-30,1007,Aqua,MODIS,80,6.2,295.3,29.7,D,0
-20.1831,57.4512,313.8,1.3,1.1,2006-08-03,0942,Aqua,MODIS,49,6.2,295.6,14.1,D,0
-20.2003,57.4494,314.1,1.1,1,2006-08-09,0620,Terra,MODIS,59,6.2,298.1,7.7,D,0
-20.0503,57.5924,314.6,1.1,1,2006-08-10,0948,Aqua,MODIS,61,6.2,298.4,8.7,D,0
-20.2043,57.7073,315.6,1.6,1.2,2006-08-12,0936,Aqua,MODIS,64,6.2,298.2,19,D,0
-20.1719,57.5363,321,1.2,1.1,2006-08-15,1007,Aqua,MODIS,61,6.2,301.6,16.3,D,0
-20.1692,57.4901,327.5,1.2,1.1,2006-08-15,1007,Aqua,MODIS,76,6.2,305,23.3,D,0
-20.035,57.5945,314.3,1.5,1.2,2006-08-22,1013,Aqua,MODIS,53,6.2,296.5,14.2,D,0
-20.4578,57.6445,317.4,2.6,1.5,2006-09-04,0657,Terra,MODIS,64,6.2,291.6,54.3,D,0
-20.4627,57.6371,311.1,2.6,1.5,2006-09-04,0657,Terra,MODIS,42,6.2,291.6,33.1,D,0
-20.1199,57.6161,314.7,1,1,2006-09-09,1001,Aqua,MODIS,54,6.2,298.9,9.3,D,0
-20.1287,57.6141,345.1,1,1,2006-09-09,1001,Aqua,MODIS,92,6.2,299.1,47.1,D,0
-20.1214,57.6063,322.5,1,1,2006-09-09,1001,Aqua,MODIS,57,6.2,298,17,D,0
-20.1351,57.5764,314.5,1.6,1.3,2006-09-13,0936,Aqua,MODIS,61,6.2,299.2,12.9,D,0
-20.3521,57.4206,317.9,1.3,1.1,2006-09-19,0614,Terra,MODIS,44,6.2,297.7,13.6,D,0
-20.35,57.4083,315.7,1.3,1.1,2006-09-19,0614,Terra,MODIS,43,6.2,298.4,10.5,D,0
-20.1991,57.4687,321.9,1,1,2006-09-26,2138,Aqua,MODIS,100,6.2,291.2,21.5,N,0
-20.025,57.632,317.1,3.3,1.7,2006-09-27,0703,Terra,MODIS,63,6.2,297.1,50.3,D,0
-20.0219,57.6009,324.7,3.3,1.7,2006-09-27,0703,Terra,MODIS,68,6.2,298,91.9,D,0
-20.1542,57.5663,323.4,1.1,1,2006-09-27,0949,Aqua,MODIS,76,6.2,303.5,14.7,D,0
-20.3064,57.4674,320.7,1.1,1,2006-09-27,0949,Aqua,MODIS,73,6.2,303.9,11.4,D,0
-20.122,57.6667,316.6,1.1,1,2006-09-27,0949,Aqua,MODIS,64,6.2,299.5,7.6,D,0
-20.1164,57.6592,326.6,1.1,1,2006-09-27,0949,Aqua,MODIS,80,6.2,299.3,19.1,D,0
-20.1556,57.5561,318.4,1.1,1,2006-09-27,0949,Aqua,MODIS,60,6.2,303,8.3,D,0
-20.0794,57.6641,320.1,1,1,2006-10-04,0955,Aqua,MODIS,59,6.2,304,8,D,0
-20.078,57.6736,331.2,1,1,2006-10-04,0955,Aqua,MODIS,84,6.2,304.4,20.5,D,0
-20.0921,57.5157,319.2,1.5,1.2,2006-10-08,0644,Terra,MODIS,0,6.2,299.6,14.4,D,0
-20.1224,57.5829,314.8,1.5,1.2,2006-10-08,0644,Terra,MODIS,60,6.2,301.1,11.2,D,0
-20.093,57.531,320.4,2.1,1.4,2006-10-08,0930,Aqua,MODIS,48,6.2,300.4,29.2,D,0
-20.0922,57.5359,319.1,2.1,1.4,2006-10-08,0930,Aqua,MODIS,53,6.2,300.2,26.2,D,0
-20.4996,57.4846,313.5,2.2,1.4,2006-10-08,0930,Aqua,MODIS,0,6.2,295.5,32,D,0
-20.1508,57.5679,337.8,1,1,2006-10-11,1001,Aqua,MODIS,88,6.2,308.5,30.1,D,0
-20.4063,57.6397,319.9,1,1,2006-10-11,1001,Aqua,MODIS,72,6.2,301.9,10.9,D,0
