latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
46.103,28.1314,304.6,1.6,1.2,2006-02-03,0937,Terra,MODIS,56,6.2,273.4,18.7,D,0
46.0307,28.1641,302.4,1,1,2006-02-21,1106,Aqua,MODIS,52,6.2,279.7,5.5,D,0
46.5771,28.5669,302.4,1.2,1.1,2006-03-20,1048,Aqua,MODIS,51,6.2,288.5,6.1,D,0
45.7558,28.342,302.4,1.2,1.1,2006-03-20,1048,Aqua,MODIS,52,6.2,290.5,4.5,D,0
46.5811,28.5764,302.1,1.2,1.1,2006-03-20,1048,Aqua,MODIS,51,6.2,287.6,6.7,D,0
47.1717,29.438,311.1,2.5,1.5,2006-03-21,0949,Terra,MODIS,71,6.2,286.7,42,D,0
47.1657,29.4276,305.9,2.5,1.5,2006-03-21,0949,Terra,MODIS,48,6.2,286.1,26,D,0
47.2944,29.5084,313.6,2.5,1.5,2006-03-21,0949,Terra,MODIS,74,6.2,285.8,50,D,0
47.3074,29.5152,306.2,2.5,1.5,2006-03-21,0949,Terra,MODIS,63,6.2,285.2,29,D,0
45.9079,28.5391,308.5,1.6,1.3,2006-03-21,1131,Aqua,MODIS,67,6.2,291.9,12.2,D,0
45.9062,28.5186,309.9,1.6,1.3,2006-03-21,1131,Aqua,MODIS,69,6.2,293.2,14.1,D,0
46.0356,28.4471,306.8,1.6,1.3,2006-03-21,1131,Aqua,MODIS,64,6.2,292.1,10.8,D,0
47.2643,29.361,318.8,1.9,1.3,2006-03-21,1131,Aqua,MODIS,79,6.2,284,40.5,D,0
47.2624,29.3364,339.2,1.9,1.3,2006-03-21,1131,Aqua,MODIS,91,6.2,288.8,104.4,D,0
47.1784,29.4328,324.3,1.9,1.3,2006-03-21,1131,Aqua,MODIS,63,6.2,286.3,55.2,D,0
46.0664,28.1436,312.2,1.6,1.2,2006-03-21,1131,Aqua,MODIS,72,6.2,295.1,17,D,0
46.0369,28.4615,303.9,1.6,1.3,2006-03-21,1131,Aqua,MODIS,51,6.2,291.2,6.8,D,0
47.2711,29.4287,304,1.1,1.1,2006-03-22,0854,Terra,MODIS,58,6.2,288.2,6.6,D,0
45.8773,28.2054,307.3,1.2,1.1,2006-03-22,0854,Terra,MODIS,56,6.2,290.7,6.7,D,0
47.2694,29.4434,309.5,1.1,1.1,2006-03-22,0854,Terra,MODIS,69,6.2,288.9,10.3,D,0
47.2946,29.4642,311.3,1.4,1.2,2006-03-22,1036,Aqua,MODIS,71,6.2,292,13.8,D,0
47.1447,29.077,304.7,1.5,1.2,2006-03-22,1036,Aqua,MODIS,52,6.2,291.2,8.7,D,0
46.6914,29.6477,316.9,1.4,1.2,2006-03-22,1036,Aqua,MODIS,58,6.2,292,22.2,D,0
47.0087,29.5665,307.3,1.4,1.2,2006-03-22,1036,Aqua,MODIS,65,6.2,292.6,8.7,D,0
47.1484,29.0957,308.1,1.5,1.2,2006-03-22,1036,Aqua,MODIS,58,6.2,290.5,12.2,D,0
46.6982,29.5402,311.2,1.4,1.2,2006-03-22,1036,Aqua,MODIS,71,6.2,292.2,14.7,D,0
46.9984,29.4077,325.8,1.5,1.2,2006-03-24,0842,Terra,MODIS,84,6.2,280.8,47.1,D,0
46.4972,29.99,311.6,1.4,1.2,2006-03-24,0842,Terra,MODIS,72,6.2,278.8,20.1,D,0
46.5316,29.8727,302.8,2,1.4,2006-03-24,1024,Aqua,MODIS,54,6.2,283.7,17.2,D,0
46.475,29.9878,316.2,2,1.4,2006-03-24,1024,Aqua,MODIS,67,6.2,278.2,43.7,D,0
46.529,29.8805,301.1,2,1.4,2006-03-24,1024,Aqua,MODIS,44,6.2,283.9,15.1,D,0
46.4868,29.9822,312.1,2,1.4,2006-03-24,1024,Aqua,MODIS,72,6.2,278,34.7,D,0
46.5598,28.5337,319.8,1.2,1.1,2006-03-25,0925,Terra,MODIS,80,6.2,287,23.8,D,0
46.5625,28.5188,311.4,1.2,1.1,2006-03-25,0925,Terra,MODIS,71,6.2,285.8,14.5,D,0
45.5701,28.302,306.4,1.2,1.1,2006-03-25,0925,Terra,MODIS,63,6.2,287.6,9,D,0
45.9107,28.2128,300,1.2,1.1,2006-03-25,0925,Terra,MODIS,23,6.2,286.1,4.2,D,0
46.0218,28.1182,303.4,1.2,1.1,2006-03-25,0925,Terra,MODIS,56,6.2,290.7,5.8,D,0
46.7989,28.4338,303,1.2,1.1,2006-03-25,0925,Terra,MODIS,55,6.2,282.6,9,D,0
45.5728,28.2868,304.5,1.2,1.1,2006-03-25,0925,Terra,MODIS,59,6.2,287.3,7.5,D,0
46.5953,28.5552,313.2,1,1,2006-03-25,1106,Aqua,MODIS,73,6.2,290.4,11.4,D,0
46.5037,29.5373,303.6,1,1,2006-03-25,1106,Aqua,MODIS,56,6.2,290.5,4.5,D,0
45.6177,28.507,307,1,1,2006-03-25,1106,Aqua,MODIS,62,6.2,292,4.7,D,0
45.5712,28.3099,324.3,1,1,2006-03-25,1106,Aqua,MODIS,82,6.2,291.2,19.1,D,0
46.998,29.4415,326,1,1,2006-03-25,1106,Aqua,MODIS,84,6.2,288.2,24.8,D,0
46.4174,28.6058,301.6,1,1,2006-03-25,1106,Aqua,MODIS,48,6.2,288.1,3.3,D,0
45.5694,28.2973,385.5,1,1,2006-03-25,1106,Aqua,MODIS,100,6.2,299,174.5,D,0
46.989,29.444,312.9,1,1,2006-03-25,1106,Aqua,MODIS,73,6.2,288.3,11.8,D,0
46.427,30.0906,316.7,1.1,1,2006-03-25,1106,Aqua,MODIS,49,6.2,283.9,15.9,D,0
46.259,28.1372,300.9,1,1,2006-03-25,1106,Aqua,MODIS,40,6.2,286.7,3.9,D,0
46.122,28.1503,304.6,1,1,2006-03-25,1106,Aqua,MODIS,58,6.2,290,5.1,D,0
46.551,29.7621,300.3,1.1,1,2006-03-25,1106,Aqua,MODIS,35,6.2,288.5,3.5,D,0
46.6467,29.8726,309.8,1.1,1,2006-03-25,1106,Aqua,MODIS,65,6.2,289,9.6,D,0
46.7147,29.8118,302.2,1.1,1,2006-03-25,1106,Aqua,MODIS,51,6.2,289,4,D,0
46.3788,28.6642,302,1,1,2006-03-25,1106,Aqua,MODIS,50,6.2,288.9,3.5,D,0
46.9009,29.1808,306.2,1,1,2006-03-25,1106,Aqua,MODIS,63,6.2,288.9,6.7,D,0
45.6281,28.5106,325.1,1,1,2006-03-25,1106,Aqua,MODIS,83,6.2,291.2,20.8,D,0
46.597,28.5682,305.2,1,1,2006-03-25,1106,Aqua,MODIS,61,6.2,289.1,5.8,D,0
47.2802,29.5573,306.7,1.1,1,2006-03-25,1107,Aqua,MODIS,64,6.2,284.9,8.5,D,0
47.3444,29.0527,304.5,1,1,2006-03-25,1107,Aqua,MODIS,45,6.2,284.7,7.3,D,0
47.2027,29.5282,304.5,1.1,1,2006-03-25,1107,Aqua,MODIS,59,6.2,285.9,6.6,D,0
47.4098,28.6455,306.2,1,1,2006-03-25,1107,Aqua,MODIS,60,6.2,283.1,8.7,D,0
47.2009,29.5145,316,1.1,1,2006-03-25,1107,Aqua,MODIS,76,6.2,288.5,15.5,D,0
46.7213,29.2402,308.3,2.2,1.4,2006-03-26,0830,Terra,MODIS,67,6.2,290.3,21,D,0
46.7194,29.2696,306.1,2.2,1.4,2006-03-26,0830,Terra,MODIS,63,6.2,290.8,16.4,D,0
46.0984,28.2416,319.8,2.8,1.6,2006-03-26,1149,Aqua,MODIS,78,6.2,295.5,60.6,D,0
46.2339,28.2538,313.3,2.9,1.6,2006-03-26,1149,Aqua,MODIS,73,6.2,294.7,34.6,D,0
45.5913,28.2546,307.6,2.8,1.6,2006-03-26,1149,Aqua,MODIS,66,6.2,294.4,16.9,D,0
45.5921,28.2494,307.8,2.8,1.6,2006-03-26,1149,Aqua,MODIS,66,6.2,294.3,16.6,D,0
46.0493,28.1747,318.3,1.1,1,2006-03-27,1054,Aqua,MODIS,77,6.2,294.4,13.3,D,0
45.563,28.432,310.1,1.9,1.4,2006-03-28,1137,Aqua,MODIS,42,6.2,291.9,10.9,D,0
46.9088,29.5312,309.7,1,1,2006-03-29,0900,Terra,MODIS,64,6.2,278.3,10.5,D,0
46.9177,29.5338,351.7,1,1,2006-03-29,0900,Terra,MODIS,97,6.2,282.4,69.4,D,0
46.916,29.547,312.5,1,1,2006-03-29,0900,Terra,MODIS,69,6.2,278.4,12.7,D,0
