latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
47.7008,108.3098,300.1,1,1,2006-03-08,0345,Terra,MODIS,28,6.2,282.3,4.8,D,0
47.6929,108.3034,303,1.2,1.1,2006-03-08,0527,Aqua,MODIS,54,6.2,285.8,6.6,D,0
48.1878,109.3771,304.1,3.3,1.7,2006-03-14,0628,Aqua,MODIS,52,6.2,288.5,29.8,D,0
48.1826,109.3721,302.8,3.3,1.7,2006-03-14,0628,Aqua,MODIS,42,6.2,287,26.4,D,0
48.2699,108.5623,301.3,1.5,1.2,2006-03-19,0326,Terra,MODIS,28,6.2,287.4,6.3,D,0
48.2681,108.5819,306.2,1.5,1.2,2006-03-19,0326,Terra,MODIS,63,6.2,288.8,11.5,D,0
48.2642,108.5712,328.9,1.8,1.3,2006-03-19,0509,Aqua,MODIS,68,6.2,295.3,54.8,D,0
48.2854,108.6102,317.4,1.8,1.3,2006-03-19,0509,Aqua,MODIS,35,6.2,290.1,29.5,D,0
48.2804,108.588,348.5,1.8,1.3,2006-03-19,0509,Aqua,MODIS,95,6.2,295.5,131.8,D,0
48.2754,108.5655,335.1,1.8,1.3,2006-03-19,0509,Aqua,MODIS,81,6.2,294.2,75.1,D,0
48.2966,108.6046,327.8,1.8,1.3,2006-03-19,0509,Aqua,MODIS,66,6.2,287.6,54.5,D,0
48.2917,108.5824,341.4,1.8,1.3,2006-03-19,0509,Aqua,MODIS,92,6.2,290.3,102,D,0
48.2745,108.5955,329.7,1.8,1.3,2006-03-19,0509,Aqua,MODIS,65,6.2,294.2,56.1,D,0
48.2696,108.5731,336.9,1.8,1.3,2006-03-19,0509,Aqua,MODIS,90,6.2,296.6,80.2,D,0
48.2867,108.5603,317.2,1.8,1.3,2006-03-19,0509,Aqua,MODIS,38,6.2,285.1,29.2,D,0
49.3533,112.7355,304.8,1.3,1.1,2006-03-22,0356,Terra,MODIS,50,6.2,281.1,10.6,D,0
49.1988,112.9044,358,1.2,1.1,2006-03-22,0539,Aqua,MODIS,93,6.2,281.6,110.3,D,0
49.3418,112.73,300.4,2,1.4,2006-03-23,0301,Terra,MODIS,20,6.2,283.3,13.4,D,0
49.3389,112.7236,303.7,2,1.4,2006-03-23,0301,Terra,MODIS,47,6.2,282.5,18.6,D,0
49.5404,90.3884,321.9,1.2,1.1,2006-03-24,0523,Terra,MODIS,81,6.2,284.5,26.2,D,0
