latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
16.7167,-62.1758,313.2,2.1,1.4,2006-01-05,1512,Terra,MODIS,41,6.2,291.5,28.1,D,1
16.7184,-62.1721,328.4,1.8,1.3,2006-01-06,0205,Terra,MODIS,100,6.2,289.3,64.9,N,1
16.7155,-62.1895,317.8,1.8,1.3,2006-01-06,0205,Terra,MODIS,94,6.2,286.3,37.8,N,1
16.7163,-62.1659,314.1,1.2,1.1,2006-01-11,1435,Terra,MODIS,43,6.2,295.2,10.9,D,2
16.7079,-62.1773,331.3,1.2,1.1,2006-01-11,1435,Terra,MODIS,84,6.2,296.2,33.8,D,1
16.7177,-62.1764,323.6,1.2,1.1,2006-01-11,1435,Terra,MODIS,77,6.2,296.6,22.6,D,1
16.7129,-62.1768,314.9,1.3,1.1,2006-01-16,0241,Terra,MODIS,86,6.2,288.9,21.1,N,1
16.7077,-62.1817,325,1.7,1.3,2006-01-23,0247,Terra,MODIS,100,6.2,291.2,48.9,N,1
16.7097,-62.1647,324.4,1.7,1.3,2006-01-23,0247,Terra,MODIS,100,6.2,293.5,47.8,N,2
16.7202,-62.1623,321.7,1.5,1.2,2006-01-23,0533,Aqua,MODIS,100,6.2,293.1,35.2,N,2
16.7163,-62.1672,357.3,1.5,1.2,2006-01-23,0533,Aqua,MODIS,100,6.2,303.2,143.2,N,1
16.7092,-62.1625,337.2,1.5,1.2,2006-01-23,0533,Aqua,MODIS,100,6.2,294.8,70.5,N,2
16.7217,-62.175,342.1,1.5,1.2,2006-01-23,0533,Aqua,MODIS,100,6.2,293.8,85.3,N,1
16.7108,-62.1749,353.6,1.5,1.2,2006-01-23,0533,Aqua,MODIS,100,6.2,295.1,127.4,N,1
16.718,-62.1803,334.3,1.5,1.2,2006-01-23,0533,Aqua,MODIS,100,6.2,291.5,63,N,1
16.7124,-62.188,328.9,3.2,1.7,2006-01-24,0152,Terra,MODIS,98,6.2,291,0,N,1
16.7146,-62.1811,340.3,3.2,1.7,2006-01-24,0152,Terra,MODIS,100,6.2,291.8,0,N,1
16.7105,-62.1649,318.3,1.8,1.3,2006-01-24,1708,Aqua,MODIS,52,6.2,295.6,30,D,2
16.7078,-62.1808,360.1,1.8,1.3,2006-01-24,1708,Aqua,MODIS,87,6.2,299.8,200.7,D,1
16.7139,-62.1882,306.1,2.5,1.5,2006-01-25,0521,Aqua,MODIS,41,6.2,290.6,25,N,1
16.7199,-62.1715,332.3,2.5,1.5,2006-01-25,0521,Aqua,MODIS,100,6.2,292,0,N,1
16.7114,-62.1647,327.3,2.5,1.5,2006-01-25,0521,Aqua,MODIS,100,6.2,291.7,97.8,N,2
16.7123,-62.1668,347.4,1,1,2006-01-25,1448,Terra,MODIS,94,6.2,298.5,52.6,D,2
16.7136,-62.1762,365.2,1,1,2006-01-25,1448,Terra,MODIS,100,6.2,303.7,96.8,D,1
16.7089,-62.1868,317.4,1.7,1.3,2006-01-25,1751,Aqua,MODIS,68,6.2,297.8,23.3,D,1
16.7108,-62.1713,328.7,1.7,1.3,2006-01-25,1751,Aqua,MODIS,62,6.2,298.3,49.8,D,1
16.7088,-62.1709,325.8,1.1,1.1,2006-01-27,1739,Aqua,MODIS,79,6.2,292.5,23.3,D,2
16.7213,-62.1705,313.5,1,1,2006-01-28,0551,Aqua,MODIS,82,6.2,286.4,13,N,1
16.7124,-62.172,340.2,1,1,2006-01-28,0551,Aqua,MODIS,100,6.2,290,45.1,N,1
16.711,-62.1626,311.2,1,1,2006-01-28,0551,Aqua,MODIS,74,6.2,287.2,11.1,N,2
16.7105,-62.1719,308.9,1.3,1.1,2006-02-01,0242,Terra,MODIS,63,6.2,288.7,15,N,1
16.714,-62.1773,306.7,1.6,1.3,2006-02-02,0610,Aqua,MODIS,48,6.2,281.3,17.9,N,1
16.7082,-62.1738,314.2,1.2,1.1,2006-02-05,0217,Terra,MODIS,85,6.2,289.6,16.4,N,1
16.706,-62.1725,322.7,1.8,1.3,2006-02-09,1709,Aqua,MODIS,71,6.2,297.4,40,D,2
16.7027,-62.1917,320.9,1.8,1.3,2006-02-09,1709,Aqua,MODIS,0,6.2,295.9,35.4,D,2
16.7072,-62.1771,336.1,1.1,1.1,2006-02-10,0236,Terra,MODIS,100,6.2,295.3,44.1,N,1
16.7167,-62.1782,339.7,1.1,1.1,2006-02-10,0236,Terra,MODIS,100,6.2,294.1,50.8,N,1
16.7047,-62.1815,337.3,1.7,1.3,2006-02-10,1751,Aqua,MODIS,38,6.2,292.1,64.3,D,2
16.7004,-62.1851,323.6,1.7,1.3,2006-02-10,1751,Aqua,MODIS,56,6.2,291.4,33.5,D,2
16.7127,-62.1726,352.3,1.2,1.1,2006-02-12,1436,Terra,MODIS,96,6.2,303,81.5,D,1
16.703,-62.1741,317.3,1.2,1.1,2006-02-12,1436,Terra,MODIS,68,6.2,293.8,13.5,D,2
16.7045,-62.1859,311.8,1.2,1.1,2006-02-12,1436,Terra,MODIS,32,6.2,294.9,7.9,D,2
16.7143,-62.184,333.5,1.2,1.1,2006-02-12,1436,Terra,MODIS,85,6.2,294.6,36.9,D,1
16.7072,-62.1707,328.8,1.1,1.1,2006-02-12,1739,Aqua,MODIS,82,6.2,299.5,24.8,D,2
16.7059,-62.181,341,1.1,1.1,2006-02-12,1739,Aqua,MODIS,90,6.2,299.1,45.7,D,2
16.7075,-62.1742,378.5,1,1,2006-02-14,1727,Aqua,MODIS,100,6.2,308.2,144.8,D,2
16.7061,-62.1839,359.1,1,1,2006-02-14,1727,Aqua,MODIS,99,6.2,303.3,80.3,D,2
16.7107,-62.1708,369.2,1.4,1.2,2006-02-16,1715,Aqua,MODIS,100,6.2,302.2,181.3,D,1
16.7084,-62.1842,372.2,1.4,1.2,2006-02-16,1715,Aqua,MODIS,94,6.2,302.7,199.1,D,1
16.7116,-62.1655,308.3,1.4,1.2,2006-02-17,0242,Terra,MODIS,20,6.2,290.2,12.1,N,2
16.7098,-62.1791,313.7,1.4,1.2,2006-02-17,0242,Terra,MODIS,83,6.2,289.8,18.9,N,1
16.7202,-62.1795,308.4,1.4,1.2,2006-02-17,0242,Terra,MODIS,61,6.2,290.5,13.4,N,1
16.7198,-62.1703,329.4,1.1,1,2006-02-17,1454,Terra,MODIS,82,6.2,293.2,28.8,D,1
16.7137,-62.179,398.2,1,1,2006-02-19,0230,Terra,MODIS,100,6.2,305.1,245.4,N,1
16.715,-62.1695,380.2,1,1,2006-02-19,0230,Terra,MODIS,100,6.2,302.8,155.8,N,1
16.7047,-62.1776,319,1,1,2006-02-19,0230,Terra,MODIS,97,6.2,291.5,17.2,N,2
16.7168,-62.1785,318.6,1,1,2006-02-22,0546,Aqua,MODIS,96,6.2,288.8,18,N,1
16.7155,-62.1691,338.9,1,1,2006-02-22,0546,Aqua,MODIS,100,6.2,293.6,45.1,N,1
16.7102,-62.1726,309.6,1.8,1.3,2006-02-23,0205,Terra,MODIS,67,6.2,290,22.9,N,1
16.7102,-62.1713,326.4,1.3,1.1,2006-02-27,0604,Aqua,MODIS,100,6.2,292.6,37.4,N,1
16.72,-62.1682,316,1.3,1.1,2006-02-27,0604,Aqua,MODIS,90,6.2,291.2,22.3,N,1
16.7106,-62.1691,319.7,1,1,2006-02-28,0224,Terra,MODIS,99,6.2,292.6,18.5,N,2
16.7092,-62.1785,328.1,1,1,2006-02-28,0224,Terra,MODIS,100,6.2,292,27.8,N,1
16.7214,-62.183,333.1,4.3,1.9,2006-02-28,0509,Aqua,MODIS,100,6.2,292.4,0,N,1
16.722,-62.1757,338.3,4.3,1.9,2006-02-28,0509,Aqua,MODIS,100,6.2,293.2,0,N,1
16.7181,-62.1783,325.2,1.9,1.4,2006-03-02,1424,Terra,MODIS,74,6.2,294.7,46.6,D,1
16.7108,-62.1722,326.7,1.4,1.2,2006-03-05,0242,Terra,MODIS,100,6.2,292.4,37.4,N,1
16.7093,-62.1845,312.6,1.4,1.2,2006-03-05,0242,Terra,MODIS,63,6.2,291.8,16.4,N,1
16.7148,-62.1657,307.1,1.4,1.2,2006-03-05,0242,Terra,MODIS,49,6.2,286.9,10.7,N,2
16.7213,-62.1724,305.1,1.4,1.2,2006-03-05,0242,Terra,MODIS,7,6.2,290.1,8.8,N,1
