latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
34.272,-5.6697,300.3,1,1,2006-01-03,1337,Aqua,MODIS,33,6.03,288.7,3,D,0
32.6831,-7.8761,300.2,1.4,1.2,2006-01-05,1324,Aqua,MODIS,19,6.03,288.4,3.2,D,0
30.2951,-9.4203,305.1,1,1,2006-01-09,1126,Terra,MODIS,61,6.03,291.7,4.2,D,0
30.074,-9.4152,302.4,1,1,2006-01-18,1120,Terra,MODIS,52,6.03,290.2,3.2,D,0
35.1733,-5.471,304.6,1,1,2006-02-13,1331,Aqua,MODIS,59,6.03,293.7,4.1,D,0
35.2166,-4.8088,308.2,1,1,2006-03-09,1107,Terra,MODIS,53,6.03,292.1,5.7,D,0
31.9435,-7.2349,311.2,1,1,2006-03-23,1120,Terra,MODIS,38,6.03,300.6,3.9,D,0
31.9419,-7.2244,332,1,1,2006-03-23,1120,Terra,MODIS,85,6.03,301,25.2,D,0
33.4624,-7.8965,310.1,1,1,2006-03-23,1120,Terra,MODIS,65,6.03,294.1,6.9,D,0
35.1317,-4.4923,324.1,1.1,1,2006-04-04,1319,Aqua,MODIS,80,6.03,297,18.3,D,0
35.1243,-4.4973,320.9,1.1,1,2006-04-04,1319,Aqua,MODIS,45,6.03,299.9,13.1,D,0
35.1261,-4.4855,321,1.1,1,2006-04-04,1319,Aqua,MODIS,63,6.03,295.1,13.5,D,0
35.1357,-5.09,306.5,1.5,1.2,2006-04-04,2246,Terra,MODIS,68,6.03,281.3,18.9,N,0
35.0779,-6.0959,318.3,1,1,2006-04-08,1120,Terra,MODIS,70,6.03,304,8.3,D,0
35.1299,-4.4937,316.5,1,1,2006-04-11,1325,Aqua,MODIS,50,6.03,301.5,6.6,D,0
27.121,-13.2056,326.7,1,1,2006-04-12,1407,Aqua,MODIS,73,6.03,305.6,13.4,D,0
34.6017,-5.9924,309.5,1.6,1.3,2006-04-13,1138,Terra,MODIS,37,6.03,299,8.3,D,0
34.0257,-4.8459,323.2,1,1,2006-04-27,1325,Aqua,MODIS,72,6.03,302.1,13.3,D,0
33.2112,-7.7974,316.1,1.4,1.2,2006-04-27,1325,Aqua,MODIS,44,6.03,302.9,9.6,D,0
34.3718,-6.0123,310.7,1.5,1.2,2006-04-28,1055,Terra,MODIS,56,6.03,298.1,9.3,D,0
35.0025,-5.9434,317.5,1.3,1.1,2006-05-05,1101,Terra,MODIS,71,6.03,303,12.2,D,0
32.8135,-8.3768,328.7,1.4,1.2,2006-05-07,1402,Aqua,MODIS,75,6.03,307.9,22.1,D,0
32.8082,-8.3814,333.2,1.4,1.2,2006-05-07,1402,Aqua,MODIS,81,6.03,308.3,31,D,0
32.8031,-8.3752,333.9,1.4,1.2,2006-05-07,1402,Aqua,MODIS,82,6.03,306.6,33.8,D,0
32.8098,-8.3667,321.3,1.4,1.2,2006-05-07,1402,Aqua,MODIS,59,6.03,305.9,7.3,D,0
34.4152,-5.9442,315,1.3,1.1,2006-05-08,1132,Terra,MODIS,60,6.03,300.5,10.4,D,0
34.614,-6.2366,314.3,1.3,1.1,2006-05-08,1132,Terra,MODIS,61,6.03,302.1,8.6,D,0
32.4484,-6.3409,324.7,1,1,2006-05-10,1120,Terra,MODIS,76,6.03,302.6,11.8,D,0
34.5908,-5.9904,322.7,1.1,1,2006-05-12,1107,Terra,MODIS,73,6.03,298.9,13.1,D,0
33.7811,-6.9563,328.3,1.1,1,2006-05-20,1332,Aqua,MODIS,71,6.03,307.1,17.2,D,0
33.7902,-6.9584,322.5,1.1,1,2006-05-20,1332,Aqua,MODIS,52,6.03,305,10.2,D,0
27.1177,-13.2131,322.7,1,1,2006-05-21,1413,Aqua,MODIS,56,6.03,304.1,9.9,D,0
34.3395,-5.4463,320.1,3.5,1.8,2006-05-21,1415,Aqua,MODIS,65,6.03,302.8,47.4,D,0
32.9496,-8.4005,325.2,1,1,2006-05-25,1350,Aqua,MODIS,62,6.03,308.2,7.6,D,0
32.951,-8.3896,341.5,1,1,2006-05-25,1350,Aqua,MODIS,87,6.03,308.4,31.6,D,0
33.6834,-6.9773,357.4,1,1,2006-05-27,1338,Aqua,MODIS,98,6.03,309.8,65.9,D,0
33.685,-6.9667,347.9,1,1,2006-05-27,1338,Aqua,MODIS,92,6.03,307.8,44.8,D,0
32.0899,-7.8958,328.4,3,1.6,2006-06-01,1044,Terra,MODIS,79,6.03,306.6,66.8,D,0
32.0922,-7.9275,323.9,3,1.7,2006-06-01,1044,Terra,MODIS,73,6.03,304.7,42.6,D,0
33.2993,-6.5439,328.9,1,1,2006-06-04,1114,Terra,MODIS,52,6.03,313.3,8.7,D,0
33.2904,-6.5457,330.8,1,1,2006-06-04,1114,Terra,MODIS,71,6.03,312.9,11.9,D,0
33.8678,-5.5672,324.2,1,1,2006-06-04,1114,Terra,MODIS,53,6.03,309.9,8.5,D,2
34.4643,-5.8888,305.5,1.1,1.1,2006-06-05,0230,Aqua,MODIS,64,6.03,290.3,8.3,N,0
33.3074,-7.2918,328.5,2.8,1.6,2006-06-05,1157,Terra,MODIS,72,6.03,310.1,41.5,D,0
34.9761,-5.9092,350.8,1.2,1.1,2006-06-06,1101,Terra,MODIS,94,6.03,306,69.2,D,0
35.0182,-6.1669,323.9,1.9,1.4,2006-06-07,1144,Terra,MODIS,62,6.03,304.1,21.6,D,0
