latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
28.0178,85.8579,302.3,3.3,1.7,2006-01-01,0540,Terra,MODIS,52,6.2,280.8,39.2,D,0
28.2981,84.8611,305.3,1.7,1.3,2006-01-01,0712,Aqua,MODIS,56,6.2,285,16,D,0
28.3099,84.8711,301.3,1.7,1.3,2006-01-01,0712,Aqua,MODIS,26,6.2,285,11.5,D,0
28.2808,84.7034,307,1.8,1.3,2006-01-01,0712,Aqua,MODIS,60,6.2,285.8,17.6,D,0
27.7515,87.3802,308.2,1.2,1.1,2006-01-01,0712,Aqua,MODIS,50,6.2,294.4,10.9,D,0
27.8237,87.5113,312.6,1.2,1.1,2006-01-01,0712,Aqua,MODIS,61,6.2,291.9,15.4,D,0
27.8258,87.5241,326,1.2,1.1,2006-01-01,0712,Aqua,MODIS,84,6.2,291.4,32,D,0
28.2771,84.6995,304.6,1.8,1.3,2006-01-01,0712,Aqua,MODIS,55,6.2,286.2,15.5,D,0
28.0101,85.8374,314.1,1.5,1.2,2006-01-01,0712,Aqua,MODIS,74,6.2,287.3,23.7,D,0
28.2793,84.7029,311.5,1.1,1,2006-01-01,1639,Terra,MODIS,83,6.2,279.1,17.4,N,0
28.3128,84.8939,310,1.6,1.3,2006-01-02,0445,Terra,MODIS,50,6.2,293.1,16.9,D,0
28.2398,85.2534,325.4,1.5,1.2,2006-01-02,0445,Terra,MODIS,84,6.2,289.6,45.3,D,0
27.4734,85.4824,305.6,1.5,1.2,2006-01-02,0446,Terra,MODIS,59,6.2,292.8,10.1,D,0
27.0635,87.8711,300.3,1.1,1,2006-01-02,0446,Terra,MODIS,13,6.2,288.8,4.2,D,0
27.605,87.0194,303.7,1.2,1.1,2006-01-02,0446,Terra,MODIS,52,6.2,287.7,7.7,D,0
28.2729,84.8687,310.8,1.6,1.2,2006-01-02,0755,Aqua,MODIS,66,6.2,293.7,18,D,0
28.3473,84.9166,317.3,1.6,1.3,2006-01-02,0755,Aqua,MODIS,76,6.2,292.6,28.1,D,0
28.2436,85.2474,332.4,1.7,1.3,2006-01-02,0755,Aqua,MODIS,76,6.2,287.7,68.1,D,0
28.7985,80.152,315.7,1,1,2006-01-02,0755,Aqua,MODIS,74,6.2,295.7,11.2,D,0
28.7999,80.1622,313.7,1,1,2006-01-02,0755,Aqua,MODIS,72,6.2,295.5,9.6,D,0
28.5051,81.2521,312.1,1.1,1,2006-01-02,0755,Aqua,MODIS,70,6.2,294.5,10,D,0
28.0108,85.8381,310.7,1.9,1.3,2006-01-02,0755,Aqua,MODIS,48,6.2,288,20.5,D,0
28.2636,84.783,306.1,1.6,1.2,2006-01-02,0755,Aqua,MODIS,62,6.2,292.5,12.6,D,0
27.4554,87.4461,309.2,2.4,1.5,2006-01-02,0755,Aqua,MODIS,68,6.2,290.8,30.9,D,0
27.4539,87.4293,308.7,2.4,1.5,2006-01-02,0755,Aqua,MODIS,67,6.2,292.6,29.7,D,0
27.4525,87.4428,308.3,2.4,1.5,2006-01-02,0755,Aqua,MODIS,67,6.2,292.5,28.6,D,0
27.999,85.8414,319.4,1.9,1.3,2006-01-02,0755,Aqua,MODIS,79,6.2,289.8,40.4,D,0
27.952,85.7327,304.5,1.8,1.3,2006-01-02,0755,Aqua,MODIS,46,6.2,292.4,14.4,D,0
28.2713,84.8536,305.9,1.6,1.2,2006-01-02,0755,Aqua,MODIS,51,6.2,293.7,12.7,D,0
28.2753,84.7358,301.3,1.7,1.3,2006-01-03,0528,Terra,MODIS,46,6.2,285.7,11.7,D,0
28.2595,84.882,305.5,1.7,1.3,2006-01-03,0528,Terra,MODIS,61,6.2,289.1,15.9,D,0
28.301,84.2809,304.1,1.5,1.2,2006-01-03,0528,Terra,MODIS,58,6.2,291.4,11.7,D,0
28.1401,85.0211,303.4,1.7,1.3,2006-01-03,0528,Terra,MODIS,56,6.2,290.5,13.9,D,0
28.4443,84.7693,370.3,2.8,1.6,2006-01-03,0700,Aqua,MODIS,100,6.2,288,536.1,D,0
27.6086,87.0143,302.5,2,1.4,2006-01-03,0700,Aqua,MODIS,52,6.2,283.1,20,D,0
27.6067,87.0195,307.4,2,1.4,2006-01-03,0700,Aqua,MODIS,65,6.2,284.1,28,D,0
28.334,84.8995,304.5,2.8,1.6,2006-01-03,0700,Aqua,MODIS,30,6.2,290.7,33.4,D,0
28.3417,84.936,301.7,2.7,1.6,2006-01-03,0700,Aqua,MODIS,20,6.2,285.3,25.3,D,0
28.2358,85.0416,330.7,2.7,1.6,2006-01-03,0700,Aqua,MODIS,87,6.2,284,133.8,D,0
28.2412,85.0368,328,2.7,1.6,2006-01-03,0700,Aqua,MODIS,81,6.2,283,124.7,D,0
28.246,85.0592,314.7,2.7,1.6,2006-01-03,0700,Aqua,MODIS,71,6.2,283.1,66.4,D,0
28.1348,84.9994,301.8,2.7,1.6,2006-01-03,0700,Aqua,MODIS,39,6.2,290.5,22.6,D,0
27.6487,87.1611,320.3,1.8,1.3,2006-01-04,0433,Terra,MODIS,80,6.2,287.1,45.4,D,0
26.6363,86.975,318.5,1.8,1.3,2006-01-04,0433,Terra,MODIS,77,6.2,297.2,29.8,D,0
27.6187,86.6786,306.9,2,1.4,2006-01-04,0433,Terra,MODIS,60,6.2,292.2,19,D,0
28.585,83.5017,318.8,3.4,1.7,2006-01-04,0433,Terra,MODIS,79,6.2,286.2,97,D,0
28.5894,83.4987,317.9,3.4,1.7,2006-01-04,0433,Terra,MODIS,74,6.2,286.4,92.2,D,0
27.6071,87.0312,305.2,1.9,1.3,2006-01-04,0433,Terra,MODIS,59,6.2,286.4,16.2,D,0
28.2702,84.8295,304.7,2.7,1.6,2006-01-04,0433,Terra,MODIS,46,6.2,287.4,24.8,D,0
28.2493,85.069,330.7,2.6,1.5,2006-01-04,0433,Terra,MODIS,87,6.2,292.4,117.5,D,0
28.2463,85.1024,317.2,2.6,1.5,2006-01-04,0433,Terra,MODIS,76,6.2,289,56.5,D,0
27.642,87.1536,309.2,1.8,1.3,2006-01-04,0433,Terra,MODIS,54,6.2,285.7,21.8,D,0
